,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671487435.456, 36.35, 1721, 4006, 66, 0, 0, NVIDIA GeForce GTX 1060 6GB,1671487435.4347131,22.3,2.1,17.0,48.9,8.5,0.0,1.1,0.0,3333591,3333590,3333618,3333593,3333630,3333612
1,1671487436.161, 36.16, 1721, 4006, 66, 0, 0, NVIDIA GeForce GTX 1060 6GB,1671487436.11109,72.0,6.0,15.0,7.0,0.0,0.0,0.0,0.0,3333593,3333596,3333591,3333594,3333602,3333568
2,1671487436.844, 35.58, 1721, 3802, 66, 8, 1, NVIDIA GeForce GTX 1060 6GB,1671487436.8164587,44.8,5.2,16.7,33.3,0.0,0.0,0.0,0.0,3331437,3332600,3333017,3330685,3332056,3331839
3,1671487437.522, 35.58, 1721, 3802, 66, 5, 0, NVIDIA GeForce GTX 1060 6GB,1671487437.5008957,37.2,5.3,16.0,41.5,0.0,0.0,0.0,0.0,3333592,3333593,3333590,3333592,3333600,3333592
4,1671487438.198, 35.48, 1721, 3802, 66, 5, 1, NVIDIA GeForce GTX 1060 6GB,1671487438.1741178,36.1,6.2,15.5,42.3,0.0,0.0,0.0,0.0,3333595,3333591,3333591,3333591,3333601,3333592
5,1671487438.872, 35.77, 1721, 3802, 65, 12, 1, NVIDIA GeForce GTX 1060 6GB,1671487438.8493247,27.6,8.2,16.3,48.0,0.0,0.0,0.0,0.0,3391179,3345184,3367779,3368504,3372503,3370902
6,1671487439.558, 70.36, 1911, 3802, 67, 50, 23, NVIDIA GeForce GTX 1060 6GB,1671487439.5329266,39.2,6.2,16.5,38.1,0.0,0.0,0.0,0.0,3333594,3333596,3333591,3333592,3333600,3333591
7,1671487440.225, 68.82, 1911, 3802, 67, 57, 23, NVIDIA GeForce GTX 1060 6GB,1671487440.2046025,44.8,6.2,15.6,33.3,0.0,0.0,0.0,0.0,3333594,3333592,3333591,3333595,3333596,3333591
8,1671487440.919, 40.88, 1911, 3802, 66, 13, 3, NVIDIA GeForce GTX 1060 6GB,1671487440.8786085,29.4,22.5,16.7,31.4,0.0,0.0,0.0,0.0,3428113,3415762,3411705,3390059,3422073,3422744
9,1671487441.58, 40.78, 1911, 3802, 66, 4, 0, NVIDIA GeForce GTX 1060 6GB,1671487441.5593278,14.4,5.2,16.5,63.9,0.0,0.0,0.0,0.0,3466804,3519139,3524135,3481465,3466452,3510073
