,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671498717.321, 33.45, 1556, 3802, 68, 0, 0, NVIDIA GeForce GTX 1060 6GB,1671498717.302058,17.9,0.0,0.0,82.1,0.0,0.0,0.0,0.0,3333705,3333591,3333598,3333710,3333645,3333687
1,1671498717.974, 33.65, 1556, 3802, 68, 0, 0, NVIDIA GeForce GTX 1060 6GB,1671498717.953983,30.2,13.5,0.0,56.2,0.0,0.0,0.0,0.0,3292211,3099774,3312183,3286585,3283887,3207994
2,1671498718.622, 33.57, 1556, 3802, 67, 6, 1, NVIDIA GeForce GTX 1060 6GB,1671498718.6020155,15.5,4.1,0.0,80.4,0.0,0.0,0.0,0.0,3233098,3328187,3325295,3332784,3333652,3333591
3,1671498719.288, 33.54, 1556, 3802, 67, 12, 1, NVIDIA GeForce GTX 1060 6GB,1671498719.2671678,12.4,6.2,0.0,81.4,0.0,0.0,0.0,0.0,3311685,3313486,3316812,3324224,3309437,3309165
4,1671498719.93, 33.36, 1556, 3802, 67, 5, 0, NVIDIA GeForce GTX 1060 6GB,1671498719.9113762,14.3,9.2,0.0,76.5,0.0,0.0,0.0,0.0,3328291,3321372,3256232,3296177,3328728,3330116
5,1671498720.57, 61.44, 1721, 3802, 68, 56, 28, NVIDIA GeForce GTX 1060 6GB,1671498720.5515385,27.1,2.1,0.0,70.8,0.0,0.0,0.0,0.0,3328926,3328826,3330765,3333028,3327120,3300488
6,1671498721.211, 73.17, 1898, 3802, 69, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671498721.1931274,28.9,1.0,0.0,70.1,0.0,0.0,0.0,0.0,3313588,3324662,3322231,3268115,3298813,3313939
7,1671498721.87, 44.77, 1898, 3802, 68, 38, 19, NVIDIA GeForce GTX 1060 6GB,1671498721.8317845,11.2,13.3,0.0,75.5,0.0,0.0,0.0,0.0,3325676,3320228,3293868,3283102,3324972,3212157
8,1671498722.535, 40.91, 1898, 3802, 68, 0, 0, NVIDIA GeForce GTX 1060 6GB,1671498722.5143638,1.9,1.9,0.0,96.1,0.0,0.0,0.0,0.0,2567984,1932566,2420196,2898364,2128146,2069366
9,1671498723.201, 40.81, 1898, 3802, 68, 0, 0, NVIDIA GeForce GTX 1060 6GB,1671498723.1786666,1.0,5.9,0.0,93.1,0.0,0.0,0.0,0.0,2193755,1877146,2581741,2155829,1881600,1761091
