,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671505060.273, 8.20, 240, 405, 51, 0, 3, NVIDIA GeForce GTX 1060 6GB,1671505060.253992,16.5,3.1,0.0,80.4,0.0,0.0,0.0,0.0,3333778,3333653,3333603,3333652,3333591,3333592
1,1671505060.915, 7.72, 240, 405, 51, 1, 3, NVIDIA GeForce GTX 1060 6GB,1671505060.8955588,11.3,8.2,0.0,80.4,0.0,0.0,0.0,0.0,3333704,3333606,3333605,3333650,3333591,3333593
2,1671505061.567, 31.52, 1556, 3802, 51, 6, 1, NVIDIA GeForce GTX 1060 6GB,1671505061.5475922,12.1,9.1,0.0,77.8,1.0,0.0,0.0,0.0,3224359,3122435,3321343,3125597,3217951,3295042
3,1671505062.212, 31.51, 1556, 3802, 52, 7, 1, NVIDIA GeForce GTX 1060 6GB,1671505062.1912885,16.2,3.0,0.0,80.8,0.0,0.0,0.0,0.0,3322790,3331062,3319333,3332660,3332301,3333781
4,1671505062.862, 31.80, 1556, 3802, 52, 12, 1, NVIDIA GeForce GTX 1060 6GB,1671505062.8423052,15.6,6.2,0.0,78.1,0.0,0.0,0.0,0.0,3267248,3250861,3294264,3278244,3323558,3311213
5,1671505063.511, 31.60, 1556, 3802, 52, 5, 1, NVIDIA GeForce GTX 1060 6GB,1671505063.491378,12.6,4.2,0.0,83.2,0.0,0.0,0.0,0.0,3333606,3333627,3333605,3333661,3333729,3333591
6,1671505064.149, 72.70, 1949, 3802, 54, 52, 27, NVIDIA GeForce GTX 1060 6GB,1671505064.1314049,28.3,3.0,0.0,68.7,0.0,0.0,0.0,0.0,3333623,3333604,3333594,3333662,3333610,3333590
7,1671505064.79, 71.98, 1949, 3802, 54, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671505064.771228,40.8,8.2,0.0,51.0,0.0,0.0,0.0,0.0,3372928,3381340,3352604,3421471,3408986,3425153
8,1671505065.443, 72.29, 1949, 3802, 55, 58, 25, NVIDIA GeForce GTX 1060 6GB,1671505065.4223027,33.7,12.2,0.0,54.1,0.0,0.0,0.0,0.0,3466507,3466792,3466611,3492547,3466255,3492896
9,1671505066.099, 71.55, 1949, 3802, 55, 54, 25, NVIDIA GeForce GTX 1060 6GB,1671505066.0782366,40.2,8.2,0.0,51.5,0.0,0.0,0.0,0.0,3466984,3466971,3466962,3488611,3466976,3490446
