,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671507347.545, 40.13, 1923, 3802, 63, 1, 0, NVIDIA GeForce GTX 1060 6GB,1671507347.5252357,20.4,1.0,0.0,78.6,0.0,0.0,0.0,0.0,3333591,3333749,3333607,3333623,3333693,3333612
1,1671507348.209, 40.02, 1923, 3802, 63, 0, 0, NVIDIA GeForce GTX 1060 6GB,1671507348.1863296,12.5,6.2,0.0,81.2,0.0,0.0,0.0,0.0,3333591,3333632,3333594,3333633,3333776,3333667
2,1671507348.875, 40.04, 1923, 3802, 62, 6, 1, NVIDIA GeForce GTX 1060 6GB,1671507348.8525796,18.6,7.2,0.0,74.2,0.0,0.0,0.0,0.0,3269543,3318151,3331562,3323863,3331232,3331159
3,1671507349.543, 32.67, 1556, 3802, 62, 7, 1, NVIDIA GeForce GTX 1060 6GB,1671507349.520899,16.5,5.2,0.0,78.4,0.0,0.0,0.0,0.0,3333591,3333635,3333674,3333611,3333692,3333609
4,1671507350.211, 32.48, 1556, 3802, 62, 8, 1, NVIDIA GeForce GTX 1060 6GB,1671507350.1891515,13.1,6.1,0.0,79.8,0.0,0.0,1.0,0.0,3331649,3220380,3308801,3179595,3295166,3290388
5,1671507350.88, 50.81, 1556, 3802, 62, 8, 1, NVIDIA GeForce GTX 1060 6GB,1671507350.8594115,13.4,7.2,0.0,79.4,0.0,0.0,0.0,0.0,3329394,3281960,3294977,3300157,3322869,3312158
6,1671507351.561, 75.65, 1923, 3802, 63, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671507351.527545,28.6,3.1,0.0,67.3,0.0,0.0,1.0,0.0,3305595,3319021,3320252,3324195,3311574,3301462
7,1671507352.22, 71.40, 1923, 3802, 63, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671507352.1992168,42.3,4.1,0.0,53.6,0.0,0.0,0.0,0.0,3333591,3330991,3333497,3333591,3333617,3333605
8,1671507352.88, 71.72, 1923, 3802, 63, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671507352.8586407,38.9,5.3,0.0,55.8,0.0,0.0,0.0,0.0,3333591,3333605,3333607,3333591,3333602,3333617
9,1671507353.54, 72.47, 1923, 3802, 63, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671507353.5189674,41.7,3.1,0.0,55.2,0.0,0.0,0.0,0.0,3333593,3333594,3333617,3333591,3333611,3333600
10,1671507354.207, 73.27, 1923, 3802, 64, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671507354.1858606,42.4,6.1,0.0,51.5,0.0,0.0,0.0,0.0,3362792,3482257,3443497,3454616,3443960,3434413
11,1671507354.864, 74.42, 1923, 3802, 64, 50, 26, NVIDIA GeForce GTX 1060 6GB,1671507354.8438113,44.3,3.1,0.0,52.6,0.0,0.0,0.0,0.0,3466961,3500935,3467018,3500140,3466950,3466950
12,1671507355.52, 72.11, 1923, 3802, 64, 51, 26, NVIDIA GeForce GTX 1060 6GB,1671507355.4993992,41.8,3.1,0.0,55.1,0.0,0.0,0.0,0.0,3493405,3466941,3467022,3492064,3466996,3466938
13,1671507356.194, 73.05, 1923, 3802, 64, 60, 20, NVIDIA GeForce GTX 1060 6GB,1671507356.1712708,35.1,9.3,0.0,55.7,0.0,0.0,0.0,0.0,3497653,3466127,3466297,3497225,3466443,3466797
