,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671591269.616, 38.86, 1961, 3802, 46, 1, 1, NVIDIA GeForce GTX 1060 6GB,1671591269.5979707,48.4,4.2,0.0,47.4,0.0,0.0,0.0,0.0,3466605,3466663,3466603,3466662,3466595,3466615
1,1671591270.263, 38.86, 1961, 3802, 45, 8, 1, NVIDIA GeForce GTX 1060 6GB,1671591270.2435212,46.9,6.2,0.0,46.9,0.0,0.0,0.0,0.0,3466599,3466680,3466599,3466649,3466601,3466650
2,1671591270.918, 39.24, 1961, 3802, 45, 12, 1, NVIDIA GeForce GTX 1060 6GB,1671591270.8983612,52.1,14.6,0.0,33.3,0.0,0.0,0.0,0.0,3477886,3482424,3466606,3468432,3466666,3466609
3,1671591271.574, 38.66, 1961, 3802, 45, 10, 1, NVIDIA GeForce GTX 1060 6GB,1671591271.5550206,62.6,8.1,0.0,28.3,1.0,0.0,0.0,0.0,3466599,3466606,3466610,3466636,3466599,3466645
4,1671591272.244, 38.95, 1961, 3802, 45, 16, 1, NVIDIA GeForce GTX 1060 6GB,1671591272.2206638,60.4,16.8,0.0,22.8,0.0,0.0,0.0,0.0,3466600,3466601,3466603,3466604,3466611,3466601
5,1671591272.955, 38.75, 1961, 3802, 45, 11, 1, NVIDIA GeForce GTX 1060 6GB,1671591272.9276676,39.1,24.3,0.0,20.0,14.8,0.0,1.7,0.0,3466607,3466604,3466604,3466617,3466655,3466608
6,1671591273.595, 118.73, 1936, 3802, 47, 86, 50, NVIDIA GeForce GTX 1060 6GB,1671591273.577559,57.1,5.1,0.0,37.8,0.0,0.0,0.0,0.0,3466612,3466619,3475362,3469631,3466646,3477084
7,1671591274.249, 122.85, 1961, 3802, 48, 100, 73, NVIDIA GeForce GTX 1060 6GB,1671591274.227263,67.7,9.1,0.0,23.2,0.0,0.0,0.0,0.0,3466607,3466604,3466599,3466599,3466619,3466599
8,1671591274.886, 106.81, 1961, 3802, 49, 100, 65, NVIDIA GeForce GTX 1060 6GB,1671591274.8681273,60.8,3.1,0.0,36.1,0.0,0.0,0.0,0.0,3466602,3466603,3466599,3466599,3466665,3466599
9,1671591275.517, 110.36, 1949, 3802, 49, 100, 62, NVIDIA GeForce GTX 1060 6GB,1671591275.4997673,60.2,13.3,0.0,26.5,0.0,0.0,0.0,0.0,3466601,3466602,3466602,3466599,3466617,3466599
10,1671591276.166, 96.61, 1936, 3802, 50, 100, 62, NVIDIA GeForce GTX 1060 6GB,1671591276.1367548,62.9,12.4,0.0,24.7,0.0,0.0,0.0,0.0,3466610,3466600,3466608,3466599,3466624,3466599
11,1671591276.826, 107.64, 1936, 3802, 50, 100, 62, NVIDIA GeForce GTX 1060 6GB,1671591276.799539,53.6,8.2,0.0,38.1,0.0,0.0,0.0,0.0,3466599,3466599,3466617,3466608,3466615,3466600
12,1671591277.46, 121.69, 1949, 3802, 50, 99, 66, NVIDIA GeForce GTX 1060 6GB,1671591277.441757,56.7,5.2,0.0,38.1,0.0,0.0,0.0,0.0,3466599,3466600,3466602,3466611,3466628,3466599
13,1671591278.093, 118.76, 1949, 3802, 50, 100, 72, NVIDIA GeForce GTX 1060 6GB,1671591278.076298,58.2,3.1,0.0,37.8,1.0,0.0,0.0,0.0,3466599,3466604,3466599,3466603,3466658,3466599
14,1671591278.725, 99.02, 1949, 3802, 50, 100, 59, NVIDIA GeForce GTX 1060 6GB,1671591278.7076006,56.2,3.1,0.0,40.6,0.0,0.0,0.0,0.0,3466600,3466607,3466599,3466613,3466617,3466599
15,1671591279.359, 97.19, 1949, 3802, 51, 100, 62, NVIDIA GeForce GTX 1060 6GB,1671591279.3408964,61.2,17.3,0.0,21.4,0.0,0.0,0.0,0.0,3466599,3466607,3466599,3466617,3466640,3466599
