,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671594515.104, 9.17, 202, 405, 51, 1, 3, NVIDIA GeForce GTX 1060 6GB,1671594515.0728729,45.4,7.2,0.0,47.4,0.0,0.0,0.0,0.0,3333268,3333431,3333270,3333269,3333286,3333268
1,1671594516.163, 31.61, 1556, 3802, 51, 7, 1, NVIDIA GeForce GTX 1060 6GB,1671594516.1421196,59.0,13.0,0.0,28.0,0.0,0.0,0.0,0.0,3466649,3466603,3467013,3471944,3497651,3495937
2,1671594517.265, 31.61, 1556, 3802, 52, 7, 1, NVIDIA GeForce GTX 1060 6GB,1671594517.2456887,46.9,8.2,0.0,44.9,0.0,0.0,0.0,0.0,3466716,3466600,3466706,3466600,3466600,3466729
3,1671594518.399, 31.61, 1556, 3802, 52, 10, 1, NVIDIA GeForce GTX 1060 6GB,1671594518.3778007,56.7,11.3,0.0,32.0,0.0,0.0,0.0,0.0,3466613,3466599,3466599,3466599,3466539,3466612
4,1671594519.51, 74.18, 1949, 3802, 55, 96, 60, NVIDIA GeForce GTX 1060 6GB,1671594519.48975,61.9,6.2,0.0,32.0,0.0,0.0,0.0,0.0,3466599,3466641,3466722,3466596,3466603,3466749
5,1671594520.617, 48.77, 1936, 3802, 55, 60, 35, NVIDIA GeForce GTX 1060 6GB,1671594520.593799,59.2,5.1,0.0,35.7,0.0,0.0,0.0,0.0,3466600,3466595,3466599,3466599,3467137,3466812
6,1671594521.721, 74.11, 1936, 3802, 55, 84, 50, NVIDIA GeForce GTX 1060 6GB,1671594521.701672,61.2,5.1,0.0,32.7,1.0,0.0,0.0,0.0,3466599,3466599,3466726,3466575,3467081,3466603
7,1671594522.822, 66.62, 1936, 3802, 55, 48, 24, NVIDIA GeForce GTX 1060 6GB,1671594522.8017628,62.9,5.2,0.0,32.0,0.0,0.0,0.0,0.0,3466600,3466610,3466612,3466601,3466601,3466784
8,1671594523.924, 71.94, 1936, 3802, 56, 50, 26, NVIDIA GeForce GTX 1060 6GB,1671594523.9057317,56.1,6.1,0.0,37.8,0.0,0.0,0.0,0.0,3466609,3466605,3466733,3466599,3466083,3466600
9,1671594525.024, 71.53, 1936, 3802, 56, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671594525.0057063,60.2,3.1,0.0,36.7,0.0,0.0,0.0,0.0,3466632,3466599,3466604,3466599,3467174,3466625
