,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671597416.479, 34.32, 1695, 4006, 57, 0, 0, NVIDIA GeForce GTX 1060 6GB,1671597416.4155233,46.9,5.2,0.0,47.9,0.0,0.0,0.0,0.0,3333297,3333269,3333269,3333286,3333408,3333269
1,1671597417.561, 33.93, 1695, 3802, 56, 36, 1, NVIDIA GeForce GTX 1060 6GB,1671597417.5393612,53.9,15.7,0.0,29.4,0.0,0.0,1.0,0.0,3446422,3473802,3471233,3487064,3466947,3484786
2,1671597418.69, 33.93, 1695, 3802, 57, 6, 1, NVIDIA GeForce GTX 1060 6GB,1671597418.6698189,46.4,6.2,0.0,47.4,0.0,0.0,0.0,0.0,3466753,3467222,3466718,3466600,3466598,3466599
3,1671597419.834, 34.13, 1695, 3802, 56, 11, 1, NVIDIA GeForce GTX 1060 6GB,1671597419.8097594,59.2,9.2,0.0,31.6,0.0,0.0,0.0,0.0,3466600,3465320,3466600,3466598,3466911,3466611
4,1671597420.949, 74.79, 1923, 3802, 59, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671597420.9296284,56.4,5.0,0.0,37.6,1.0,0.0,0.0,0.0,3466400,3466727,3466585,3466600,3466573,3466600
5,1671597422.066, 75.00, 1923, 3802, 59, 51, 25, NVIDIA GeForce GTX 1060 6GB,1671597422.045746,60.2,5.1,0.0,34.7,0.0,0.0,0.0,0.0,3466698,3466599,3466622,3466592,3466600,3466599
6,1671597423.216, 93.53, 1923, 3802, 59, 54, 30, NVIDIA GeForce GTX 1060 6GB,1671597423.1853034,56.3,4.9,0.0,38.8,0.0,0.0,0.0,0.0,3466599,3466910,3466642,3466599,3466614,3466466
7,1671597424.358, 74.79, 1923, 3802, 59, 86, 51, NVIDIA GeForce GTX 1060 6GB,1671597424.337758,63.9,5.2,0.0,30.9,0.0,0.0,0.0,0.0,3466600,3466549,3466429,3466608,3466599,3466599
8,1671597425.495, 81.04, 1923, 3802, 59, 48, 24, NVIDIA GeForce GTX 1060 6GB,1671597425.4739645,57.7,8.2,0.0,34.0,0.0,0.0,0.0,0.0,3466608,3466790,3466599,3466604,3466599,3466599
9,1671597426.618, 73.46, 1923, 3802, 60, 74, 46, NVIDIA GeForce GTX 1060 6GB,1671597426.5976925,66.7,10.1,0.0,23.2,0.0,0.0,0.0,0.0,3466601,3466608,3466605,3466598,3466768,3466599
10,1671597427.741, 102.88, 1923, 3802, 60, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671597427.721753,59.4,4.0,0.0,36.6,0.0,0.0,0.0,0.0,3466630,3466606,3466617,3466599,3466753,3466600
11,1671597428.87, 72.83, 1923, 3802, 60, 74, 46, NVIDIA GeForce GTX 1060 6GB,1671597428.8497114,62.5,2.1,0.0,35.4,0.0,0.0,0.0,0.0,3466815,3466599,3466624,3466599,3466601,3466578
12,1671597429.993, 74.08, 1923, 3802, 60, 82, 48, NVIDIA GeForce GTX 1060 6GB,1671597429.9736943,58.8,5.2,0.0,36.1,0.0,0.0,0.0,0.0,3466620,3466600,3466596,3466597,3466964,3466599
13,1671597431.114, 76.50, 1923, 3802, 60, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597431.093674,70.1,4.1,0.0,25.8,0.0,0.0,0.0,0.0,3466604,3466619,3466083,3466658,3466599,3466588
14,1671597432.233, 74.37, 1923, 3802, 60, 50, 26, NVIDIA GeForce GTX 1060 6GB,1671597432.2136996,59.6,4.0,0.0,36.4,0.0,0.0,0.0,0.0,3466621,3465978,3466611,3466605,3466599,3466599
15,1671597433.346, 73.07, 1923, 3802, 60, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597433.3256962,59.8,3.1,0.0,37.1,0.0,0.0,0.0,0.0,3466600,3467288,3466658,3466609,3466600,3466588
16,1671597434.469, 87.15, 1923, 3802, 61, 89, 53, NVIDIA GeForce GTX 1060 6GB,1671597434.4497595,56.1,7.1,0.0,36.7,0.0,0.0,0.0,0.0,3466641,3466730,3466607,3466614,3466600,3466573
17,1671597435.59, 73.82, 1923, 3802, 61, 76, 48, NVIDIA GeForce GTX 1060 6GB,1671597435.5696945,58.8,4.1,0.0,37.1,0.0,0.0,0.0,0.0,3466598,3466658,3466838,3466608,3466600,3466599
18,1671597436.701, 40.20, 1923, 3802, 60, 79, 53, NVIDIA GeForce GTX 1060 6GB,1671597436.6817272,61.2,8.2,0.0,30.6,0.0,0.0,0.0,0.0,3466603,3466621,3468804,3466599,3466600,3466577
19,1671597437.819, 70.05, 1923, 3802, 60, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671597437.7977216,57.1,4.1,0.0,38.8,0.0,0.0,0.0,0.0,3466658,3466600,3466601,3466633,3466600,3466592
20,1671597438.939, 87.09, 1923, 3802, 61, 59, 31, NVIDIA GeForce GTX 1060 6GB,1671597438.9176455,55.6,7.1,0.0,37.4,0.0,0.0,0.0,0.0,3466621,3466599,3466879,3466659,3466592,3466599
21,1671597440.063, 73.63, 1923, 3802, 61, 52, 25, NVIDIA GeForce GTX 1060 6GB,1671597440.0416894,57.1,5.1,0.0,37.8,0.0,0.0,0.0,0.0,3467056,3466596,3466603,3466600,3466672,3466600
22,1671597441.173, 72.11, 1923, 3802, 61, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597441.1536894,45.9,5.1,0.0,49.0,0.0,0.0,0.0,0.0,3466687,3496659,3466599,3466787,3516838,3489319
23,1671597442.277, 76.23, 1923, 3802, 61, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597442.2577162,48.0,6.0,0.0,46.0,0.0,0.0,0.0,0.0,3466834,3466606,3466618,3466865,3480130,3476126
24,1671597443.377, 73.43, 1923, 3802, 61, 51, 26, NVIDIA GeForce GTX 1060 6GB,1671597443.3576844,47.0,7.0,0.0,46.0,0.0,0.0,0.0,0.0,3466617,3466616,3466609,3488383,3467197,3497931
25,1671597444.481, 71.24, 1923, 3802, 61, 51, 26, NVIDIA GeForce GTX 1060 6GB,1671597444.4616876,39.6,4.2,0.0,56.2,0.0,0.0,0.0,0.0,3466639,3466604,3466722,3494878,3466624,3504233
