,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671597796.279, 32.77, 1556, 4006, 59, 0, 0, NVIDIA GeForce GTX 1060 6GB,1671597796.2600858,15.5,3.1,0.0,81.4,0.0,0.0,0.0,0.0,3333336,3333384,3333286,3333276,3333269,3333303
1,1671597797.396, 32.58, 1556, 3802, 59, 5, 1, NVIDIA GeForce GTX 1060 6GB,1671597797.3739057,6.1,13.3,0.0,80.6,0.0,0.0,0.0,0.0,3333493,3333292,3333312,3333546,3242026,3332151
2,1671597798.531, 32.58, 1556, 3802, 59, 7, 1, NVIDIA GeForce GTX 1060 6GB,1671597798.5098085,11.5,6.2,0.0,82.3,0.0,0.0,0.0,0.0,3333450,3333346,3333305,3230584,3333268,3248659
3,1671597799.654, 78.92, 1923, 3802, 60, 49, 27, NVIDIA GeForce GTX 1060 6GB,1671597799.6337135,18.4,6.1,0.0,75.5,0.0,0.0,0.0,0.0,3202206,3284338,3333354,3333281,3333365,3333279
4,1671597800.79, 72.29, 1923, 3802, 61, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671597800.7697783,27.8,6.2,0.0,66.0,0.0,0.0,0.0,0.0,3333269,3333273,3333584,3333270,3333458,3333294
5,1671597801.911, 70.61, 1923, 3802, 61, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597801.8898091,28.1,4.2,0.0,67.7,0.0,0.0,0.0,0.0,3333268,3333387,3332068,3333307,3333423,3333406
6,1671597803.038, 74.43, 1923, 3802, 61, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597803.0177317,26.5,3.1,0.0,70.4,0.0,0.0,0.0,0.0,3333268,3220404,3333404,3333491,3333270,3333271
7,1671597804.165, 78.00, 1923, 3802, 61, 37, 19, NVIDIA GeForce GTX 1060 6GB,1671597804.1457431,25.0,2.1,0.0,72.9,0.0,0.0,0.0,0.0,3252456,3333298,3333375,3333405,3333268,3333242
8,1671597805.291, 72.89, 1923, 3802, 62, 49, 24, NVIDIA GeForce GTX 1060 6GB,1671597805.2697406,28.1,3.1,0.0,68.8,0.0,0.0,0.0,0.0,3333300,3333127,3333269,3333345,3333396,3333337
9,1671597806.422, 71.83, 1923, 3802, 62, 51, 25, NVIDIA GeForce GTX 1060 6GB,1671597806.4016945,27.1,2.1,0.0,70.8,0.0,0.0,0.0,0.0,3334719,3333273,3333269,3333381,3333535,3333531
10,1671597807.602, 63.43, 1923, 3802, 62, 41, 20, NVIDIA GeForce GTX 1060 6GB,1671597807.5617318,30.0,2.0,0.0,68.0,0.0,0.0,0.0,0.0,3333271,3333268,3333268,3333269,3333269,3333269
11,1671597808.725, 74.78, 1923, 3802, 62, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597808.7056918,26.3,3.0,0.0,69.7,0.0,0.0,1.0,0.0,3333316,3333268,3333537,3333272,3333270,3333221
12,1671597809.85, 70.96, 1923, 3802, 62, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671597809.8297324,29.2,1.0,0.0,69.8,0.0,0.0,0.0,0.0,3333273,3333346,3333269,3333345,3333330,3333280
13,1671597810.988, 70.78, 1923, 3802, 62, 71, 26, NVIDIA GeForce GTX 1060 6GB,1671597810.965808,26.8,2.1,0.0,71.1,0.0,0.0,0.0,0.0,3332551,3333486,3333269,3333277,3333292,3333286
14,1671597812.135, 71.70, 1923, 3802, 62, 91, 26, NVIDIA GeForce GTX 1060 6GB,1671597812.1136851,30.9,1.0,0.0,68.0,0.0,0.0,0.0,0.0,3333449,3212663,3242406,3333270,3333126,3303113
15,1671597813.262, 73.45, 1923, 3802, 62, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671597813.2417667,28.9,2.1,0.0,69.1,0.0,0.0,0.0,0.0,3269453,3333537,3333269,3333271,3334008,3333402
16,1671597814.386, 73.33, 1923, 3802, 62, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597814.3658154,27.1,7.3,0.0,65.6,0.0,0.0,0.0,0.0,3333394,3333282,3333268,3333277,3296249,3333335
17,1671597815.51, 74.75, 1923, 3802, 62, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671597815.4897003,30.2,4.2,0.0,65.6,0.0,0.0,0.0,0.0,3333427,3333552,3333269,3333274,3333832,3333265
18,1671597816.634, 74.41, 1923, 3802, 62, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597816.6137154,26.8,2.1,0.0,71.1,0.0,0.0,0.0,0.0,3333269,3333335,3316743,3332566,3333363,3333266
19,1671597817.758, 75.17, 1923, 3802, 62, 51, 26, NVIDIA GeForce GTX 1060 6GB,1671597817.7376187,26.8,2.1,0.0,70.1,0.0,0.0,1.0,0.0,3335029,3333288,3333344,3333440,3333290,3333269
20,1671597818.882, 72.37, 1923, 3802, 62, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671597818.8617268,25.5,3.1,0.0,71.4,0.0,0.0,0.0,0.0,3333269,3323283,3333274,3333346,3334231,3333267
21,1671597820.01, 73.14, 1923, 3802, 62, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597819.989726,27.6,3.1,0.0,69.4,0.0,0.0,0.0,0.0,3333268,3333360,3333342,3333560,3333420,3333270
22,1671597821.134, 71.71, 1923, 3802, 62, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597821.1137366,30.6,2.0,0.0,67.3,0.0,0.0,0.0,0.0,3333288,3333287,3333443,3333268,3333988,3333389
23,1671597822.258, 74.69, 1923, 3802, 62, 59, 25, NVIDIA GeForce GTX 1060 6GB,1671597822.2376661,28.6,2.0,0.0,69.4,0.0,0.0,0.0,0.0,3333329,3333279,2895961,3333438,3333295,3333277
24,1671597823.382, 69.71, 1923, 3802, 62, 30, 15, NVIDIA GeForce GTX 1060 6GB,1671597823.3617566,33.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,3333407,3333269,3333236,3333305,3333269,2601825
25,1671597824.51, 73.26, 1923, 3802, 62, 69, 26, NVIDIA GeForce GTX 1060 6GB,1671597824.489684,29.2,3.1,0.0,67.7,0.0,0.0,0.0,0.0,3333331,3333269,3333269,3291309,3333427,3333237
26,1671597825.63, 74.25, 1923, 3802, 62, 59, 25, NVIDIA GeForce GTX 1060 6GB,1671597825.6097221,27.8,2.1,0.0,70.1,0.0,0.0,0.0,0.0,3333271,3333268,3333444,3333297,3333272,3333718
27,1671597826.762, 74.41, 1923, 3802, 63, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671597826.7377846,28.1,0.0,0.0,63.5,8.3,0.0,0.0,0.0,3333228,3333269,3333459,3333504,3333279,3333361
28,1671597827.902, 72.76, 1923, 3802, 62, 49, 24, NVIDIA GeForce GTX 1060 6GB,1671597827.8818042,26.8,4.1,0.0,69.1,0.0,0.0,0.0,0.0,3333315,3333268,3332389,3333506,3331468,3333380
