,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671598115.625, 39.83, 1923, 3802, 61, 0, 0, NVIDIA GeForce GTX 1060 6GB,1671598115.6058717,55.7,5.2,0.0,39.2,0.0,0.0,0.0,0.0,3466602,3466604,3466605,3466599,3466599,3466611
1,1671598116.724, 40.01, 1923, 3802, 60, 13, 1, NVIDIA GeForce GTX 1060 6GB,1671598116.7018301,30.4,16.7,1.0,51.0,0.0,0.0,1.0,0.0,3498069,3466599,3466726,3469775,3488612,3466495
2,1671598117.862, 39.91, 1923, 3802, 60, 7, 1, NVIDIA GeForce GTX 1060 6GB,1671598117.8378186,43.0,14.0,0.0,43.0,0.0,0.0,0.0,0.0,3466613,3466573,3466805,3466791,3466600,3466599
3,1671598118.993, 113.14, 1923, 3802, 60, 16, 1, NVIDIA GeForce GTX 1060 6GB,1671598118.9737453,42.4,14.1,0.0,43.4,0.0,0.0,0.0,0.0,3466639,3466191,3466546,3466611,3466631,3466600
4,1671598120.137, 106.89, 1885, 3802, 63, 100, 58, NVIDIA GeForce GTX 1060 6GB,1671598120.1017902,66.0,18.6,0.0,15.5,0.0,0.0,0.0,0.0,3466663,3466599,3466746,3466608,3466739,3466593
5,1671598121.269, 103.03, 1923, 3802, 63, 100, 58, NVIDIA GeForce GTX 1060 6GB,1671598121.2496972,63.9,13.4,0.0,22.7,0.0,0.0,0.0,0.0,3466616,3466599,3467085,3466609,3466602,3466600
6,1671598122.383, 117.65, 1911, 3802, 64, 100, 69, NVIDIA GeForce GTX 1060 6GB,1671598122.361671,55.7,4.1,0.0,40.2,0.0,0.0,0.0,0.0,3466599,3466599,3466581,3466895,3466601,3466600
7,1671598123.513, 100.09, 1923, 3802, 64, 100, 61, NVIDIA GeForce GTX 1060 6GB,1671598123.4937158,64.3,11.2,0.0,23.5,0.0,0.0,1.0,0.0,3466600,3466600,3466576,3466758,3466691,3466698
8,1671598124.625, 119.69, 1923, 3802, 64, 100, 63, NVIDIA GeForce GTX 1060 6GB,1671598124.6057012,56.1,4.1,0.0,39.8,0.0,0.0,0.0,0.0,3466877,3466599,3466620,3466599,3467423,3466617
9,1671598125.746, 107.18, 1923, 3802, 64, 100, 62, NVIDIA GeForce GTX 1060 6GB,1671598125.7256672,67.0,10.3,0.0,22.7,0.0,0.0,0.0,0.0,3466607,3466599,3466600,3466552,3466717,3466612
10,1671598126.861, 117.34, 1911, 3802, 65, 100, 66, NVIDIA GeForce GTX 1060 6GB,1671598126.8417823,55.6,4.0,0.0,40.4,0.0,0.0,0.0,0.0,3466576,3466600,3466590,3466670,3466877,3466612
11,1671598127.981, 111.92, 1923, 3802, 65, 100, 59, NVIDIA GeForce GTX 1060 6GB,1671598127.9617283,66.3,10.2,0.0,23.5,0.0,0.0,0.0,0.0,3466600,3466600,3466600,3466638,3467232,3466662
12,1671598129.107, 113.21, 1923, 3802, 65, 100, 64, NVIDIA GeForce GTX 1060 6GB,1671598129.0856714,57.3,4.2,0.0,38.5,0.0,0.0,0.0,0.0,3466600,3466599,3466600,3466601,3466672,3466609
