,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671598458.065, 40.90, 1923, 3802, 62, 2, 1, NVIDIA GeForce GTX 1060 6GB,1671598458.0441709,35.4,6.1,0.0,57.6,0.0,0.0,1.0,0.0,3333355,3333274,3333269,3333338,3333269,3333300
1,1671598459.137, 40.80, 1923, 3802, 61, 12, 2, NVIDIA GeForce GTX 1060 6GB,1671598459.1137109,86.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,3333274,3333317,3333269,3333305,3333547,3333272
2,1671598460.267, 40.03, 1923, 3802, 61, 7, 1, NVIDIA GeForce GTX 1060 6GB,1671598460.2457516,28.6,8.2,0.0,63.3,0.0,0.0,0.0,0.0,3467197,3466745,3532789,3466830,3466893,3567617
3,1671598461.427, 40.03, 1923, 3802, 61, 7, 1, NVIDIA GeForce GTX 1060 6GB,1671598461.4058337,68.6,5.9,0.0,24.5,0.0,0.0,1.0,0.0,3466947,3466598,3466600,3466677,3466600,3466865
4,1671598462.571, 69.51, 1923, 3802, 62, 55, 26, NVIDIA GeForce GTX 1060 6GB,1671598462.5497243,39.2,15.5,0.0,45.4,0.0,0.0,0.0,0.0,3333366,3333269,3333269,3332857,3333282,3333281
5,1671598463.703, 71.91, 1923, 3802, 63, 49, 25, NVIDIA GeForce GTX 1060 6GB,1671598463.6817527,42.1,3.2,0.0,54.7,0.0,0.0,0.0,0.0,3333269,3333352,3333279,3333401,3333300,3333269
6,1671598464.837, 99.22, 1923, 3802, 62, 51, 23, NVIDIA GeForce GTX 1060 6GB,1671598464.8177283,56.6,11.1,0.0,32.3,0.0,0.0,0.0,0.0,3466672,3466668,3466777,3466599,3466601,3467723
7,1671598465.945, 88.33, 1923, 3802, 64, 100, 48, NVIDIA GeForce GTX 1060 6GB,1671598465.9256628,39.6,4.2,0.0,56.2,0.0,0.0,0.0,0.0,3333334,3333280,3333269,3333295,3333269,3333342
8,1671598467.075, 72.13, 1923, 3802, 63, 47, 24, NVIDIA GeForce GTX 1060 6GB,1671598467.0536978,26.3,4.0,0.0,69.7,0.0,0.0,0.0,0.0,3333268,3333493,3333358,3333269,3333365,3197184
9,1671598468.19, 73.93, 1923, 3802, 63, 51, 25, NVIDIA GeForce GTX 1060 6GB,1671598468.169711,27.6,3.1,0.0,69.4,0.0,0.0,0.0,0.0,3333658,3333442,3333275,3333271,3334079,3333269
10,1671598469.305, 77.59, 1923, 3802, 63, 48, 24, NVIDIA GeForce GTX 1060 6GB,1671598469.285693,32.7,4.1,0.0,63.3,0.0,0.0,0.0,0.0,3333266,3333349,3333346,3333385,3333491,3333269
11,1671598470.413, 73.34, 1923, 3802, 63, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671598470.3936973,33.0,6.2,0.0,60.8,0.0,0.0,0.0,0.0,3333452,3333265,3333551,3333446,3333370,3333268
12,1671598471.534, 71.07, 1923, 3802, 63, 51, 25, NVIDIA GeForce GTX 1060 6GB,1671598471.5136933,34.0,9.7,0.0,55.3,0.0,0.0,1.0,0.0,3333269,3333272,3333420,3333414,3333282,3333493
13,1671598472.645, 74.64, 1923, 3802, 63, 50, 25, NVIDIA GeForce GTX 1060 6GB,1671598472.6256945,27.7,3.0,0.0,67.3,0.0,0.0,2.0,0.0,3333269,3333334,3333272,3332782,3282825,3333563
