,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1671732397.392, 86.96, 1710, 9251, 46, 5, 0, NVIDIA GeForce RTX 3080 Ti,1671732397.35932,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1369248,1200714,4025274,1200019,1422679,1274581,1342369,4015096,1270911,1213650,4016410,1211017,1209678,1254081,1249348,4033851
1,1671732398.359, 109.94, 1710, 9251, 47, 9, 0, NVIDIA GeForce RTX 3080 Ti,1671732398.3271344,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1740781,3584312,4017501,1200704,1200076,1254001,1228585,4003122,1395044,3848867,4000007,1218035,1200040,1500338,1223181,4012454
2,1671732399.351, 110.37, 1710, 9251, 47, 19, 0, NVIDIA GeForce RTX 3080 Ti,1671732399.318003,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1212804,2318604,4008242,1239634,1221784,3898373,1392064,4001269,1273732,1768780,4001314,1212008,1302796,4007429,1213345,4007191
3,1671732400.326, 110.03, 1710, 9251, 47, 5, 0, NVIDIA GeForce RTX 3080 Ti,1671732400.295571,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1285073,1200858,3330092,1221830,1254187,4031172,1278627,4016311,1239137,1201085,1261952,1272573,1441950,4009845,1267234,4030589
4,1671732401.267, 110.27, 1710, 9251, 47, 14, 0, NVIDIA GeForce RTX 3080 Ti,1671732401.2355247,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1235878,1202832,1203101,1352001,1489022,4027489,1416868,4013876,1558347,1432340,1504890,1697685,2463917,2545791,1366142,4029709
5,1671732402.243, 110.87, 1710, 9251, 48, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671732402.2132177,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1617595,1346736,1334140,1377692,4035013,1271298,1334722,4017533,1314250,1207601,1202546,1200044,4003771,1241516,1896300,4040640
6,1671732403.21, 109.94, 1710, 9251, 48, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671732403.1788337,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1211426,1225385,1208023,1285279,4045746,1232627,1250499,4023679,1228938,1228754,1222978,1568004,4022734,1205989,1280703,4044837
7,1671732404.172, 129.44, 1860, 9251, 49, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671732404.1406555,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,2870224,1216641,1208148,1344588,3429216,3657364,1260800,4069116,1255401,1210733,1227651,1591707,3563371,1402090,1912960,4032287
8,1671732405.119, 117.50, 1860, 9251, 49, 1, 0, NVIDIA GeForce RTX 3080 Ti,1671732405.088668,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1200064,1227020,1202240,1263794,4020600,1218925,1243096,4007316,1225809,1208968,1205798,1203050,4043373,1200272,1387678,4042594
9,1671732406.074, 118.47, 1710, 9251, 49, 0, 0, NVIDIA GeForce RTX 3080 Ti,1671732406.044164,5.3,1.0,0.1,93.1,0.5,0.0,0.1,0.0,1306750,1242376,1202467,1509720,1270742,1638502,1743983,4021666,1206641,1231418,1211429,1767451,3414129,1273734,3928366,4059251
