,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1671833830.79, 14.40, 278, 405, 56, 1, 4, NVIDIA GeForce GTX 1060 6GB,1671833830.7687342,30.2,8.3,0.0,61.5,0.0,0.0,0.0,0.0,3333183,3333288,3333362,3333211,3333222,3333182
1,1671833831.493, 14.40, 278, 405, 56, 3, 4, NVIDIA GeForce GTX 1060 6GB,1671833831.4686658,20.2,19.2,0.0,60.6,0.0,0.0,0.0,0.0,3333183,3333264,3333324,3333257,3333258,3333183
2,1671833832.2, 32.08, 1556, 3802, 56, 8, 1, NVIDIA GeForce GTX 1060 6GB,1671833832.1761487,41.0,10.0,0.0,48.0,0.0,0.0,1.0,0.0,3466510,3466659,3465964,3482309,3466509,3466510
3,1671833832.936, 33.05, 1556, 3802, 56, 18, 1, NVIDIA GeForce GTX 1060 6GB,1671833832.9087303,35.1,19.6,0.0,45.4,0.0,0.0,0.0,0.0,3469554,3466287,3466281,3484193,3466460,3473443
4,1671833833.641, 39.53, 1923, 3802, 57, 13, 1, NVIDIA GeForce GTX 1060 6GB,1671833833.6161144,43.3,15.5,0.0,41.2,0.0,0.0,0.0,0.0,3466558,3466515,3466518,3466533,3466519,3466510
5,1671833834.352, 39.63, 1923, 3802, 57, 39, 2, NVIDIA GeForce GTX 1060 6GB,1671833834.329141,45.4,9.3,0.0,45.4,0.0,0.0,0.0,0.0,3466572,3466643,3466510,3466633,3466510,3466510
6,1671833835.132, 58.69, 1923, 3802, 58, 41, 30, NVIDIA GeForce GTX 1060 6GB,1671833835.102724,75.5,3.9,0.0,20.6,0.0,0.0,0.0,0.0,3466512,3467546,3466516,3466518,3466512,3467273
7,1671833835.902, 56.47, 1923, 3802, 58, 43, 29, NVIDIA GeForce GTX 1060 6GB,1671833835.874939,80.2,14.9,0.0,5.0,0.0,0.0,0.0,0.0,3466511,3466513,3466511,3466511,3466512,3466510
8,1671833836.632, 58.10, 1923, 3802, 59, 49, 34, NVIDIA GeForce GTX 1060 6GB,1671833836.6057203,70.0,12.0,0.0,18.0,0.0,0.0,0.0,0.0,3466511,3466510,3466511,3466517,3466512,3466510
9,1671833837.366, 58.23, 1923, 3802, 59, 83, 62, NVIDIA GeForce GTX 1060 6GB,1671833837.3324144,74.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,3466513,3466513,3466519,3466519,3466510,3466510
10,1671833838.107, 95.88, 1923, 3802, 59, 47, 36, NVIDIA GeForce GTX 1060 6GB,1671833838.0749018,73.3,7.9,0.0,18.8,0.0,0.0,0.0,0.0,3466511,3466510,3466516,3466519,3466516,3466510
11,1671833838.838, 59.48, 1923, 3802, 59, 49, 37, NVIDIA GeForce GTX 1060 6GB,1671833838.8136415,69.7,8.1,0.0,22.2,0.0,0.0,0.0,0.0,3466510,3466515,3466523,3466518,3466520,3466510
12,1671833839.546, 63.81, 1923, 3802, 60, 68, 48, NVIDIA GeForce GTX 1060 6GB,1671833839.5209057,83.8,8.1,0.0,8.1,0.0,0.0,0.0,0.0,3466510,3466515,3466510,3466518,3466517,3466510
13,1671833840.28, 49.65, 1923, 3802, 59, 32, 26, NVIDIA GeForce GTX 1060 6GB,1671833840.2570388,67.0,6.2,0.0,26.8,0.0,0.0,0.0,0.0,3466512,3466519,3466518,3466521,3466510,3466510
14,1671833841.007, 64.11, 1923, 3802, 60, 91, 68, NVIDIA GeForce GTX 1060 6GB,1671833840.9794953,72.4,7.6,0.0,20.0,0.0,0.0,0.0,0.0,3466511,3466518,3466517,3466518,3466514,3466510
