,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1675306902.156, 32.87, 1556, 4006, 57, 3, 1, NVIDIA GeForce GTX 1060 6GB,1675306902.1263924,48.0,6.1,0.0,45.9,0.0,0.0,0.0,0.0,3333520,3333530,3333521,3333520,3333616,3333539
1,1675306903.193, 32.19, 1556, 3802, 58, 8, 1, NVIDIA GeForce GTX 1060 6GB,1675306903.1655107,44.3,8.2,0.0,47.4,0.0,0.0,0.0,0.0,3333521,3333533,3333519,3333521,3332947,3333533
2,1675306904.272, 32.19, 1556, 3802, 57, 7, 1, NVIDIA GeForce GTX 1060 6GB,1675306904.2455492,43.4,9.1,0.0,45.5,1.0,0.0,1.0,0.0,3466861,3466861,3466861,3466871,3466878,3467130
3,1675306905.163, 32.19, 1556, 3802, 57, 6, 1, NVIDIA GeForce GTX 1060 6GB,1675306905.1362267,50.0,4.2,0.0,45.8,0.0,0.0,0.0,0.0,3466861,3466861,3466861,3466867,3466927,3466951
4,1675306906.295, 69.67, 1936, 3802, 59, 46, 26, NVIDIA GeForce GTX 1060 6GB,1675306906.265454,59.8,8.2,0.0,32.0,0.0,0.0,0.0,0.0,3466886,3466886,3466863,3466859,3466867,3466864
5,1675306907.241, 73.86, 1936, 3802, 59, 66, 27, NVIDIA GeForce GTX 1060 6GB,1675306907.191709,60.8,5.2,0.0,33.0,1.0,0.0,0.0,0.0,3466889,3466866,3466861,3466867,3466871,3466861
6,1675306908.319, 75.80, 1936, 3802, 60, 52, 27, NVIDIA GeForce GTX 1060 6GB,1675306908.2894003,69.1,10.6,0.0,20.2,0.0,0.0,0.0,0.0,3466877,3466853,3466865,3466891,3466865,3466863
7,1675306909.183, 78.53, 1873, 3802, 60, 80, 53, NVIDIA GeForce GTX 1060 6GB,1675306909.1562803,57.6,4.0,0.0,37.4,1.0,0.0,0.0,0.0,3466878,3466888,3466862,3466869,3466880,3466901
8,1675306910.154, 119.83, 1885, 3802, 61, 93, 66, NVIDIA GeForce GTX 1060 6GB,1675306910.1318192,64.0,7.0,0.0,28.0,1.0,0.0,0.0,0.0,3466591,3472223,3458048,3467181,3457285,3454061
9,1675306911.23, 119.83, 1911, 3802, 61, 99, 68, NVIDIA GeForce GTX 1060 6GB,1675306911.2054846,67.7,6.2,0.0,26.0,0.0,0.0,0.0,0.0,3333527,3333522,3333524,3333738,3333779,3333531
10,1675306912.158, 111.39, 1885, 3802, 62, 99, 67, NVIDIA GeForce GTX 1060 6GB,1675306912.126915,59.8,6.2,0.0,34.0,0.0,0.0,0.0,0.0,3333526,3334368,3335062,3342475,3341049,3340994
11,1675306913.261, 98.25, 1873, 3802, 62, 99, 72, NVIDIA GeForce GTX 1060 6GB,1675306913.2334685,57.7,4.1,0.0,38.1,0.0,0.0,0.0,0.0,3466276,3466859,3466880,3466844,3466861,3466864
12,1675306914.154, 134.99, 1898, 3802, 63, 99, 68, NVIDIA GeForce GTX 1060 6GB,1675306914.127445,56.1,5.1,0.0,38.8,0.0,0.0,0.0,0.0,3466868,3466863,3466868,3466877,3466893,3466861
