,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676151212.329, 83.98, 1710, 9251, 52, 12, 0, NVIDIA GeForce RTX 3080 Ti,1676151212.291071,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,3862331,3946812,4000030,3909521,3970194,3944626,3785438,4000026,3083252,3797375,4031379,3988686,2610756,3098130,1405206,4037163
1,1676151213.701, 111.12, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676151213.6579306,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1548337,1200044,3997224,4061850,2365032,1200263,4064423,1200159,1200066,1198889,4059152,3997711,2208542,1200066,4000799,1200098
2,1676151214.745, 110.87, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676151214.7018518,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1200044,1200151,4000427,4066855,1696697,1200101,4064033,1200112,1201062,1200283,4067710,4000836,1201302,1200152,4022346,1200059
3,1676151215.828, 114.64, 1710, 9251, 53, 9, 1, NVIDIA GeForce RTX 3080 Ti,1676151215.78966,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,2347646,1808606,3999983,3999999,4000001,3002802,1977999,3998456,2128089,1837869,4000908,4062882,4039844,1200207,1200018,2892924
4,1676151216.731, 117.01, 1710, 9251, 53, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676151216.695387,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,2103653,1199939,4022146,3999396,4082787,1200056,1200092,2847412,1200044,1200009,3751635,4017059,4016372,1528661,1410075,2329789
5,1676151217.496, 115.22, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676151217.45349,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1202098,1613356,3893102,3999411,4009529,1667758,1416944,2665922,1215688,1244378,3535628,4015252,4015590,2069750,1770369,2230598
6,1676151218.881, 115.27, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676151218.837782,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4052998,1200134,2432366,3996858,4001256,1772871,1200025,1200017,1599970,1863801,4021554,4016176,4051317,1199997,1200097,1200082
7,1676151219.913, 115.50, 1710, 9251, 53, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676151219.8699195,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1621819,1247648,1201840,3997196,3998176,1200004,1638533,4009207,1200105,2790275,1200134,4010641,4038347,2322445,1200477,3211720
8,1676151220.943, 115.96, 1710, 9251, 53, 20, 1, NVIDIA GeForce RTX 3080 Ti,1676151220.901747,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1200016,1734595,2988703,4022700,4007951,1198858,4000115,4006465,1200025,1711990,2725623,4004988,1200216,4000933,4003835,4000000
9,1676151221.977, 117.25, 1710, 9251, 53, 27, 2, NVIDIA GeForce RTX 3080 Ti,1676151221.9377413,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4025899,1847953,1200729,4005870,2069310,4027737,4043605,1200145,4000000,1200205,1200325,4000000,2012138,4005331,4012693,1200255
10,1676151223.01, 135.28, 1995, 9251, 57, 67, 20, NVIDIA GeForce RTX 3080 Ti,1676151222.9657896,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4000011,1200075,1200364,4000011,2043685,3999859,3999946,1200025,4008079,1200009,1200191,4018147,1200110,3076832,4000012,1200031
11,1676151224.057, 165.41, 1995, 9251, 54, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676151224.0138993,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4008968,1200195,1200036,3997122,4086041,1754839,4000153,1200131,4046844,1200012,1581055,4023254,1200119,3038115,4029512,1200194
12,1676151225.1, 146.81, 1710, 9251, 54, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676151225.0538707,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4028435,1200375,2168027,3998506,1200007,1843376,3999908,1200012,4010536,1200150,2621994,4004580,4031022,1200033,3999999,1712177
13,1676151226.158, 166.63, 1980, 9251, 55, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676151226.1138957,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4000566,2572939,1201378,4000068,1200000,1200050,4094828,1200015,4037215,2471967,1696810,4039870,2372065,1200375,4035780,1200079
14,1676151227.198, 147.50, 1980, 9251, 54, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676151227.1540534,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4028125,1507283,1201018,3999790,2185533,1200041,4000100,1200166,4035030,1532585,1200256,4034728,2188851,1200017,4027961,1200081
15,1676151228.249, 125.27, 1710, 9251, 53, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676151228.2059531,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4001203,1197525,1200006,4000000,3462700,1201482,4000030,1200253,4022208,1200014,1200191,4037330,2432602,1201207,4043638,1722801
16,1676151229.293, 116.63, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676151229.249808,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4002266,1200220,1200051,3998889,2114870,1674142,3999931,2225666,4021686,1200002,1200090,4037749,1714585,1200236,4053040,1200013
17,1676151230.329, 153.41, 1980, 9251, 55, 35, 18, NVIDIA GeForce RTX 3080 Ti,1676151230.2858675,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4031649,1199978,1482783,4006499,3022533,1200004,4000107,4002686,4008518,1544661,1200138,4020348,2063490,1200044,4011723,2292572
18,1676151231.367, 146.58, 1980, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676151231.325813,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,3999990,1938438,1883134,4002169,3708436,1201422,4094743,1200241,4036717,1200023,2909402,4020364,1200026,1200289,4027668,1200195
19,1676151232.416, 133.13, 1710, 9251, 53, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676151232.3776555,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,4013490,1680233,1200091,3999700,1200219,3163881,3999753,2460684,1200045,1340943,1200217,4031261,4046640,1200019,4035981,2405988
20,1676151233.05, 116.79, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676151233.0068254,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1471644,1360279,1200058,4000000,3793360,2228371,4015089,2184990,1453488,1389547,1205616,4018292,4008339,2178261,4015409,2419910
21,1676151234.47, 134.74, 1905, 9251, 57, 98, 27, NVIDIA GeForce RTX 3080 Ti,1676151234.4258614,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,2156328,1200004,1200030,4043875,3999840,1200150,4000005,2500708,2145251,1200038,4050417,4002544,4000002,1200130,4023473,2721667
22,1676151235.524, 157.13, 1995, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676151235.4819653,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,2989709,1757558,1200023,4054356,4004025,1585989,4033715,1200235,2317004,1631685,1200904,4047856,4038343,1200010,4048774,1200033
23,1676151236.589, 143.67, 1710, 9251, 53, 9, 1, NVIDIA GeForce RTX 3080 Ti,1676151236.5459104,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,2338406,4040811,1200089,4030549,1200013,1200017,3999870,1200024,3020012,4001861,1200001,4042947,1200133,3999265,4035174,1200484
24,1676151237.63, 116.11, 1710, 9251, 53, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676151237.5859435,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,3366241,1735711,1200021,4019492,1938154,1200025,4000110,4026942,3600919,1200597,1201391,4050404,2064860,1200310,4015433,3999259
25,1676151238.684, 116.09, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676151238.6418512,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1858894,1200096,1200103,3993529,1200267,1995732,4000017,4034679,3092991,1200398,2242463,4036939,1200086,1200082,4042571,3996571
26,1676151239.724, 157.93, 1995, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676151239.6818619,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1200032,3620355,1207885,3995659,1200030,1200066,4022847,4022686,1200035,2668429,1201208,4027633,1200028,1201521,4029940,3995226
27,1676151240.75, 146.24, 1995, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676151240.7059329,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1200018,1373084,4000002,4009415,1200201,1200260,3999913,1200099,1200055,2400248,1741565,4040039,4021612,1200036,4049236,1200182
28,1676151241.798, 127.79, 1710, 9251, 53, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676151241.7539067,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,2646364,4061940,1200030,3999236,2376136,4017138,3999931,1200179,2455580,1200010,1200234,4038176,2242727,4029401,4060014,1200133
29,1676151242.838, 116.07, 1710, 9251, 53, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676151242.7940516,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1200078,1200031,1200003,4002972,2297372,4000060,3999938,1200132,1200089,1199929,3896362,4045061,2001928,4027370,4039556,1200028
30,1676151243.888, 115.80, 1710, 9251, 53, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676151243.8457768,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1297341,4026569,2408312,4007032,1200000,2254808,3999986,1200002,1199949,4001899,1199872,4008369,1765708,2641206,3999999,2078317
31,1676151244.939, 170.16, 1995, 9251, 54, 7, 1, NVIDIA GeForce RTX 3080 Ti,1676151244.8978639,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1200114,4033965,1200002,4023703,1200027,2500000,3999765,1958006,1200032,4000540,1200264,4072813,1200253,2494269,4048917,1200214
32,1676151245.986, 146.68, 1995, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676151245.9419682,32.7,4.0,0.0,63.1,0.0,0.0,0.2,0.0,1201567,4033836,1200010,4062440,1200005,2248945,4000082,1937648,1200293,3998847,1201484,4027874,2362312,2348135,4035238,1513666
