,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676164592.149, 96.88, 1710, 9251, 52, 11, 0, NVIDIA GeForce RTX 3080 Ti,1676164592.1106393,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4020355,3667936,3783493,3538311,3534107,3948757,3667400,4005794,4000071,3500214,3948637,3872946,3516735,3487523,3613240,4032884
1,1676164593.481, 111.18, 1710, 9251, 52, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676164593.4379632,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4068371,1200100,4059079,1200488,1200199,1200062,1200085,4000456,4000002,1280174,4000755,4034895,1200996,2144852,1200295,1200220
2,1676164594.541, 110.49, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676164594.497931,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4064639,1200092,4058463,4057740,1200026,1200279,1200128,1200279,4001398,1200087,4002168,4000016,2135251,1200126,1200196,1200181
3,1676164595.62, 113.69, 1710, 9251, 53, 18, 2, NVIDIA GeForce RTX 3080 Ti,1676164595.5778763,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,3999999,4000013,3998238,4066945,1273680,1315465,1200111,4034596,4007971,1200130,1919280,4000604,1201241,1201615,1200152,4062233
4,1676164596.669, 119.47, 1710, 9251, 53, 19, 2, NVIDIA GeForce RTX 3080 Ti,1676164596.6260035,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4037834,1981121,1320368,4043364,1938438,1200027,1877737,4038409,4038018,1200356,1623009,3996831,1539180,1199996,1201484,4003725
5,1676164597.725, 117.93, 1710, 9251, 53, 19, 2, NVIDIA GeForce RTX 3080 Ti,1676164597.6819408,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4021118,1322006,1193256,4050006,1200301,1780405,1200025,4036260,4050415,1200172,1804482,3999987,1200117,1905446,1200019,3999093
6,1676164598.776, 117.86, 1710, 9251, 53, 18, 2, NVIDIA GeForce RTX 3080 Ti,1676164598.7339568,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4039797,1200167,3666075,4045581,1200015,2103277,1972291,4031447,4034443,1200118,1374145,4000986,1199546,1200284,1200202,4082014
7,1676164599.829, 118.26, 1710, 9251, 53, 19, 2, NVIDIA GeForce RTX 3080 Ti,1676164599.7858353,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4021740,1931508,1898760,4043115,1200017,1199939,2293672,4057214,4038812,1200246,1907790,4052595,1819287,1200024,2382093,2020445
8,1676164600.875, 118.66, 1710, 9251, 53, 30, 2, NVIDIA GeForce RTX 3080 Ti,1676164600.8336508,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,3996487,1904198,1327616,3997594,4000099,1199894,2490602,4014147,4019413,1201009,1683366,4006191,4003175,2276011,2543602,4007555
9,1676164601.91, 120.15, 1710, 9251, 53, 32, 2, NVIDIA GeForce RTX 3080 Ti,1676164601.8698564,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4002894,1200587,1441005,4025367,4014915,1807417,1200076,4008710,4017919,1200123,1200003,4011076,4000000,1200013,1495784,4001262
10,1676164602.957, 180.88, 1980, 9251, 56, 76, 26, NVIDIA GeForce RTX 3080 Ti,1676164602.9139407,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4020064,1547031,1953091,3997996,4005949,2768209,2670419,4015482,4003373,1200048,2638350,4043756,1200067,1200203,1200027,3997069
11,1676164604.002, 151.01, 1980, 9251, 55, 16, 2, NVIDIA GeForce RTX 3080 Ti,1676164603.9579463,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4038815,1200035,1940378,3991339,1200044,1757276,1199666,1200801,4040625,1200132,1200001,4019424,4043947,2158627,1200020,1200211
12,1676164605.053, 144.68, 1890, 9251, 56, 55, 12, NVIDIA GeForce RTX 3080 Ti,1676164605.0098772,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4036775,1200240,1852191,3996954,4020377,1494954,4019486,1784992,4018796,1200088,2102692,4012253,4000013,1199257,1612044,1884536
13,1676164606.092, 180.42, 1980, 9251, 55, 16, 2, NVIDIA GeForce RTX 3080 Ti,1676164606.0538487,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4019093,1200163,1589688,4002755,4044258,1935300,1200047,1454901,4040503,1200151,1247068,4029967,3996173,1200215,1200012,1200423
14,1676164607.137, 148.15, 1710, 9251, 54, 17, 2, NVIDIA GeForce RTX 3080 Ti,1676164607.093916,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4037461,1200550,2158490,4001551,4052386,1200072,1887739,1200188,4035519,1199952,1648373,4051738,3999942,1823978,1200021,2351862
15,1676164608.201, 118.76, 1710, 9251, 53, 19, 2, NVIDIA GeForce RTX 3080 Ti,1676164608.1580195,30.5,4.0,0.0,65.3,0.0,0.0,0.2,0.0,4039684,1200113,1495319,3996480,4040780,2348864,2284179,1200438,4047291,1200108,1497184,4035816,3998416,1200100,1200014,1200216
