,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676096182.02, 104.66, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676096181.981608,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,1226461,1200086,4039967,4040208,1639400,1233899,1985418,4049342,1412682,1200064,4020787,4012581,1461424,1210037,2100322,4044339
1,1676096182.908, 110.40, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096182.87112,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,1538202,1200076,4051378,4051517,1200228,1214030,2031566,3999892,1698866,1200128,4003746,4021795,1200041,1202492,2116067,4051536
2,1676096184.302, 110.36, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096184.261828,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,1200162,1200075,4063710,4069730,1200172,1200104,1200128,4060615,1200435,1648137,4001935,3995496,1200008,1200021,1626946,4070859
3,1676096185.384, 110.38, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096185.3418767,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,3996000,1349693,4081364,4049070,1200577,1218547,2070955,4064163,1200249,1200721,4060139,3997670,1200005,2607089,1200148,4001052
4,1676096186.423, 111.75, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096186.3818913,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,1200114,1200089,4040561,4040023,1200153,1889687,1200085,4044917,1200043,1201533,4062050,3995008,1200019,1683460,1200348,4000425
5,1676096187.46, 111.06, 1710, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096187.4178824,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,1200168,1200086,4004473,4067003,1200200,1200205,1200072,4051667,1200124,2138621,4056770,4005686,1201680,1200186,1200225,3996511
6,1676096188.517, 110.58, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096188.4738941,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,1200102,1200634,4076936,4059365,1200368,1898188,1200122,4054325,1200576,1200250,4059382,4005319,1199506,2156842,1201294,3992502
7,1676096189.548, 110.64, 1710, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096189.5058558,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,1200076,1200130,4009379,4070044,1200317,2134984,1200100,4067016,1200874,1201055,4067132,3995635,1201629,1615595,1199885,1200312
8,1676096190.588, 110.92, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676096190.5458548,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,4050401,1670515,4002805,4053082,1200113,4036996,1200168,1201114,4033658,1200114,4039587,3998692,1200376,4008257,1200113,1200198
9,1676096191.623, 110.85, 1710, 9251, 53, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676096191.5818818,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,4027562,1199721,3998994,4031439,1201510,4038339,1200152,1200156,4033361,1201340,4040940,3997783,1200822,4035716,1200200,1200218
10,1676096192.66, 141.93, 1785, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096192.617885,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,4000054,1200221,4000838,4059649,1200184,1200182,1951455,1201327,4061088,2232678,4072533,3998932,1200349,1200038,1212737,1200115
11,1676096193.719, 114.83, 1710, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096193.6778693,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,4052947,1200011,4073920,4058873,1559507,1200157,1200077,1200614,4057660,1200212,4053404,4001866,1200132,1200127,1201459,1200236
12,1676096194.765, 140.10, 1995, 9251, 55, 100, 37, NVIDIA GeForce RTX 3080 Ti,1676096194.7220206,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,4045867,2110308,4121915,4041797,4070721,1200398,1200112,1200107,4038064,2152529,4045671,3997854,1200143,1200115,1201111,1200113
13,1676096195.805, 136.26, 1995, 9251, 54, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096195.7618873,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,4039169,1690638,4076652,4063972,1200084,1200395,1200171,1200062,4067316,1199751,4068265,3947400,1200399,1200196,1200087,1200237
14,1676096196.84, 127.12, 1710, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096196.7978446,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,4088798,1200302,4004460,4070679,1200072,1200120,1859644,1200095,4070057,1200093,4069672,4000125,1358064,1200330,1200184,1200270
15,1676096197.895, 110.94, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096197.853838,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,4078756,1200437,4039963,4059060,1200159,1620550,1200058,1201070,4049029,1514787,4051339,4003048,1936590,1200293,1201019,1200215
16,1676096198.944, 111.04, 1710, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676096198.901845,14.2,2.1,0.0,83.4,0.2,0.0,0.1,0.0,4073807,1200170,3998228,4058864,1643140,1200319,1200090,1200803,4056390,1200094,4060508,4000217,3829818,1702279,1200122,2531320
