,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676109771.883, 95.38, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676109771.8445783,26.1,3.3,0.0,70.4,0.1,0.0,0.2,0.0,1329834,1494368,4040049,1604309,1235854,4036468,2011820,4002502,1220675,1200326,4000894,1200010,1280539,4035627,2190551,4010501
1,1676109773.165, 111.33, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676109773.1219494,26.1,3.3,0.0,70.4,0.1,0.0,0.2,0.0,1200496,1539271,4045276,1200043,1205484,4010519,1200087,3998483,1199974,1200094,4002712,1200095,1200192,4061612,2044700,4059481
2,1676109773.867, 111.02, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676109773.8303328,26.1,3.3,0.0,70.4,0.1,0.0,0.2,0.0,1206823,1200012,4048247,1200098,1200406,4077135,2003195,4020025,1384143,1200841,3998239,1200036,1204321,4043348,2329744,4042106
3,1676109775.284, 111.05, 1710, 9251, 52, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676109775.2418225,26.1,3.3,0.0,70.4,0.1,0.0,0.2,0.0,4000015,4000001,3473717,1866413,4057358,4005073,1200080,3999863,1199982,2009500,1200380,1845153,4000255,4057260,1201001,4051163
4,1676109776.42, 122.28, 1710, 9251, 53, 10, 3, NVIDIA GeForce RTX 3080 Ti,1676109776.3775609,26.1,3.3,0.0,70.4,0.1,0.0,0.2,0.0,1499463,4000000,3999999,4000000,4000000,3999999,4000000,3999999,4000000,3999999,4000000,4000000,4000000,3999999,4000001,4000000
5,1676109777.483, 123.92, 1710, 9251, 53, 11, 3, NVIDIA GeForce RTX 3080 Ti,1676109777.4375079,26.1,3.3,0.0,70.4,0.1,0.0,0.2,0.0,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000001,4000000,4000000,4000027,4000001,3999999,4000000,4000000,3999999
6,1676109778.53, 121.81, 1710, 9251, 53, 9, 2, NVIDIA GeForce RTX 3080 Ti,1676109778.485602,26.1,3.3,0.0,70.4,0.1,0.0,0.2,0.0,4000000,4000001,4000001,4000000,3999999,3999999,3999999,4000000,4000001,3999999,4000001,4000001,3999999,4000000,4000000,4000000
7,1676109779.627, 122.38, 1710, 9251, 53, 11, 3, NVIDIA GeForce RTX 3080 Ti,1676109779.5855255,26.1,3.3,0.0,70.4,0.1,0.0,0.2,0.0,4000001,4000001,4000000,4000000,4000000,4000000,3999999,4000001,3999999,4000000,3999970,4000000,3999998,4000000,3999998,3999987
8,1676109780.676, 124.44, 1710, 9251, 53, 14, 4, NVIDIA GeForce RTX 3080 Ti,1676109780.6334972,26.1,3.3,0.0,70.4,0.1,0.0,0.2,0.0,4000000,4000000,3999999,4000005,3999999,3999998,4000000,4000040,4000001,3999998,4000000,3999997,3999999,4000000,3999993,4000000
9,1676109781.726, 125.84, 1710, 9251, 53, 17, 3, NVIDIA GeForce RTX 3080 Ti,1676109781.6855145,26.1,3.3,0.0,70.4,0.1,0.0,0.2,0.0,4000000,4000001,4000001,4000000,4000000,4000001,4000000,4000001,4000001,3999999,3999999,3999999,3999999,3999953,4000000,4000000
