,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676126396.047, 111.01, 1710, 9251, 51, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676126396.0076406,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,3191508,2854968,3627690,4006310,3302699,4045304,3312061,3987089,1805170,2412404,2335297,4045996,1399584,4031457,1764260,4046756
1,1676126397.38, 110.97, 1710, 9251, 52, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676126397.3380086,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,1204956,2128140,1200292,3999070,1200609,4043213,1200074,4058794,4041225,1200001,1201265,2058795,1200065,4068120,1200073,4065596
2,1676126398.437, 110.77, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676126398.3939836,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,4063484,1200068,1200279,1200771,1200000,4067048,1200135,3997364,4071309,1200573,1201666,1273263,2268904,4074067,1201277,4071054
3,1676126399.49, 119.47, 1710, 9251, 52, 12, 7, NVIDIA GeForce RTX 3080 Ti,1676126399.4420674,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,3679101,1199941,1201646,1200408,2439022,4025376,4035999,4000572,3439965,1200133,1200012,1199993,2215872,4020878,4003664,4003451
4,1676126400.523, 118.51, 1710, 9251, 52, 15, 5, NVIDIA GeForce RTX 3080 Ti,1676126400.4816535,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,1389375,2084765,1200132,2046377,1200000,4000000,4007426,4004099,1199791,1199989,1199944,4000000,1200007,4004046,3067154,4000000
5,1676126401.553, 123.25, 1710, 9251, 53, 17, 6, NVIDIA GeForce RTX 3080 Ti,1676126401.5136893,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,2399849,4000004,1200056,3999858,1200028,3999999,2344397,4000681,3772989,4000159,1200008,3999998,1200672,3996271,1200989,4000000
6,1676126402.293, 125.07, 1710, 9251, 53, 31, 11, NVIDIA GeForce RTX 3080 Ti,1676126402.2486959,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,2087113,3999998,1200126,4000182,1505264,4000560,2283191,4000000,3646387,2993784,1433602,4000654,1487969,4000396,1989677,4000725
7,1676126403.21, 137.34, 1860, 9251, 53, 11, 6, NVIDIA GeForce RTX 3080 Ti,1676126403.173842,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,3667386,1860095,3356812,1917671,1955856,4012827,1940221,4009362,4014171,1205737,2022176,3067474,1218774,4010345,2119980,4014475
8,1676126404.203, 163.69, 1995, 9251, 54, 12, 7, NVIDIA GeForce RTX 3080 Ti,1676126404.1667008,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,4004995,1213453,1207373,2685143,1890282,4006907,1901906,4000004,4006874,1360607,1368257,3389305,1782129,4005013,1233884,4006189
9,1676126405.601, 140.43, 1710, 9251, 53, 12, 7, NVIDIA GeForce RTX 3080 Ti,1676126405.5577855,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,4000001,1200202,1200014,2800003,1691989,4000000,1200002,4002273,4005389,1200101,1199991,1913358,1555751,3996169,1200154,4000001
10,1676126406.657, 135.38, 1995, 9251, 54, 61, 26, NVIDIA GeForce RTX 3080 Ti,1676126406.6140342,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,3999916,1241479,1200141,2988344,1201235,4000000,1842762,3998400,4017036,1200202,1200164,3467389,1964505,4001474,1875398,4001838
11,1676126407.706, 153.96, 1995, 9251, 54, 9, 6, NVIDIA GeForce RTX 3080 Ti,1676126407.6619308,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,4027788,1200071,1200436,1201521,2034395,4000000,1200003,4000219,2537770,1200842,4000004,1200143,2129269,4000030,1201188,4065820
12,1676126408.746, 140.54, 1710, 9251, 53, 12, 7, NVIDIA GeForce RTX 3080 Ti,1676126408.7019203,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,1218726,1200208,1902273,4010848,1200204,4036337,1199994,4000702,1200007,1199715,2995500,4000286,1940491,4000101,1200002,4000000
13,1676126409.776, 132.51, 1890, 9251, 54, 44, 20, NVIDIA GeForce RTX 3080 Ti,1676126409.7376323,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,1200087,2162170,2841827,4009153,2383824,4004346,1657333,4000006,1200141,1200218,1200003,3999818,1381101,3999978,1200013,4000000
14,1676126410.519, 140.05, 1890, 9251, 54, 11, 6, NVIDIA GeForce RTX 3080 Ti,1676126410.4849474,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,2964608,1200064,1200061,4013223,1200007,4007573,2161940,4003366,1615186,1772502,1310154,3114194,2105197,4006951,1709113,4007805
15,1676126411.838, 130.02, 1710, 9251, 53, 10, 6, NVIDIA GeForce RTX 3080 Ti,1676126411.7938123,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,2290321,1200203,1199948,1200065,4029559,4016218,2745092,3997481,1200108,1200134,1200008,1200501,4007242,3999564,3877676,4038066
16,1676126412.884, 137.66, 1995, 9251, 54, 10, 6, NVIDIA GeForce RTX 3080 Ti,1676126412.8418984,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,2752549,1200009,1200192,1200010,4013303,4000000,2028851,4000276,2749409,2442458,1199999,1200004,4000252,4054760,1200005,4033758
17,1676126413.566, 157.93, 1995, 9251, 54, 11, 7, NVIDIA GeForce RTX 3080 Ti,1676126413.5303788,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,4000241,4036928,1319148,1321032,3765468,4007069,1635438,3999838,3647378,3195815,1374069,1210733,3458784,4007977,1710192,4005434
18,1676126414.561, 150.70, 1710, 9251, 53, 8, 5, NVIDIA GeForce RTX 3080 Ti,1676126414.5242462,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,2549018,4009722,1200011,1215082,1338834,4005117,2249798,4000124,2552331,4001609,3093724,1888330,1362329,4004987,2514754,4005317
19,1676126415.934, 131.92, 1995, 9251, 54, 64, 28, NVIDIA GeForce RTX 3080 Ti,1676126415.893734,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,1513871,2709926,1200172,1243809,2105739,4004082,4094692,4001820,1200003,1200035,1200001,3981274,1200008,4000244,4007060,4003550
20,1676126416.977, 154.35, 1995, 9251, 54, 12, 7, NVIDIA GeForce RTX 3080 Ti,1676126416.933885,40.9,4.0,0.0,54.9,0.1,0.0,0.1,0.0,2119279,1200012,1893868,2292377,1199821,4013663,3999773,4000633,1200670,2007814,1860639,1200124,2746438,4000137,4012592,4007267
