,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676139738.064, 86.07, 1710, 9251, 51, 10, 0, NVIDIA GeForce RTX 3080 Ti,1676139738.019603,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,3999999,3713783,3735965,3992524,3993208,3959523,4000133,3866081,4009431,3915838,3398668,3549045,2884399,3937185,4017802,3964862
1,1676139739.405, 110.71, 1710, 9251, 51, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676139739.3619468,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,4035122,1200268,1200477,2041668,2299379,1200097,4095568,4008633,1501577,4085955,2422691,1200353,1201315,4003149,4058429,1200611
2,1676139740.055, 110.47, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676139740.0178359,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,1685273,3680971,1814527,2055549,1238993,3778066,4005150,2772681,1476486,4012719,1246737,1335695,1235582,4030585,4045128,2504656
3,1676139741.458, 114.17, 1710, 9251, 52, 17, 2, NVIDIA GeForce RTX 3080 Ti,1676139741.4139123,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,2031253,4053869,1200147,1200024,1200256,4059102,4003216,1200027,2425482,4042512,1200125,1201463,1200042,4002951,4042440,1200328
4,1676139742.5, 119.90, 1710, 9251, 52, 27, 3, NVIDIA GeForce RTX 3080 Ti,1676139742.4579258,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,1200011,4041444,1200039,1201260,1200147,4046311,4007901,1241769,1200016,4000068,1897917,1200309,1200333,4002076,4021081,1281007
5,1676139743.546, 122.11, 1710, 9251, 53, 37, 3, NVIDIA GeForce RTX 3080 Ti,1676139743.5019238,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,4004447,4010094,1506515,2023144,1200009,4004533,4000026,1726437,4017056,3994153,1880945,1200262,1200211,4022135,4007678,1278234
6,1676139744.584, 139.76, 1995, 9251, 54, 47, 9, NVIDIA GeForce RTX 3080 Ti,1676139744.5417163,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,4000033,4000000,2201864,1200035,1200238,4000001,4008715,1510647,1200057,3999878,4001272,1200115,1656746,3999877,4022693,1863825
7,1676139745.629, 183.24, 1995, 9251, 55, 65, 23, NVIDIA GeForce RTX 3080 Ti,1676139745.5858583,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,1413690,4068107,1347259,1200182,1508866,4045769,4088995,1200026,2173119,4000178,2201513,1745706,1654907,4000140,4062232,1200000
8,1676139746.715, 155.57, 1995, 9251, 55, 15, 2, NVIDIA GeForce RTX 3080 Ti,1676139746.6699128,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,1200106,4046405,1200712,1200607,1741990,4041920,4095372,1200034,1200156,4001566,2161054,1200122,1440878,4000000,4049353,1200016
9,1676139747.803, 139.99, 1710, 9251, 53, 18, 2, NVIDIA GeForce RTX 3080 Ti,1676139747.7579014,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,1200077,4053821,1200115,1200104,1305706,4049726,3999835,1200076,1200080,4010943,1201165,1200228,1216661,4001785,4057987,1200223
10,1676139748.906, 138.12, 1995, 9251, 54, 15, 2, NVIDIA GeForce RTX 3080 Ti,1676139748.861692,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,1200029,4047758,1200255,1199422,1629457,4041803,4002577,1587173,2504594,4044833,1200036,1428228,2443207,1200038,4042696,1200065
11,1676139749.962, 155.93, 1995, 9251, 55, 15, 2, NVIDIA GeForce RTX 3080 Ti,1676139749.9257212,35.5,4.0,0.0,60.3,0.1,0.0,0.1,0.0,1200020,4050606,4056319,1759459,1306075,1959624,4097565,1200150,1200015,4013956,4050477,1958774,1472960,2061948,4047387,1200012
