,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676152952.726, 106.10, 1710, 9251, 51, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676152952.6829176,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1924938,1200065,1210788,4049120,4048935,1323773,4025869,1419613,1328699,1200119,1238740,4013594,4039637,1568076,4038439,2007820
1,1676152953.694, 111.44, 1710, 9251, 51, 13, 0, NVIDIA GeForce RTX 3080 Ti,1676152953.6557841,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1519990,1200334,1204715,4056308,4056361,1780723,3994808,1857993,1569252,1445868,1375937,4003426,4006459,1885654,2575258,2318925
2,1676152955.094, 111.02, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676152955.0499413,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200187,1200220,1200229,1200220,4073231,1684527,4055200,4001229,1200192,1200130,1201293,1201352,4062277,1201282,3997925,4069765
3,1676152956.124, 114.11, 1710, 9251, 52, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676152956.0857577,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200048,2046820,1200347,1390061,4041580,2287298,4057207,4000000,1200026,1564696,1200180,2769582,4067818,1780208,1547783,4025463
4,1676152957.171, 116.03, 1710, 9251, 52, 20, 1, NVIDIA GeForce RTX 3080 Ti,1676152957.1297119,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200000,4016666,1200078,1789998,4034175,1200136,1200155,4047620,1200007,1953617,4000288,4000040,4000137,3436737,2417801,4000000
5,1676152958.213, 119.40, 1710, 9251, 53, 29, 2, NVIDIA GeForce RTX 3080 Ti,1676152958.1738026,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1199996,2011343,4003702,4013966,4018229,3081233,1699703,3999980,1200070,1200058,4027995,3999906,3999207,2631922,1200105,3999999
6,1676152959.247, 122.20, 1710, 9251, 54, 39, 8, NVIDIA GeForce RTX 3080 Ti,1676152959.2019231,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200016,2363540,4004369,4008805,4011555,2149023,2147326,4000142,1200056,2442846,3999933,4012452,4000217,2163474,1442736,4014843
7,1676152960.297, 168.71, 1980, 9251, 55, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152960.2538035,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,2538192,1200017,4021572,1200038,4036683,3173808,1845725,4000926,1200058,1200008,1200073,3790708,3999512,4050657,2209510,4036096
8,1676152961.35, 148.24, 1980, 9251, 54, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676152961.305828,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200052,1200020,3258973,1200017,4026505,4035038,1199996,3999911,2039040,1201294,1577542,1200073,4000100,4046676,1936692,4031267
9,1676152962.402, 134.04, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152962.3578007,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200191,2265951,3294481,1200014,4027818,4028425,1200111,4000091,1200172,1200100,1823813,1424928,3998147,4000000,1199995,4020094
10,1676152963.461, 130.46, 1980, 9251, 54, 60, 20, NVIDIA GeForce RTX 3080 Ti,1676152963.417819,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200250,1200317,2388469,1928845,4029694,4028253,1200140,3998313,1200338,1200006,1943837,1782527,4004097,4053645,1205743,4023032
11,1676152964.501, 146.84, 1980, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676152964.45783,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200011,1200010,2739206,1790108,4010390,2561507,2664180,4001986,1200022,1200078,3566887,1200003,4003108,4003007,2396101,4041915
12,1676152965.558, 136.79, 1710, 9251, 53, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676152965.5139358,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200131,1200038,4070058,1200054,4043697,1201453,1200079,4000912,2217087,1201566,4019902,1199950,3993920,1200013,1200058,4045649
13,1676152966.62, 136.03, 1980, 9251, 54, 22, 8, NVIDIA GeForce RTX 3080 Ti,1676152966.577929,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1478706,1200166,4047745,1200144,4032145,1670517,1200061,3870530,2865481,1200000,4014078,1200030,4000686,1200019,1200160,4050794
14,1676152967.662, 147.23, 1980, 9251, 54, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676152967.6179638,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,2746801,1961198,4002111,1202982,4037184,1200027,1682415,4002601,3360228,1200087,2946530,1200020,4001657,1200005,1201866,4026961
15,1676152968.722, 130.94, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152968.6780443,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,2308330,1200145,3995141,1200057,4029149,1200123,1804394,4002397,2232981,1200111,4032726,1200004,4000314,1200028,1200524,4038804
16,1676152969.772, 132.97, 1980, 9251, 54, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152969.7298524,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,2478573,1200084,3997732,1200141,4046085,1200203,1200142,4002896,1911167,2823634,4019649,1894388,3998260,2483083,2096228,4020100
17,1676152970.832, 146.88, 1980, 9251, 54, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676152970.7899098,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,2996863,1200124,4000038,1200146,4035000,1200024,1200049,3999822,2156441,1200015,4033449,1200031,4003005,1200065,2643013,4022731
18,1676152971.89, 130.46, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152971.8497822,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1759502,1199987,4000920,1201398,4024778,1200144,3066025,4001707,4023932,1732932,1199977,2016406,4003661,2680237,1200299,4022836
19,1676152972.929, 128.27, 1830, 9251, 53, 14, 1, NVIDIA GeForce RTX 3080 Ti,1676152972.8859577,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,4017119,1200299,1200086,1200125,4066920,4008530,2321369,3999390,3999746,1374298,1200024,1200175,4004241,2500936,1200181,4029741
20,1676152973.98, 122.50, 1830, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152973.9378505,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,4048231,1200001,1200202,1199964,4028331,1855715,2595360,4039349,4002919,1199997,1200401,1200039,3994835,1200349,2301316,4042278
21,1676152975.026, 119.37, 1710, 9251, 53, 8, 1, NVIDIA GeForce RTX 3080 Ti,1676152974.9820266,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,4029193,2680656,1200086,1200362,4037368,1200077,1859246,4000906,3997496,2604422,1200078,1200076,3997413,1200015,1853588,4042730
22,1676152976.088, 137.60, 1995, 9251, 54, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152976.045839,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,4021816,1902139,1200139,1200333,4030101,1199941,2775710,4003277,1200404,4019550,3995970,1199997,4007706,1200012,1200066,4036055
23,1676152977.129, 147.29, 1995, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676152977.085953,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200132,1856363,1200596,4028025,4047860,1200065,1200076,4002077,1200070,1708168,2063295,3999664,4003188,1200099,1200286,4030105
24,1676152978.182, 127.88, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152978.1379333,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1472548,2685095,1200252,4032709,4007326,1200023,1200007,3998464,1200000,2404678,1200186,4000206,4004708,1200225,1200208,4026664
25,1676152979.221, 135.38, 1995, 9251, 54, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152979.1779933,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200220,3884451,1200051,4022083,4020423,1200039,1833045,4000181,1200007,1902140,1200134,4000389,3996316,2358972,1967165,4051992
26,1676152980.272, 147.19, 1995, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676152980.2298896,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200007,1201303,1200176,4029526,4025927,1260720,1788408,3998793,1200016,2013229,1200020,4033575,4000422,1200116,2336002,4049024
27,1676152981.309, 130.25, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152981.2659016,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,4029620,2080215,1532574,2187998,4041657,2613790,1200160,3995980,4046336,2105482,1200030,3030862,3999536,1200026,1200016,4030076
28,1676152982.374, 135.15, 1995, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152982.3298595,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,4028060,1648565,1200147,2978560,4028735,1200131,3681772,4000212,1200214,1200010,2076999,4031079,4000000,1200010,1946978,4030268
29,1676152983.432, 146.83, 1995, 9251, 54, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676152983.3897903,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200008,1200137,2259304,4001113,4033474,1200120,1200086,4001202,2115240,2209388,1200080,4012431,4008084,1200046,1201708,4027019
30,1676152984.475, 130.68, 1710, 9251, 53, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676152984.4299393,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,2209534,1199936,1200137,4000782,4025596,1200333,1200187,4003766,1200012,3184295,1592007,4041394,4000292,1200096,1200134,4034934
31,1676152985.537, 137.67, 1995, 9251, 54, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676152985.4938343,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,2274945,3252256,1633840,3996822,4022039,1200175,1913598,4002597,1200071,1839363,1666740,2599099,4004639,2020653,1200066,4026720
32,1676152986.601, 147.54, 1995, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676152986.55779,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1771964,2356804,1929143,4002903,4017845,1200951,1200066,3999184,1200017,2126321,1912694,4036166,3996526,1803501,1200137,4024875
33,1676152987.65, 127.31, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152987.609865,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,2248379,4047369,1200131,4001170,4039908,1200766,2113494,3998952,1200841,2671381,1839465,4037019,3998357,1200067,1200012,4039881
34,1676152988.693, 138.24, 1995, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676152988.6499197,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,3298588,2801519,1200088,4044149,4010748,1688778,1200040,4001872,1199966,1200050,1200243,4047656,3992449,2318346,1883789,4024974
35,1676152989.73, 146.61, 1995, 9251, 54, 8, 1, NVIDIA GeForce RTX 3080 Ti,1676152989.6897182,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200130,2448954,1862793,1200455,4037665,2212424,4042268,4002885,1200102,2484950,1200018,2097041,4004668,1200161,2418296,4044477
36,1676152990.762, 129.74, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152990.7178888,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,4004788,1200065,2576818,1200044,4032646,1200210,1858648,3997118,4047045,1200013,3318931,1199996,3996684,1200037,1200010,4033740
37,1676152991.821, 135.04, 1995, 9251, 53, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676152991.7779229,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,4007524,1200109,3051468,1200113,4035760,1200046,1814685,4000638,4018442,4037817,1200018,1878673,3999808,1200093,2510928,4043019
38,1676152992.87, 146.65, 1995, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676152992.8258905,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200061,4003084,1200829,1200009,4032019,1200240,1945550,4003480,2084999,4000811,1200097,1200024,4001328,1200158,2167605,4059475
39,1676152993.907, 130.70, 1710, 9251, 52, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676152993.869698,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200071,4036042,1200374,1200022,4045442,1200171,2514799,3997846,1743379,4011182,2671261,1200003,3995433,1200028,1759441,4040691
40,1676152994.851, 135.89, 1995, 9251, 54, 26, 10, NVIDIA GeForce RTX 3080 Ti,1676152994.8060887,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200010,1200945,2522337,1200227,4034620,1200414,3999911,4000852,1200105,1200056,2697703,1200022,4011992,3462174,3758691,4013225
41,1676152995.571, 150.60, 1995, 9251, 54, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676152995.5281487,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,2140123,2615861,2356851,1385742,4015084,1862286,3942706,3999973,1710224,1219307,1639950,2113382,4000034,2065043,3864765,4015546
42,1676152996.933, 129.43, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152996.8899848,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1203304,1200057,4016424,1200046,4029194,1200090,2619397,4001404,1200013,1200012,3999208,1200058,4003984,2308933,1200134,4023275
43,1676152997.989, 135.43, 1995, 9251, 54, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676152997.9419203,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1226218,2279357,4040590,1200036,4031019,1563072,2000980,4000205,1201283,3899953,4001101,1200007,3999553,1200108,3446601,4033490
44,1676152999.032, 146.47, 1995, 9251, 54, 8, 1, NVIDIA GeForce RTX 3080 Ti,1676152998.989844,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200017,1780874,4046038,1200020,4029244,1679622,2516835,3997391,1201541,1200572,1200263,4000311,4002212,1200017,1882388,4042099
45,1676153000.077, 130.68, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153000.0339417,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,4028766,1200026,1200162,1200336,4030052,1200216,1200154,4001295,4003343,2342021,1200000,2299072,3997014,1392541,1200404,4036810
46,1676153001.135, 132.73, 1995, 9251, 54, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153001.0899384,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,4030209,1200009,1200237,1200265,4031310,2099511,1200083,4000009,4000022,1200164,1640261,1200031,3999741,2076349,1199990,4000000
47,1676153002.184, 143.25, 1995, 9251, 53, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676153002.1418514,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1199990,4007800,1200179,1200159,4065762,4071684,1861881,3996645,1200011,3943410,1201129,1200208,3996236,2795195,1200158,4047308
48,1676153003.234, 132.93, 1710, 9251, 52, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676153003.189887,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,1200035,2302811,1200030,1200191,4031904,4016685,1880238,4002267,1200012,1200027,1200214,1200077,4000157,3999836,2830390,4050594
49,1676153004.272, 129.41, 1890, 9251, 53, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676153004.229864,32.3,4.0,0.0,63.5,0.0,0.0,0.2,0.0,2185961,1736209,1200141,2057575,4032725,4024653,2045483,3999544,2189320,2234027,1200562,1200014,4001055,3998715,1200014,4027732
50,1676153005.338, 128.45, 1890, 9251, 53, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676153005.2939043,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1200111,2028080,1200255,1200166,4039941,4030088,1200118,4004959,1200042,2667074,1666475,1200022,4002695,3999317,1200254,4035265
51,1676153006.409, 122.67, 1710, 9251, 52, 9, 1, NVIDIA GeForce RTX 3080 Ti,1676153006.3658307,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1200101,2645300,1690596,1200151,4033796,4024516,1907400,4000296,1200018,2304548,1577796,1741081,3797657,4027633,1200916,4024177
52,1676153007.461, 135.01, 1995, 9251, 53, 15, 4, NVIDIA GeForce RTX 3080 Ti,1676153007.417994,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1200084,2708812,1200742,2188266,4031562,1754082,1200027,4001597,1200017,4032094,1200158,3398558,3995239,1200124,4027105,4034499
53,1676153008.513, 146.99, 1995, 9251, 53, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676153008.4737527,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1200085,4000007,1200006,1969898,4040805,1200030,2033377,4003908,2030676,4026970,1200010,1200315,4006572,1200122,2201714,4032258
54,1676153009.218, 138.58, 1710, 9251, 52, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676153009.1884654,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,3008463,1200017,1200091,1391742,4017870,1209629,3125025,4001571,1728403,3888939,1235718,2294928,4013760,2071168,3512038,4016335
55,1676153010.187, 119.31, 1710, 9251, 54, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153010.1545115,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1922266,2713931,2326303,2579640,4022266,2174279,3351718,4000007,2001472,1566546,2268970,1364958,4009248,2367034,3987711,4019796
56,1676153011.574, 145.36, 1995, 9251, 53, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676153011.529882,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1507593,3158735,1200356,1216734,4057355,1200020,1200067,3999569,2346701,2403693,1201131,4004467,3997752,1701187,1986848,4024685
57,1676153012.643, 133.15, 1710, 9251, 52, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676153012.5979643,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1464555,1200174,2282114,4033801,4038215,1200016,1200080,4000827,1200021,1200130,2514764,3999984,4001462,1200040,1200041,4020881
58,1676153013.685, 132.02, 1995, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153013.6419046,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,2474450,4083530,1874020,2284938,4009993,1200223,1200112,4001904,1764906,4010602,2476320,1200028,3999333,1200220,1199998,4039180
59,1676153014.73, 143.25, 1995, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676153014.6858919,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,2039133,4037986,1200056,2582455,4023762,1200011,1200085,4001033,1200016,2191722,1900199,3999251,4005354,1200110,1201274,4066632
60,1676153015.781, 132.18, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153015.73794,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,2208926,3998696,1914329,1200219,4047591,3113595,1200123,3999350,1200019,4041717,1200006,1200115,4000681,1865447,2113290,4035846
61,1676153016.849, 135.92, 1995, 9251, 53, 29, 11, NVIDIA GeForce RTX 3080 Ti,1676153016.8059247,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1200105,4046817,1200104,1200165,4028567,2301187,1200060,3966755,2145764,4016044,1200824,1200011,3999899,1200191,1200017,4007589
62,1676153017.888, 145.63, 1995, 9251, 53, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676153017.8458357,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,2608818,4033729,1942512,1200002,4024458,1200767,1200003,3995952,2740530,4020089,1200104,1200170,4006356,1199973,1200548,4039126
63,1676153018.926, 129.30, 1710, 9251, 52, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676153018.8819396,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,2360796,4056425,1200708,1200143,4018738,1201899,4070132,4001608,4071458,1200251,1806100,1200607,3996924,2020585,3741372,4043896
64,1676153019.965, 134.20, 1995, 9251, 53, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676153019.9219205,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1637616,1819367,2342843,1200270,4037264,1200122,4035888,4021625,3292077,1200053,3474537,1200089,3993300,1199974,3876169,4041370
65,1676153021.002, 145.56, 1995, 9251, 53, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676153020.9578547,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,3289297,1200018,2998219,3397774,4037218,1200178,1200014,4027398,4001268,1200190,1200007,1923175,4002873,1200119,1200228,4002107
66,1676153022.054, 133.03, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153022.009849,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,4006471,1200131,1763253,1988824,4038870,1200020,1200011,4001771,3997647,1200030,1200700,2488970,3999310,1200328,1199963,4010747
67,1676153023.091, 131.67, 1995, 9251, 53, 9, 1, NVIDIA GeForce RTX 3080 Ti,1676153023.049756,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,3351164,1200801,3999997,2754702,4048453,2427770,2348695,3999756,1200112,2435138,1201020,2207654,4000000,1200091,1200235,4041672
68,1676153024.119, 145.73, 1995, 9251, 53, 8, 1, NVIDIA GeForce RTX 3080 Ti,1676153024.0738716,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,4002629,2421004,1200128,2407884,4041312,1200135,2042108,4000040,1492265,2004771,4086389,2722077,4087171,1709737,1200888,4039843
69,1676153025.186, 133.35, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153025.141964,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1828087,2995923,1201967,1200036,4038078,4044066,1200096,4000478,1200119,1917496,1200014,1200000,3999906,4000503,1201347,4030578
70,1676153026.227, 128.18, 1920, 9251, 53, 45, 16, NVIDIA GeForce RTX 3080 Ti,1676153026.1857936,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1200176,2086583,1200044,1200120,4030159,4005292,1200080,4001263,3444219,2584406,4020905,1200469,3998684,1200024,1200070,4034217
71,1676153027.257, 131.71, 1920, 9251, 53, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676153027.2138796,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1843001,1200208,2531577,4041204,4038334,1200021,1200021,4001076,1200235,1200057,2479098,3999393,4000864,1200890,1200002,4038667
72,1676153027.985, 130.66, 1710, 9251, 52, 11, 1, NVIDIA GeForce RTX 3080 Ti,1676153027.9448242,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1200037,1200035,3882324,4017110,4016322,1478179,1213395,3999983,1236257,1593612,2752511,4011107,4000026,1929934,1872597,4012203
73,1676153028.931, 117.68, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153028.8971002,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1254268,1452023,2557268,4015083,4014440,1563559,2012393,4013555,1356131,1354997,2319168,4001891,3999984,1818152,1430911,4013451
74,1676153030.303, 134.62, 1935, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153030.2579668,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1233623,1865970,2956920,4041958,4031092,1200008,1200070,4000894,1200170,2118281,1887190,3996256,3996689,1865220,1201538,4039472
75,1676153031.35, 127.80, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153031.305896,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1200113,1201217,2143491,1200011,4033399,1200210,4042022,4002031,2364518,1200009,1200181,2369065,4000127,1865857,4061483,4037773
76,1676153032.393, 129.44, 1995, 9251, 53, 67, 22, NVIDIA GeForce RTX 3080 Ti,1676153032.3499599,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,4017119,1200041,1200189,2161834,4025360,1200013,4038527,3999685,1591383,2161236,1866103,1268596,3999108,3881080,3999336,4038880
77,1676153033.433, 146.21, 1995, 9251, 53, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676153033.3898723,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,3039326,1200239,4000328,1200169,4015549,1200034,2034969,4000081,2520090,1200160,3950202,1200013,4005177,1200110,1200064,4034756
78,1676153034.498, 135.91, 1710, 9251, 52, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676153034.453852,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,2141726,1200182,3999510,1200015,4015440,1967333,1724385,3959450,1200052,1784352,4034097,2682410,4000387,1928994,1200088,4038053
79,1676153035.538, 126.52, 1995, 9251, 53, 65, 22, NVIDIA GeForce RTX 3080 Ti,1676153035.4976914,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1205685,1200088,4004235,2499995,4035381,1200110,1200219,3996477,1200171,1667459,4032136,2115349,4000837,4008638,2355203,4043275
80,1676153036.581, 145.97, 1995, 9251, 53, 10, 1, NVIDIA GeForce RTX 3080 Ti,1676153036.5378654,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1200297,4042928,1200042,3353887,4030929,1200228,1200134,3999569,1200091,4043661,1201111,2049399,4000539,1681417,3049416,4043279
81,1676153037.646, 138.63, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153037.6018972,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1200032,1199987,4020287,1640203,4039970,1200155,2055494,4001760,1201525,1200149,3998675,1748293,3999316,1200047,2333746,4005690
82,1676153038.686, 126.57, 1995, 9251, 53, 61, 21, NVIDIA GeForce RTX 3080 Ti,1676153038.6419053,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,2165563,1200063,1200005,4001833,4059889,1200009,2194627,4001825,1962482,1200085,1200271,3999116,4002931,4000313,1201863,4022087
83,1676153039.734, 144.60, 1995, 9251, 53, 9, 1, NVIDIA GeForce RTX 3080 Ti,1676153039.6898372,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,1950209,2178708,1200246,4050392,4042200,1196873,1200009,3988704,2970522,2321101,1200340,4001986,3997809,1200185,2302155,4031170
84,1676153040.785, 137.78, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676153040.7419515,32.3,4.0,0.0,63.6,0.0,0.0,0.2,0.0,2049986,1200410,2109727,4032860,4038638,1210312,1199988,4000505,4025700,1200072,1200005,1200021,4004282,1200029,2458635,4010653
