,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676166323.416, 86.70, 1710, 9251, 51, 12, 0, NVIDIA GeForce RTX 3080 Ti,1676166323.371474,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,3863241,3923581,4023229,3849736,3448362,3917314,3786487,4025411,3630795,3980173,4008305,3955897,3793962,2878361,2386457,4035680
1,1676166324.789, 111.25, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676166324.7458594,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1200064,1200022,4053201,4066805,1436669,1243451,1200153,4048735,1513296,1199961,4060267,1200014,4000966,1200780,1200129,4004285
2,1676166325.842, 110.80, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676166325.7979221,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,2358973,1200354,4059075,1200292,4058567,1200189,1200190,4059307,1200050,1200207,3999361,1200345,4001455,1200198,1879288,3997873
3,1676166326.898, 115.35, 1710, 9251, 52, 18, 2, NVIDIA GeForce RTX 3080 Ti,1676166326.853881,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1938333,1199994,4042119,1200266,4040745,2919160,2245015,4038514,1200088,1200189,3998843,1200056,4003129,2454476,1200903,4001061
4,1676166327.959, 118.83, 1710, 9251, 53, 26, 2, NVIDIA GeForce RTX 3080 Ti,1676166327.9138591,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1200326,1811767,4028822,1200090,4045738,1200799,1968284,4007845,2039705,1200028,3986315,4000382,3998628,1199955,1854306,4004213
5,1676166329.012, 122.02, 1710, 9251, 53, 39, 3, NVIDIA GeForce RTX 3080 Ti,1676166328.9698613,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1623880,1200145,4010276,4002044,4002317,1978171,1200101,4008468,1200588,1467574,3999601,4003300,4002316,1767298,1200022,4000885
6,1676166330.063, 146.15, 1995, 9251, 55, 54, 16, NVIDIA GeForce RTX 3080 Ti,1676166330.0217445,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1200183,1603751,4007425,4000000,4015770,1867853,1200107,4015439,1739123,2166944,4005171,1200641,4000841,1200154,1200019,3998913
7,1676166331.126, 171.89, 1995, 9251, 55, 18, 2, NVIDIA GeForce RTX 3080 Ti,1676166331.0818236,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1200131,1419599,4037596,1200004,4048210,2179606,1200026,4023050,1200135,1998755,3968640,1200021,4000059,1199991,2096518,3997284
8,1676166332.165, 150.99, 1995, 9251, 55, 16, 2, NVIDIA GeForce RTX 3080 Ti,1676166332.1220105,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1200069,1904875,4031311,1548293,4032789,1200028,1200123,4041787,1200149,1830726,4001878,1200028,3999421,1200003,2074511,4001195
9,1676166333.209, 130.39, 1710, 9251, 53, 18, 2, NVIDIA GeForce RTX 3080 Ti,1676166333.1658518,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1200051,1527018,4029628,1200293,4045225,1199925,1200066,4019914,1200368,1200001,4002189,2409606,3998551,1200032,1200133,4037373
10,1676166334.251, 138.13, 1995, 9251, 54, 18, 2, NVIDIA GeForce RTX 3080 Ti,1676166334.2059355,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,3663751,2009674,4050386,1200002,4008759,2074238,1200028,4030947,1200842,3198125,4000095,1199993,3980305,1948421,1728993,4055423
11,1676166335.297, 151.05, 1995, 9251, 54, 16, 2, NVIDIA GeForce RTX 3080 Ti,1676166335.253875,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1200095,2191698,4038183,1200088,4039215,1200028,1332903,4040543,1200262,1201500,3999414,1200009,3999044,1784094,1478050,3969664
12,1676166336.341, 133.07, 1710, 9251, 53, 19, 2, NVIDIA GeForce RTX 3080 Ti,1676166336.2979214,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1199990,1200184,4033338,1200025,4058082,2385255,1200121,4042805,1448226,1200023,4026136,1200160,3997933,1200266,1879559,3994671
13,1676166337.397, 143.71, 1995, 9251, 54, 16, 2, NVIDIA GeForce RTX 3080 Ti,1676166337.353946,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1501840,1200022,4000002,3561266,4019194,1200030,1657663,4038082,2269288,1200007,3998965,1200011,4002735,1200168,1549931,4056985
14,1676166338.452, 150.35, 1995, 9251, 54, 16, 2, NVIDIA GeForce RTX 3080 Ti,1676166338.4099212,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1647277,1201424,1200546,1200854,4048374,1200031,1200137,4043392,4034129,1200052,1200023,1200028,4003153,1200054,1200121,3999601
15,1676166339.501, 127.17, 1710, 9251, 53, 18, 2, NVIDIA GeForce RTX 3080 Ti,1676166339.4617174,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,4045051,2699277,1200215,1200084,4042816,1703547,1200024,4030951,1200114,1733450,4047186,1200022,4007173,1385061,1200788,4000396
16,1676166340.529, 147.00, 1995, 9251, 54, 16, 2, NVIDIA GeForce RTX 3080 Ti,1676166340.489651,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1604710,1343937,4004261,2688152,4034539,1200683,1200116,4019301,1188212,1232332,4036377,1650521,4002131,1934661,1200017,3997705
17,1676166341.589, 150.60, 1995, 9251, 54, 16, 2, NVIDIA GeForce RTX 3080 Ti,1676166341.5459187,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1200016,1741474,4041167,1445233,4037925,1200177,1887012,4037726,1200100,1599655,4041501,2169246,4000533,1200004,1200083,4002854
18,1676166342.626, 124.54, 1710, 9251, 53, 19, 2, NVIDIA GeForce RTX 3080 Ti,1676166342.5819297,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1200025,1484531,3998529,1200237,4038713,1951399,1200175,4048424,2335505,1745081,4039499,1200013,4000000,1200021,2267313,4004782
19,1676166343.676, 146.90, 1995, 9251, 54, 17, 2, NVIDIA GeForce RTX 3080 Ti,1676166343.6338816,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1373283,3473232,4001036,1201226,4036554,1201857,2524046,4047242,1794050,1454996,4051427,1201368,3998895,1200034,2240300,4003314
20,1676166344.728, 149.71, 1995, 9251, 54, 17, 2, NVIDIA GeForce RTX 3080 Ti,1676166344.6858346,30.2,3.9,0.0,65.7,0.0,0.0,0.2,0.0,1499550,1376428,1201409,1200100,4043005,1200685,4061011,4057146,1200008,2052281,1982224,1200089,3999977,1200419,4038821,3999995
