,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676097895.19, 76.03, 1710, 9251, 51, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676097895.144241,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,3897255,4026640,3131178,4029473,4000011,3009315,3590281,2671154,2754500,4000000,2383946,4000549,4034351,3634776,1903626,2584769
1,1676097896.563, 110.75, 1710, 9251, 52, 2, 0, NVIDIA GeForce RTX 3080 Ti,1676097896.5218937,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1453281,4067776,1200132,4058326,3998868,1201257,1200189,1944913,1200005,4000370,1200103,4097645,1200001,1201174,1200136,4072703
2,1676097897.601, 110.63, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097897.5578918,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1201549,4052447,1690254,4053273,1200099,1201297,1200124,4000832,1199986,3998985,1200102,3994385,1200258,1199776,1200122,4058825
3,1676097898.654, 110.69, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097898.6098557,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200045,4069953,1200687,4059627,1200749,1201553,1979889,4001265,1200240,4010343,1200402,3999704,1200232,1200077,1201158,4055909
4,1676097899.708, 110.66, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676097899.6658413,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200128,4035527,1200187,4070689,1201076,1200772,1200102,4089949,1200175,3995771,1201390,4002130,4033661,1200401,1200235,4038813
5,1676097900.762, 110.40, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676097900.7179468,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200162,4034924,1763711,4032351,4014431,1200356,1200013,3995194,1200207,4091769,1564442,4092111,4033251,1200092,1200110,4033064
6,1676097901.824, 122.93, 1710, 9251, 53, 32, 14, NVIDIA GeForce RTX 3080 Ti,1676097901.781909,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200014,4034836,1195829,4042834,4091649,1200106,1200158,3999530,1200046,4008052,1701468,3999786,1306499,1200169,1201301,4047992
7,1676097902.889, 121.43, 1710, 9251, 53, 2, 0, NVIDIA GeForce RTX 3080 Ti,1676097902.8459115,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200083,4064562,1856983,4070877,1200580,1200981,1200210,4001775,1200173,4000107,1834896,3993476,1201704,1200087,1784724,4056500
8,1676097903.944, 110.50, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097903.9018538,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200038,4053720,1200264,4063258,2262511,1201006,1200076,4000113,1201234,4005423,1200181,4006668,1200168,1200071,1200116,4046848
9,1676097905.004, 110.50, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097904.9619873,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200080,4052513,1200473,4057652,1200765,1200648,1200155,3998716,1200024,4000312,1200089,4002104,1769932,1200140,1200107,4056683
10,1676097906.045, 127.73, 1995, 9251, 53, 1, 0, NVIDIA GeForce RTX 3080 Ti,1676097906.0020092,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200061,4061783,1200274,4065552,1199943,1200001,1200093,4042363,1645180,4008777,1199873,3993318,1200190,1200970,2198950,4066732
11,1676097907.101, 135.73, 1995, 9251, 54, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097907.0579734,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200082,4055862,1200550,4064847,1200256,1653257,1200123,3888369,1200015,4095955,1200135,3996387,1201860,1812537,1200462,4061706
12,1676097908.152, 122.22, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097908.1098552,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200089,4065441,1199377,4062616,1201078,1200029,1200066,4094075,1646926,3996802,2334900,4001149,1986672,1200185,1200189,4065592
13,1676097909.216, 132.42, 1995, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097909.1738923,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200138,4021857,1755759,4031905,2076267,1202126,1200050,3999954,2136751,4054359,1200085,3995294,1200474,1200095,1201083,4056888
14,1676097910.277, 135.76, 1995, 9251, 54, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097910.2338753,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200022,4066712,1200154,4067184,1200116,1662894,1200060,3999972,1200110,3999786,1200102,4094651,1201615,1200184,1200088,4067969
15,1676097911.336, 117.56, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097911.2939856,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200001,4054503,2139336,4053342,1200101,1200127,1200008,4001166,1200116,4092013,1200102,3999618,1200178,1815645,1200550,4037786
16,1676097912.398, 136.69, 1995, 9251, 54, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097912.3540268,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200130,4055871,1200018,4048877,1200249,1200054,1200063,4004669,1199953,4003887,1200158,4001403,1200226,1200149,1200126,4060618
17,1676097913.433, 135.63, 1995, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097913.389927,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200101,4049384,1200197,4063119,1200132,1200540,1200053,3999036,1633526,3994294,2249995,4088953,1960431,1200191,1200027,4072979
18,1676097914.473, 112.89, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097914.4299786,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200102,4061230,1200055,4064468,1200779,1200188,1200127,4002745,2285436,4003230,1200186,4003297,1200367,1200075,1200189,4069057
19,1676097915.521, 126.87, 1890, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097915.4779906,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1206469,4062453,2290442,4039052,1835572,1716973,1200147,4000954,1199940,4007102,1200552,3846410,1201487,1200392,1986711,4063785
20,1676097916.566, 117.84, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097916.521886,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200112,4062159,1199453,4052141,1199888,1199897,1200807,3998424,1200146,4001970,1200364,3999888,1200338,1200079,1873536,4056495
21,1676097917.608, 110.58, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097917.5659227,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200129,4070558,1200264,4061826,1200062,1526724,2169380,3765544,1199949,3997511,1200062,4002673,1200271,1200292,1200147,4064194
22,1676097918.662, 121.07, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097918.617976,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,2140038,4050362,1200196,4049945,2271384,1200179,1753769,4002541,1200876,4002297,1200608,3998268,1201444,1200122,1201327,4052108
23,1676097919.705, 110.43, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097919.661844,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,2109559,4062460,1200156,4060447,1200244,1200039,1200107,4001604,1830227,4003551,2041022,4075663,1200082,1200144,1200449,4069927
24,1676097920.746, 110.38, 1710, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097920.7019012,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,3707406,4058958,1200145,4061108,1200280,1200060,1200083,3998451,1200143,4002361,1739207,4082278,1200032,1200045,1201002,4028665
25,1676097921.798, 141.40, 1995, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097921.7578115,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1225046,4064967,2504037,4071370,1995824,1200652,1200089,4000930,1201203,3997080,1200480,3994349,1200932,1702588,1200106,4066761
26,1676097922.85, 133.47, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097922.805848,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200139,4047124,1341283,4059292,1200003,1200110,1200120,4002544,2305852,4001213,1606719,4085044,2736663,1375788,1200002,4046255
27,1676097923.904, 120.80, 1995, 9251, 53, 49, 20, NVIDIA GeForce RTX 3080 Ti,1676097923.861818,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1222062,4054996,1191662,4042152,1201556,1200113,1200023,4071384,1473942,4000058,2114225,3999509,1747817,2115915,1200023,4003807
28,1676097924.945, 142.88, 1995, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097924.9019558,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200110,4037464,1200161,4060359,1200774,1200280,1200130,4000663,1200975,4049706,1200165,4091939,2120746,1200049,1201344,4045026
29,1676097925.979, 128.80, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097925.9379134,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200035,4042903,1200106,4061313,1200084,1200182,2445954,3996710,1200189,4003673,1200365,4025731,1200242,1200145,2147148,4054857
30,1676097927.008, 121.00, 1710, 9251, 53, 27, 8, NVIDIA GeForce RTX 3080 Ti,1676097926.965918,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200059,4057673,1200102,4053726,1199736,1200213,1200062,4000556,1200023,4000930,1200110,4043417,3674066,3434416,1200039,4066955
31,1676097928.057, 110.40, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097928.0139482,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200087,4066618,2318322,4130147,1200282,1200552,2045831,4048319,2099409,4086888,1200041,4044984,1884063,1200059,1201007,4063134
32,1676097929.104, 110.38, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097929.0618405,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1401161,4072399,1200268,4011501,1200379,1925163,1200097,4070843,1200226,4002056,1200040,4073181,1200737,1200097,1199986,4070577
33,1676097930.137, 120.90, 1995, 9251, 53, 49, 20, NVIDIA GeForce RTX 3080 Ti,1676097930.0939796,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200021,4066144,1748365,4096435,1200159,1200128,1200140,4030218,1199650,4001306,1200217,4042430,1608227,1655003,1200273,4067923
34,1676097931.185, 135.15, 1995, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097931.1418808,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200148,4067357,1199666,4001401,1200075,1201171,1200173,4054982,1200049,4001277,1196888,4068734,1200215,1200250,1200122,4070697
35,1676097932.238, 128.78, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097932.1939247,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,2211778,4071230,2143844,4007448,1200071,1200121,1200062,4048507,1200089,4000882,2117028,4068402,1200198,1200163,1200759,4072773
36,1676097933.268, 125.15, 1995, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097933.2258773,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1200040,4070572,1200216,4000179,1200150,1200171,1200132,4049313,1200151,3998305,1200530,4042163,1454775,1200381,1200040,4071496
37,1676097934.297, 135.26, 1995, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097934.2539244,14.0,2.2,0.0,83.6,0.1,0.0,0.1,0.0,1283002,4066993,1856437,3999528,1200092,2436149,1200127,4092996,1199984,4005667,1200225,4071508,1200309,1200122,1200030,4070510
38,1676097935.338, 126.32, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097935.2938719,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1224014,4064891,1535066,3999735,1200203,1200127,1200061,4061956,1200175,4001881,1200503,4057774,2256354,1200953,1200030,4063925
39,1676097936.381, 120.89, 1710, 9251, 52, 24, 12, NVIDIA GeForce RTX 3080 Ti,1676097936.337859,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1214170,4067442,1659543,3997203,1199367,1201428,1200145,4031472,1636371,4003506,1200131,4062571,1200446,1200048,1200102,4025523
40,1676097937.445, 110.46, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097937.4018478,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200050,4055209,1201746,4000764,1200247,1200306,1200078,4046588,1200318,4004227,1200147,4071536,1200698,1200246,1200190,4072551
41,1676097938.488, 110.44, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097938.4458725,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200017,4062533,1200105,3993994,1200172,1200084,1200125,4045753,1200144,4001364,1200196,4054942,1604199,1200441,1200708,4064805
42,1676097939.534, 125.22, 1995, 9251, 53, 1, 0, NVIDIA GeForce RTX 3080 Ti,1676097939.489995,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200108,4057218,1200181,4004596,1200003,1807753,1803034,4000194,1981553,4072967,1201488,4052920,1188865,1200244,1485531,4064584
43,1676097940.593, 135.05, 1995, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097940.5498497,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200061,4066853,1200193,4001599,1200226,2351629,2724200,4056642,1200271,4094774,1200115,4067610,1200136,1201349,1200122,4069543
44,1676097941.637, 124.12, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097941.5939822,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200140,4061610,1201066,3981588,1200041,1200212,1200049,4093666,1200615,4005866,1200040,4067686,1200063,1200111,2018127,4063252
45,1676097942.672, 129.35, 1995, 9251, 53, 1, 0, NVIDIA GeForce RTX 3080 Ti,1676097942.6299095,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200004,4059748,1202053,4001814,1200056,1200180,1200048,4015301,1200132,4003421,1200097,4071216,1200006,1200048,2403483,4069063
46,1676097943.718, 135.13, 1995, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097943.6739056,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,3320398,4067373,1201075,4008335,1200422,1200149,1200250,4093608,2275386,4007520,1200127,4068931,1200000,1200901,1512551,4070172
47,1676097944.759, 119.62, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097944.717804,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200163,4066249,1200543,4002238,1200996,1200259,1764613,4044406,1200120,3996889,1200441,4056628,1200218,1200217,1200380,4066655
48,1676097945.826, 120.81, 1710, 9251, 51, 1, 0, NVIDIA GeForce RTX 3080 Ti,1676097945.7819493,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1332382,4068211,1200133,4001503,2327812,1199761,1200883,4064531,2064848,3999256,1200004,4058762,1201211,1200087,1200013,4049934
49,1676097946.876, 110.29, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097946.833998,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200081,4063706,1200712,4023825,1200045,1200208,1200143,4068532,1200070,4008991,1200887,4072832,1918878,1200201,1200119,4062614
50,1676097947.93, 110.24, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097947.8859694,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200020,4061400,1201562,4000692,2519007,1201046,1200151,4045757,1200028,3999490,1802673,4069114,1200142,1200064,1200871,4072990
51,1676097948.98, 131.88, 1995, 9251, 52, 1, 0, NVIDIA GeForce RTX 3080 Ti,1676097948.937889,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200148,4011024,2489340,4003321,1200297,1201486,1200047,4045613,2078340,3999002,1821317,4060034,1200232,2290375,1200143,4061939
52,1676097950.029, 135.16, 1995, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097949.9859083,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200056,4040498,1200158,4000635,1200120,1201291,2252110,4048471,1200082,4005225,1200193,4066133,1200074,1200312,2111259,4066304
53,1676097951.074, 117.31, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097951.029876,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,3355328,4061776,1200114,4001103,1200618,1200068,1828266,4071402,1200008,4004782,1200026,4072494,1200308,1200223,1613610,4065657
54,1676097952.107, 133.95, 1995, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097952.0659413,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200022,4052048,4039388,3998865,1201320,1201371,1731209,4000222,1200905,4048007,1200066,4065928,1200199,1200258,1200327,4070876
55,1676097953.156, 134.99, 1995, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097953.1138985,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1555656,4063821,1201366,3974143,1200192,1200659,1200129,4075170,1200004,4000951,1200117,4057435,1899497,1200947,1200239,4060717
56,1676097954.204, 114.95, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097954.1618543,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,3491534,3999999,1205774,3998444,1717983,1200123,1200091,4001350,1199975,4000343,1200130,4062598,1200047,1201637,2242626,4067139
57,1676097955.246, 120.83, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097955.201876,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,2955788,4047307,1200215,3998953,1199775,1652739,1200076,4045604,1200378,4001559,1200149,4069989,1200091,1289406,1200104,4059645
58,1676097956.308, 110.18, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097956.2658591,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200189,4051671,1200336,4003403,1200034,1200207,2094650,4000956,1200044,4000012,1200123,4059854,1200337,1200202,1200048,4060835
59,1676097957.357, 110.10, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097957.313946,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1199976,4043835,1723067,3999898,1651485,1200081,1200064,4000947,1200155,4002365,2115336,4046084,1622944,1200098,1201202,4046025
60,1676097958.422, 136.32, 1995, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097958.3779216,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200074,4048185,1199853,3908322,2008816,1200772,1200049,4000660,1200102,4091120,1426637,4056178,1716386,1200387,1200134,4066814
61,1676097959.462, 134.89, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097959.4179502,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1200100,4057723,2037526,4001493,2084159,1200134,1200035,3997288,1200087,4001922,2126043,4063453,1201617,1200088,1200154,4068074
62,1676097960.509, 112.65, 1710, 9251, 51, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676097960.465844,14.0,2.2,0.0,83.5,0.1,0.0,0.1,0.0,1202677,4032993,1200361,3974983,1200707,1200093,1200181,3997102,1200143,4000233,1710699,4060588,1200226,1200092,1200111,4046501
