,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676111881.291, 87.00, 1710, 9251, 51, 10, 0, NVIDIA GeForce RTX 3080 Ti,1676111881.2532392,29.6,3.3,0.0,66.8,0.1,0.0,0.2,0.0,4038525,2843995,3888345,3011989,4027248,3434781,2571720,2599027,4002663,1210401,4000278,1200011,3891961,1288257,1200045,2228587
1,1676111882.546, 110.45, 1710, 9251, 51, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676111882.5018835,29.6,3.3,0.0,66.8,0.1,0.0,0.2,0.0,4044984,1216414,4046029,1843792,3994469,1394642,1640775,1200115,4052793,1309182,3996223,1200120,1200042,1200257,1200029,4071086
2,1676111883.352, 110.26, 1710, 9251, 51, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676111883.3157392,29.6,3.3,0.0,66.8,0.1,0.0,0.2,0.0,4051083,1216070,4045203,2191281,1200144,1279111,1217812,4039719,4015689,1724308,4000000,1523462,1401864,1309486,1233021,4043607
3,1676111884.65, 110.33, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676111884.6058412,29.6,3.3,0.0,66.8,0.1,0.0,0.2,0.0,4050176,1839319,4061607,1200135,1200149,1201202,1200142,4075461,3999826,1200138,3998685,1200283,1200329,1200013,1200529,4023263
4,1676111885.773, 119.27, 1710, 9251, 52, 10, 2, NVIDIA GeForce RTX 3080 Ti,1676111885.72555,29.6,3.3,0.0,66.8,0.1,0.0,0.2,0.0,2374605,1200000,4000000,3999999,4000000,4000001,4000001,4000000,4000001,3999999,3999998,4000001,3999999,4000000,4000000,4000000
5,1676111886.952, 120.62, 1710, 9251, 52, 15, 2, NVIDIA GeForce RTX 3080 Ti,1676111886.9015563,29.6,3.3,0.0,66.8,0.1,0.0,0.2,0.0,4000001,4000001,3999999,4000000,4000000,4000001,3999999,4000000,4000000,4000000,4000000,3999998,4000001,4000000,4000000,4000001
6,1676111888.141, 134.46, 2010, 9251, 54, 48, 18, NVIDIA GeForce RTX 3080 Ti,1676111888.0816262,29.6,3.3,0.0,66.8,0.1,0.0,0.2,0.0,4000000,4000001,3999999,3999999,4000001,3999916,4000001,4000000,3999974,4000016,4000001,4000001,4000001,3999999,4000000,3999999
7,1676111889.316, 154.96, 2010, 9251, 56, 10, 3, NVIDIA GeForce RTX 3080 Ti,1676111889.2735364,29.6,3.3,0.0,66.8,0.1,0.0,0.2,0.0,4000000,4000001,3999999,4000001,3999999,3999998,4000001,3999999,4000001,3999999,4000001,3999999,4000000,3999999,3999999,3999999
8,1676111890.428, 177.41, 1995, 9251, 55, 11, 3, NVIDIA GeForce RTX 3080 Ti,1676111890.3817067,29.6,3.3,0.0,66.8,0.1,0.0,0.2,0.0,4000001,4000001,4000000,4000001,3999999,4000001,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,3999999
9,1676111891.575, 149.02, 1710, 9251, 54, 8, 2, NVIDIA GeForce RTX 3080 Ti,1676111891.5296154,29.6,3.3,0.0,66.8,0.1,0.0,0.2,0.0,4000002,3999999,3999999,4000000,3999999,4000001,4000000,4000001,4000000,4000001,3999999,4000000,4000001,4000000,3999999,4000001
