,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676149006.116, 95.96, 1710, 9251, 52, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676149006.0781991,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3888698,4015266,3999999,3454274,3852562,2292564,2078751,4016352,1200956,4042155,4043267,1968119,1756558,1413760,1457848,4042111
1,1676149007.465, 111.45, 1710, 9251, 52, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676149007.4258363,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200179,4068168,1660218,1527154,2149908,4061622,1200120,1201100,1200268,4061505,4060698,1200378,2008726,4054288,1201398,1200100
2,1676149008.087, 111.48, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676149008.0598211,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2237007,4041533,3804834,1475949,1456663,4016659,1403650,1347586,1337553,4049070,4048816,1949612,1405988,4048165,1332516,1219516
3,1676149009.48, 114.32, 1710, 9251, 53, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676149009.429777,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1199996,4013504,4005381,1200173,1200100,4000976,1200117,3139717,1199659,4031725,4033218,1200025,1568167,4023035,1200072,3397522
4,1676149010.533, 117.59, 1710, 9251, 53, 21, 1, NVIDIA GeForce RTX 3080 Ti,1676149010.4899757,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200026,4000000,3999772,2348963,4000000,1200088,2801042,4003241,1200807,4004456,4046663,1200991,1200002,1200258,1755954,4043017
5,1676149011.574, 117.47, 1710, 9251, 53, 31, 2, NVIDIA GeForce RTX 3080 Ti,1676149011.5298324,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200136,4000000,4043439,2228507,1200114,1200772,4094637,4001602,1200430,4037837,4043880,1200016,1862397,1200256,3132857,4032579
6,1676149012.62, 195.28, 1950, 9251, 60, 99, 57, NVIDIA GeForce RTX 3080 Ti,1676149012.5777242,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200242,4033121,4009017,1200184,3351380,1200175,4000007,1200377,1200044,4002637,4017615,1200117,3998968,3040312,1924795,4007410
7,1676149013.653, 330.53, 1965, 9251, 62, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149013.6140237,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2363654,4027862,4055677,1200068,1730236,3999999,1926532,4000011,1900542,3999736,4005652,1200009,1617791,3999948,3266504,1627165
8,1676149014.481, 333.30, 1965, 9251, 62, 99, 54, NVIDIA GeForce RTX 3080 Ti,1676149014.4453526,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200094,3999999,4004574,1400234,4000403,1200143,4000000,1199999,1199988,4000028,3849205,1445481,3545677,1780054,2786288,1939661
9,1676149015.254, 332.21, 1980, 9251, 62, 93, 53, NVIDIA GeForce RTX 3080 Ti,1676149015.2218218,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1402444,4005006,2392186,3657321,2462339,1225471,3641581,3553136,1570731,4000945,3242221,4000005,2060453,1250303,3240784,2951261
10,1676149016.689, 325.97, 1950, 9251, 63, 98, 52, NVIDIA GeForce RTX 3080 Ti,1676149016.6497922,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1812255,4000000,1201282,3999999,2306672,2181461,3999999,3953926,1200032,4002746,4008991,3995665,1696870,1998338,1932888,1200021
11,1676149017.475, 326.47, 1965, 9251, 63, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149017.4418743,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1949345,4011142,4007545,4008115,3789200,2966892,2387361,2916770,1288080,4000047,3549054,4004552,1903938,2625321,2019325,1556166
12,1676149018.255, 327.37, 1950, 9251, 63, 99, 55, NVIDIA GeForce RTX 3080 Ti,1676149018.227703,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1220463,4007895,2198704,3939842,2710495,2885260,2146665,3659949,1656009,4003294,3448292,3722514,1415832,1969444,2659218,2708527
13,1676149019.723, 326.42, 1965, 9251, 63, 97, 56, NVIDIA GeForce RTX 3080 Ti,1676149019.6817636,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3961581,4047825,4002275,1548047,2401695,2690194,1199994,4011384,4000000,3998829,4041905,1200028,2471393,2011852,1914384,4000000
14,1676149020.753, 328.18, 1950, 9251, 64, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149020.7137403,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4017801,4050894,3074574,1200609,1199998,4000003,2054618,1955171,2526435,3999850,2551755,2893999,3192988,4000231,1200031,1201605
15,1676149021.636, 327.19, 1950, 9251, 64, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149021.597652,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3904859,4009546,1200219,1292154,2656022,4002301,1438569,1740753,4018740,4037320,3321774,3072453,2355733,3591633,1972739,1481585
16,1676149022.386, 330.63, 1950, 9251, 64, 98, 53, NVIDIA GeForce RTX 3080 Ti,1676149022.3443613,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3413860,4005551,1403057,3482381,1813482,3968460,3404383,1398375,3526703,4002277,2143116,3609872,1227151,3877016,2823019,1412517
17,1676149023.803, 327.53, 1950, 9251, 64, 98, 53, NVIDIA GeForce RTX 3080 Ti,1676149023.761746,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1836849,4000000,1200060,1200070,2037974,4008658,1200113,2952685,3999999,3999329,1561144,4009842,2137791,4000070,1290872,1200225
18,1676149024.744, 326.62, 1965, 9251, 65, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149024.7086082,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4000130,4001461,2175174,3999641,1200291,4000002,2441518,2317888,3162285,4002477,2793452,3488262,2788473,3999567,1572583,1947341
19,1676149025.625, 326.96, 1950, 9251, 64, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149025.590149,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2146402,4015777,4007845,2263404,1200123,4000029,4007421,3652958,3393128,4000020,3954085,3006039,1291515,3457635,2361551,1777178
20,1676149026.423, 327.83, 1965, 9251, 64, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149026.3903444,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2114183,4004601,3937617,2436018,2023580,2687976,3680259,2930148,1441721,4001628,3568277,2500771,2205980,3489520,2742967,2179905
21,1676149027.819, 326.98, 1950, 9251, 65, 98, 54, NVIDIA GeForce RTX 3080 Ti,1676149027.781669,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2879919,4000000,1200018,2064745,1200001,4013460,4008129,3999334,3902383,4000019,2397272,1200022,1200178,4018321,1228270,1296187
22,1676149028.511, 327.37, 1950, 9251, 65, 98, 55, NVIDIA GeForce RTX 3080 Ti,1676149028.474164,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3398746,4005702,3106959,1771680,2070858,2382282,3704312,2700760,3517105,4006180,3602222,1551635,1703013,3332567,3358046,1720285
23,1676149029.828, 328.92, 1950, 9251, 65, 99, 54, NVIDIA GeForce RTX 3080 Ti,1676149029.789674,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200139,4002822,4005229,1200029,4012805,1277034,4003012,2531239,2388990,4001644,4037844,2824694,1199937,1200017,2210308,1927187
24,1676149030.438, 327.62, 1965, 9251, 65, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149030.399152,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2268578,4003805,4003926,2541728,3511124,2140426,3819818,2230446,2041839,4000001,4007782,2431267,2433616,1557283,1666806,1654826
25,1676149031.733, 329.36, 1950, 9251, 65, 99, 57, NVIDIA GeForce RTX 3080 Ti,1676149031.689926,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3453193,4005064,3973309,1541156,3361085,2146952,4046100,1200058,3999955,4002193,4010489,1200067,1200394,2581625,1548753,2323177
26,1676149032.841, 327.18, 1950, 9251, 66, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149032.7979143,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3999999,4019383,4008390,1200011,3442469,4002395,3780498,2291336,3999028,3999570,2007184,4040379,2223719,3999999,1520617,3026394
27,1676149033.488, 327.15, 1950, 9251, 66, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149033.4478445,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3491083,4009829,3641483,2221212,2179841,2020265,2920125,2932411,2474982,4030602,3330051,3581096,1608762,1823247,3283172,1808460
28,1676149034.875, 327.69, 1935, 9251, 66, 98, 57, NVIDIA GeForce RTX 3080 Ti,1676149034.8338244,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2463058,4024126,2057786,4011757,4000002,1200027,3943584,1200106,1200690,4001023,2451513,1200815,4000230,1200135,1428000,2100047
29,1676149035.895, 327.96, 1950, 9251, 66, 96, 52, NVIDIA GeForce RTX 3080 Ti,1676149035.857821,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200325,4000000,2141023,4010653,4000000,1200142,1924377,1830855,1200047,3999823,1805380,3999974,3999760,1199997,4021133,1348131
30,1676149036.535, 328.19, 1950, 9251, 66, 97, 56, NVIDIA GeForce RTX 3080 Ti,1676149036.4996357,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1212551,4003420,1616022,3712806,4003491,2449467,2827644,2370109,1995637,4003123,2168637,1975141,4000156,1660781,3510408,1631700
31,1676149037.949, 326.00, 1935, 9251, 67, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149037.9056644,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1220618,4009713,1791224,1200306,4004204,1200020,1200059,1211192,1418305,4000772,3382575,3998009,4000035,1671004,4001381,1200016
32,1676149038.551, 327.11, 1935, 9251, 66, 98, 56, NVIDIA GeForce RTX 3080 Ti,1676149038.5118163,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1371194,4004481,2030712,3472900,4003522,1487199,3027458,2173178,1841656,3999989,2535450,2186748,4001655,2324441,3226730,2739454
33,1676149039.98, 327.52, 1935, 9251, 66, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149039.9417565,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3972836,4002644,1349193,1200002,4000002,2340106,2092853,1322846,4000037,4002541,2083671,4000235,1200368,2636572,1200370,4000006
34,1676149040.681, 327.58, 1935, 9251, 67, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149040.6409519,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3440257,4006859,2516205,3470830,3216621,2847781,1614998,3707725,2089831,4004241,1567964,2754883,1417220,2565942,1665998,3712006
35,1676149042.013, 325.55, 1935, 9251, 67, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149041.9699388,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3951881,4013231,1595875,1200000,1200215,1584075,2327151,4039784,4000075,4005524,2952237,3053402,1537552,1200067,2633603,4002317
36,1676149043.041, 328.90, 1950, 9251, 67, 97, 53, NVIDIA GeForce RTX 3080 Ti,1676149043.0057921,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4002243,4007864,3304242,4009844,2035626,1200180,2301913,4002021,1903860,4000052,1200050,4002980,2324360,1199973,1638332,4003205
37,1676149044.085, 327.09, 1965, 9251, 67, 99, 57, NVIDIA GeForce RTX 3080 Ti,1676149044.045669,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2996226,4000005,3956516,4009122,2536860,2230281,1925389,1200045,1199962,4000342,4012606,1610698,3356485,3370164,2446029,1207476
38,1676149045.123, 326.79, 1935, 9251, 67, 98, 54, NVIDIA GeForce RTX 3080 Ti,1676149045.0819702,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200083,4015792,4000000,1200021,1975715,4004493,1202123,3996200,1199993,4025495,1200014,4006894,2355751,4000223,4006363,1902085
39,1676149046.172, 326.94, 1920, 9251, 67, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149046.1299014,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200095,4000000,1200094,4007143,1751965,4004619,4000489,2185863,3595874,4090083,1376683,4000253,1905197,3999635,4000003,2527367
40,1676149047.197, 328.21, 1292, 9251, 67, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149047.1541088,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4016304,4032035,1200010,1621818,4007313,4000003,3897019,1200016,1200006,3996977,1200289,1755622,1500281,4024418,1397392,1200036
41,1676149048.226, 326.62, 1950, 9251, 67, 98, 53, NVIDIA GeForce RTX 3080 Ti,1676149048.182027,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200082,3999999,2628547,2397387,4009835,4000002,1200002,1995078,4034549,4001740,2951523,1200012,3999964,3999998,2047054,1200125
42,1676149048.848, 327.59, 1935, 9251, 67, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149048.8039873,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3999960,4004272,2279249,1377160,3550271,4004850,1664038,1447307,4004863,4000577,2649890,1204145,3890152,4002144,2127581,1889558
43,1676149050.23, 327.06, 1935, 9251, 67, 98, 53, NVIDIA GeForce RTX 3080 Ti,1676149050.1857977,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4003628,4005651,1227738,1428169,1200012,4014229,2147324,4000000,4043405,4000037,2728577,1200010,2355940,3997934,1622856,4002764
44,1676149051.281, 327.45, 1935, 9251, 67, 98, 55, NVIDIA GeForce RTX 3080 Ti,1676149051.2380145,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4061704,4015226,2095926,4000002,1200149,1677955,2012165,1200182,4000002,4002373,2213038,3999866,2295855,4009437,1863014,1210633
45,1676149052.325, 326.54, 1965, 9251, 67, 98, 53, NVIDIA GeForce RTX 3080 Ti,1676149052.2817557,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4017708,4018234,3997317,4009559,1200022,4008290,1200100,1200228,3999999,4176319,1200221,4000084,1948659,1858952,4007418,1200015
46,1676149053.358, 327.97, 1935, 9251, 68, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149053.317764,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4018321,4010267,1200466,4017008,3717434,1200020,1200097,1200245,4000000,4003388,3999750,4000320,2064939,1297930,1932718,1200139
47,1676149054.146, 327.01, 1965, 9251, 68, 98, 55, NVIDIA GeForce RTX 3080 Ti,1676149054.1029885,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4052496,4000000,4024706,1867814,1200193,4016546,1649954,1649806,4005265,4000007,3116492,1507219,2296498,2829544,2271904,1484752
48,1676149055.004, 328.54, 1950, 9251, 67, 97, 53, NVIDIA GeForce RTX 3080 Ti,1676149054.9662426,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4006510,4006781,3503780,1746576,2228661,3930097,1238893,2594078,4006092,4000167,2521027,1914666,3679074,2192968,1754580,2568854
49,1676149056.396, 328.52, 1935, 9251, 68, 99, 53, NVIDIA GeForce RTX 3080 Ti,1676149056.3537927,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4002866,4015961,1200114,4004428,4057206,2317022,1200047,1676694,4003413,3998343,1200080,4001497,4007031,2127355,2441127,2646177
50,1676149057.452, 327.92, 1935, 9251, 68, 97, 56, NVIDIA GeForce RTX 3080 Ti,1676149057.4019077,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4013223,4000365,1200480,4011742,4000046,1201039,2473220,3748972,3999997,4000087,1200133,3487069,4003481,1200241,1982869,4066576
51,1676149058.463, 327.06, 1905, 9251, 68, 98, 56, NVIDIA GeForce RTX 3080 Ti,1676149058.425735,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4011126,4004576,1200179,4004743,1807731,1199791,4028982,1879889,4003353,4000000,1688073,3975161,2274948,1200181,4022861,2585973
52,1676149059.088, 327.39, 1935, 9251, 68, 99, 57, NVIDIA GeForce RTX 3080 Ti,1676149059.0518718,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4004316,4005672,2693454,3562893,2076684,1326062,3946534,2350632,4004319,4000001,1915487,3578039,2143627,1378360,2027773,2515151
53,1676149060.508, 327.61, 1950, 9251, 67, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149060.4658682,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3999001,4039694,1365307,4022930,1862581,2397580,1200008,1200600,1849206,4002760,4000039,4000003,4000000,1200043,2067080,1200030
54,1676149061.527, 327.94, 1935, 9251, 68, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149061.4896798,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2332583,4020424,4001574,3999567,4015025,2439486,1200196,1276877,1855184,3999827,4000642,4034938,2127930,1384335,1200315,3538822
55,1676149062.562, 329.77, 1935, 9251, 68, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149062.521779,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1681972,3999999,4001987,3999952,1433992,1199996,2836028,4000469,4015974,3997186,1200088,2348538,1200015,2505558,3505194,3999999
56,1676149063.18, 328.37, 1935, 9251, 68, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149063.1443403,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3281151,4004484,2345139,3870598,2481291,2015396,3579411,2979851,2590643,4000195,1365769,3950227,1622638,2151545,3735542,3453288
57,1676149064.592, 327.55, 1935, 9251, 68, 99, 56, NVIDIA GeForce RTX 3080 Ti,1676149064.553756,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4042432,4000000,1200010,1200208,1200175,2301206,3157374,4003006,4000721,3998204,1200072,2493047,2203820,1200200,3999366,4007832
58,1676149065.52, 327.45, 1950, 9251, 68, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149065.484812,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2815374,4023582,1200985,2016702,1200098,4000002,3999998,4027311,1587417,3999410,1734825,2760340,2438026,2790064,2551884,3838408
59,1676149066.2, 325.63, 1950, 9251, 68, 97, 53, NVIDIA GeForce RTX 3080 Ti,1676149066.1668673,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2263195,4006253,1334610,1976534,2664865,3844441,3568834,3092566,1378311,4000241,3441121,2377442,2694994,2350691,3226258,3530698
60,1676149067.589, 325.76, 1935, 9251, 69, 98, 58, NVIDIA GeForce RTX 3080 Ti,1676149067.5497086,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2663720,4000000,3997798,1200117,1200075,2313283,1721822,2033958,3159447,3999986,1200064,4089404,2005179,2116770,2107503,2921652
61,1676149068.255, 325.88, 1935, 9251, 69, 99, 54, NVIDIA GeForce RTX 3080 Ti,1676149068.2178023,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2320707,4007094,1920950,2729906,1776879,3125147,1473032,3673037,3466923,4000001,3682859,1591977,2078521,3629118,2006530,3549284
62,1676149069.625, 326.40, 1935, 9251, 69, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149069.5818396,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,3999974,4000000,1608342,1748889,1200382,4000001,1200074,2412364,3999998,4023255,1200032,2478581,1572123,4000076,3999980,1866205
63,1676149070.665, 327.45, 1935, 9251, 69, 97, 54, NVIDIA GeForce RTX 3080 Ti,1676149070.6218328,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,4039399,3999999,1200112,3735841,1721380,4009076,3996077,1199999,1200015,3995386,2182843,1201097,1200253,4005462,4003670,3682550
64,1676149071.694, 327.92, 1950, 9251, 68, 97, 57, NVIDIA GeForce RTX 3080 Ti,1676149071.6537912,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1200262,4048318,4002157,4008996,1200336,1986390,2057767,4009994,4005687,4003678,2071875,1409602,3999681,3454891,2101427,1206589
65,1676149072.722, 327.05, 1935, 9251, 69, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149072.6777518,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,1992117,4004919,1979783,2194946,3475758,2053440,4000000,2306124,2292935,4016306,3090888,1201426,1795251,2779914,4011670,3726859
66,1676149073.784, 328.46, 1950, 9251, 68, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676149073.7418263,33.2,4.0,0.0,62.6,0.0,0.0,0.1,0.0,2160103,4001008,3712255,2024165,1200008,1200145,3999970,3938172,1200203,4022574,3999999,1200286,4029400,1200070,3999999,4103056
