,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676175503.192, 110.40, 1710, 9251, 52, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676175503.1528492,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,4034359,4044225,1238869,1545956,1234688,1238960,1798093,3999577,4021330,4041126,1439648,1413994,1387935,1235553,2290161,4039281
1,1676175504.422, 110.84, 1710, 9251, 52, 11, 0, NVIDIA GeForce RTX 3080 Ti,1676175504.3779416,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,4049327,4007707,1817137,1514779,1594541,1341674,1871586,1200160,4057360,4059760,1200094,1200083,4058664,1200154,1601939,1200191
2,1676175505.521, 110.69, 1710, 9251, 52, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676175505.4778936,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,4043917,4040282,1201857,2026658,3995752,1800165,1610873,1199778,4065209,4072677,1200037,1200166,4065980,1966016,1200253,1238327
3,1676175506.573, 113.81, 1710, 9251, 53, 14, 1, NVIDIA GeForce RTX 3080 Ti,1676175506.5297842,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,4013308,3996425,1200143,1200434,2410692,4000001,3999999,4000003,3999931,4000184,3555250,4000009,1249009,3838165,4001169,1200075
4,1676175507.624, 113.85, 1710, 9251, 53, 25, 1, NVIDIA GeForce RTX 3080 Ti,1676175507.581837,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,4021724,4015219,1200000,4025871,1791893,1200267,2544811,2914478,4002544,4000000,1200209,4002253,1200289,1200161,2084313,3797683
5,1676175508.689, 125.57, 1995, 9251, 54, 51, 20, NVIDIA GeForce RTX 3080 Ti,1676175508.646005,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,4036063,4028141,1200014,4025538,2280156,1200341,1200070,3169738,3158545,4002888,1200333,4051686,1199929,1200073,1200069,3124794
6,1676175509.725, 310.00, 1950, 9251, 61, 97, 57, NVIDIA GeForce RTX 3080 Ti,1676175509.6819038,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,4003401,4030450,1200423,4000000,2067545,2047693,1200003,2294282,2239213,3998743,1200372,3997429,1720861,3999957,3698533,1200103
7,1676175510.773, 328.17, 1980, 9251, 62, 97, 56, NVIDIA GeForce RTX 3080 Ti,1676175510.7299562,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,1200015,4003355,1200009,4003358,2094869,2912181,1585543,1200246,1886437,4003690,1597899,4000241,4020507,3998443,3480859,1200007
8,1676175511.827, 330.48, 1980, 9251, 62, 97, 55, NVIDIA GeForce RTX 3080 Ti,1676175511.7859285,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,1604310,4028744,1200100,3999896,4000989,1836347,1579386,3999996,1200000,3994576,4024491,4025537,3998584,1200185,4004187,2638178
9,1676175512.857, 328.25, 1950, 9251, 63, 97, 57, NVIDIA GeForce RTX 3080 Ti,1676175512.813869,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,4000115,4000000,1200007,1200170,2502818,3332927,2338178,3088954,4000000,3998317,3999901,2714851,1222661,1200011,2361215,1200151
10,1676175513.912, 331.44, 1950, 9251, 64, 97, 57, NVIDIA GeForce RTX 3080 Ti,1676175513.8738427,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,4000068,3999999,1775630,3999999,2741544,1200001,4010458,4003314,4001442,3999997,1200003,3599314,1757087,2944234,1503160,3999054
11,1676175514.66, 329.39, 1950, 9251, 63, 96, 54, NVIDIA GeForce RTX 3080 Ti,1676175514.618613,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,4000163,4002604,1947171,3632588,1518734,1908269,2750221,3968889,3508607,4001458,1422940,2585319,1931247,3136455,1552805,4000021
12,1676175515.955, 331.25, 1965, 9251, 64, 96, 56, NVIDIA GeForce RTX 3080 Ti,1676175515.9137115,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,3572662,4000000,1200063,4002661,3315836,1200091,2525205,4007057,1200113,3996676,1200075,4039343,4000097,3998960,1223331,2233432
13,1676175516.983, 328.60, 1950, 9251, 64, 97, 56, NVIDIA GeForce RTX 3080 Ti,1676175516.9418583,29.1,4.0,0.0,66.7,0.0,0.0,0.2,0.0,1796969,4034465,1793822,3999998,3621987,1793755,2313620,4004305,1200005,3998458,4028808,1983267,3819459,4000000,1368148,4000010
