,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676094172.598, 38.72, 1710, 9501, 49, 0, 1, NVIDIA GeForce RTX 3080 Ti,1676094172.565702,13.5,1.8,0.0,84.4,0.2,0.0,0.1,0.0,1200051,4044085,1616101,1207750,1961148,4042902,1498383,4012365,1200097,4015650,1274738,1230410,1712997,4045129,1770501,4045491
1,1676094173.564, 101.80, 1710, 9251, 51, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676094173.528091,13.5,1.8,0.0,84.4,0.2,0.0,0.1,0.0,1483868,4046323,1890017,1284481,1808652,4013904,1625885,4000550,1414740,4034220,1508565,1417098,1280800,4046272,1949305,4046148
2,1676094174.906, 110.82, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676094174.8659105,13.5,1.8,0.0,84.4,0.2,0.0,0.1,0.0,1200052,4060228,1200169,1201807,1201402,4000244,1200092,4005268,1598857,4007353,1200126,1200125,1200041,4070897,1200314,4065653
3,1676094175.572, 110.70, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676094175.5371304,13.5,1.8,0.0,84.4,0.2,0.0,0.1,0.0,1278732,4046407,1734110,1335480,1361802,4006709,1582130,3999941,1232457,3999736,1790924,1259034,1247779,4042714,1221530,4041262
4,1676094176.986, 110.86, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676094176.9419785,13.5,1.8,0.0,84.4,0.2,0.0,0.1,0.0,4000101,4020015,1203020,4024794,4046293,1200084,1200104,2430815,4029096,4000196,1200084,3999533,4003512,1200903,1201184,1200812
5,1676094178.021, 111.73, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676094177.9778264,13.5,1.8,0.0,84.4,0.2,0.0,0.1,0.0,1265044,4041820,1200196,4056653,4068520,1200051,1200058,1200139,1200342,4001109,2295734,3998222,3997218,1200104,1919850,2288407
6,1676094179.047, 192.56, 1935, 9251, 60, 92, 60, NVIDIA GeForce RTX 3080 Ti,1676094179.0096881,13.5,1.8,0.0,84.4,0.2,0.0,0.1,0.0,1203259,4066623,1946019,4040098,1200799,1200808,3999932,2005685,1200096,4006562,1900626,3999495,1292207,1200023,1819503,2355751
7,1676094180.103, 336.70, 1950, 9251, 62, 92, 61, NVIDIA GeForce RTX 3080 Ti,1676094180.0579224,13.5,1.8,0.0,84.4,0.2,0.0,0.1,0.0,4036345,3999996,2201184,4044058,4026256,1613211,1200055,1200068,4005089,4001620,1200438,4005638,3999908,1200221,1200101,1707949
8,1676094180.89, 334.72, 1920, 9251, 62, 92, 62, NVIDIA GeForce RTX 3080 Ti,1676094180.8594096,13.5,1.8,0.0,84.4,0.2,0.0,0.1,0.0,3999385,4058871,1200258,4031801,1200634,2725399,1200003,1583837,3383049,4000072,1495622,3999957,1827061,2391826,1463105,2831129
9,1676094181.726, 335.62, 1920, 9251, 63, 92, 60, NVIDIA GeForce RTX 3080 Ti,1676094181.698806,13.5,1.8,0.0,84.4,0.2,0.0,0.1,0.0,3654013,4017632,1813302,4017667,1826245,3532382,1228870,1440144,3378617,4003222,2130568,4012526,1844824,3885101,1215426,2722297
