,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676107429.71, 46.34, 1710, 9251, 51, 6, 1, NVIDIA GeForce RTX 3080 Ti,1676107429.655465,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,1203898,1333505,1223587,4040408,1943862,4002444,1314523,4044209,1200298,1200124,1200022,4000966,1957815,4004786,1929203,4028262
1,1676107430.966, 111.27, 1710, 9251, 52, 11, 0, NVIDIA GeForce RTX 3080 Ti,1676107430.9219706,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,1369588,1200069,1219133,4044781,1421625,4004697,2065622,3998548,1200262,1200243,1200488,4000404,1845249,4068448,1200511,4063495
2,1676107431.714, 111.40, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676107431.6706214,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,1206950,1200053,1206291,4046416,1763575,4007657,1928319,4000800,1626631,1200047,1221943,4068301,1778262,4039070,1746663,4038459
3,1676107433.088, 111.00, 1710, 9251, 52, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676107433.0459192,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,1200186,1201195,1200145,4071486,1770783,3994308,1200105,3998936,1200104,1200019,1201461,4005929,1199947,4067339,2209763,4067057
4,1676107434.18, 121.11, 1710, 9251, 53, 18, 3, NVIDIA GeForce RTX 3080 Ti,1676107434.1376102,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,3999999,3999985,4000000,4000000,4000000,4000000,4000000,3999999,4000001,3999999,4000000,4000000,4000000,4000001,3999998,4000000
5,1676107435.344, 127.13, 1710, 9251, 53, 25, 3, NVIDIA GeForce RTX 3080 Ti,1676107435.2895842,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000034,4000000,3999999,3999999,3999999,4000000,4000000,4000000,3999999,4000001,4000000,3999999,3999999,4000000,4000001,4000001
6,1676107436.459, 233.42, 1935, 9251, 61, 98, 60, NVIDIA GeForce RTX 3080 Ti,1676107436.4136088,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000000,4000000,4000000,4000000,3999998,4000001,4000000,4000000,4000000,4000000,4000001,4000000,4000000,3999999,4000000,4000000
7,1676107437.544, 339.77, 1950, 9251, 62, 97, 60, NVIDIA GeForce RTX 3080 Ti,1676107437.4974892,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000001,4000000,4000000,3999985,3999999,4000000,3999999,4000000,4000000,4000001,4000000,3999999,4000001,4000000,4000000,4000001
8,1676107438.705, 328.97, 1935, 9251, 63, 98, 60, NVIDIA GeForce RTX 3080 Ti,1676107438.6335347,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000000,4000001,4000001,4000000,4000000,4000001,3999999,4000000,4000000,4000001,4000000,3999999,4000000,4000000,4000001,4000000
9,1676107439.786, 339.40, 1935, 9251, 63, 94, 58, NVIDIA GeForce RTX 3080 Ti,1676107439.7415679,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000000,3999999,4000000,4000000,4000000,4000000,3999999,3999999,3999999,3999999,3999995,3999986,3999999,4000001,4000001,3999999
10,1676107440.907, 328.02, 1965, 9251, 62, 86, 53, NVIDIA GeForce RTX 3080 Ti,1676107440.8535366,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000000,3999999,4000001,3999999,3999999,4000001,3999999,4000000,3999999,3999987,4000000,4000000,4000001,4000000,4000000,3999992
11,1676107441.987, 328.01, 1935, 9251, 64, 89, 54, NVIDIA GeForce RTX 3080 Ti,1676107441.9415522,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000000,3999999,4000000,3999999,4000001,3999999,4000001,4000000,4000001,4000001,4000001,3999982,4000000,4000000,4000000,4000000
12,1676107443.025, 324.35, 1935, 9251, 64, 91, 54, NVIDIA GeForce RTX 3080 Ti,1676107442.985502,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000000,4000001,4000000,3999999,4000000,3999999,4000001,3999999,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000002
13,1676107443.837, 304.36, 1935, 9251, 64, 43, 27, NVIDIA GeForce RTX 3080 Ti,1676107443.796939,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,3999999,4000000,4000000,4000000,4000001,4000000,3999999,4000000,4000000,3999999,3999999,3999999,3999999,3999999,3999999,3999999
14,1676107444.769, 239.73, 1965, 9251, 62, 14, 4, NVIDIA GeForce RTX 3080 Ti,1676107444.7288074,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000000,3999999,4000000,4000000,3999999,3999999,3999999,3999999,4000000,3999999,3999999,3999999,4000000,3999999,4000000,3999999
15,1676107445.883, 283.04, 1950, 9251, 63, 96, 60, NVIDIA GeForce RTX 3080 Ti,1676107445.8375,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000000,3999999,3999999,4000000,3999999,3999999,4000000,4000000,4000000,4000000,4000000,3999999,4000001,4000001,4000000,4000000
16,1676107447.113, 319.89, 1935, 9251, 64, 87, 53, NVIDIA GeForce RTX 3080 Ti,1676107447.061587,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000000,3999993,4000000,4000000,4000001,4000000,4000001,4000000,4000001,4000001,3999998,3999967,4000000,4000000,3999999,4000001
17,1676107448.235, 307.34, 1965, 9251, 64, 46, 28, NVIDIA GeForce RTX 3080 Ti,1676107448.1935058,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000001,4000001,4000000,4000000,4000001,3999998,4000000,4000000,4000000,4000000,4000000,3999998,4000000,4000000,4000000,4000000
18,1676107449.335, 327.90, 1950, 9251, 64, 90, 55, NVIDIA GeForce RTX 3080 Ti,1676107449.281544,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000000,4000000,4000001,3999989,3999999,3999999,3999999,4000000,4000000,4000001,3999984,3999999,3999999,4000001,4000000,3999999
19,1676107450.453, 324.32, 1950, 9251, 63, 87, 54, NVIDIA GeForce RTX 3080 Ti,1676107450.385518,21.1,3.0,0.0,75.6,0.1,0.0,0.2,0.0,4000001,4000000,4000000,4000000,4000000,4000002,4000000,4000000,3999998,4000000,3999999,4000001,4000000,4000000,4000000,3999999
20,1676107451.619, 327.62, 1935, 9251, 65, 89, 55, NVIDIA GeForce RTX 3080 Ti,1676107451.573545,21.1,3.1,0.0,75.6,0.1,0.0,0.2,0.0,4000000,4000000,4000001,3999997,4000000,4000000,4000000,4000000,4000000,3999999,3999998,3999999,4000001,4000000,4000000,4000005
