,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676120686.743, 46.81, 1710, 9251, 50, 6, 1, NVIDIA GeForce RTX 3080 Ti,1676120686.7114906,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4041677,4051728,1204749,1209485,1309437,1896610,4000000,4000000,4000000,4000000,4000000,4000000,3999999,4000000,3999773,4000000
1,1676120688.093, 110.80, 1710, 9251, 51, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676120688.0500576,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000699,4036251,3654639,3935295,1200215,1201249,1200054,3999369,4061350,4002784,1199815,1200417,1201401,2105243,1827756,4054495
2,1676120688.833, 110.99, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676120688.7907586,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4009325,4046290,2926785,1383113,1223716,2017349,1478555,1880364,4047966,4000370,1581272,1385664,1302549,2415269,1496265,3678286
3,1676120689.775, 111.45, 1710, 9251, 52, 10, 0, NVIDIA GeForce RTX 3080 Ti,1676120689.741501,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4038049,4062910,4062347,1200033,1203256,1945766,1297141,1712511,4060668,4015641,4053536,1200130,1208277,2165184,1647390,2356116
4,1676120691.185, 118.46, 1710, 9251, 52, 11, 6, NVIDIA GeForce RTX 3080 Ti,1676120691.141884,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000544,3999999,1200012,2264706,1204679,4000001,1200002,1342162,4004016,3996897,1699693,1200275,2209699,4000886,1200171,1200019
5,1676120692.216, 119.34, 1710, 9251, 53, 9, 5, NVIDIA GeForce RTX 3080 Ti,1676120692.17787,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3999795,4061431,2110069,1200006,2352963,4001047,1200049,1200254,4055003,4006307,2451261,1991202,2831420,4000114,1200001,1200002
6,1676120693.298, 122.50, 1710, 9251, 53, 17, 7, NVIDIA GeForce RTX 3080 Ti,1676120693.253897,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000051,4012235,1444647,4034224,1200005,2160521,4017486,1200127,3999999,3999949,3999965,1624151,3999727,2530245,2748756,1200038
7,1676120694.345, 121.33, 1710, 9251, 53, 18, 6, NVIDIA GeForce RTX 3080 Ti,1676120694.301902,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3999770,1201080,4000000,2900289,1741790,2725067,1200094,2798782,4045737,1200030,3999285,3999970,1200009,1866752,1200008,2589406
8,1676120695.385, 182.89, 1980, 9251, 58, 100, 39, NVIDIA GeForce RTX 3080 Ti,1676120695.3417819,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000028,1199999,4001151,1200018,1200479,4000267,1200006,4005197,3999999,4011969,3915244,1200043,1200083,2161346,1200246,3961537
9,1676120696.397, 323.26, 1935, 9251, 61, 100, 54, NVIDIA GeForce RTX 3080 Ti,1676120696.3695943,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000222,4000115,3850711,2400550,4000000,2042773,3999998,2942828,3999999,4000001,1788553,4003456,3997510,2740074,3008039,2434533
10,1676120697.032, 330.37, 1905, 9251, 62, 100, 51, NVIDIA GeForce RTX 3080 Ti,1676120696.9919612,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000187,4000724,2454586,3249039,3771075,3365305,3455883,1885255,4000916,4000015,1779932,4000630,2465146,3801180,3949662,1646567
11,1676120698.397, 331.16, 1950, 9251, 63, 100, 50, NVIDIA GeForce RTX 3080 Ti,1676120698.3615851,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000126,4010356,1803944,1622130,3999975,4000000,1429171,2529110,3999999,4000374,4000002,2209052,4000001,3999950,2437000,1200014
12,1676120699.033, 331.05, 1965, 9251, 63, 100, 52, NVIDIA GeForce RTX 3080 Ti,1676120699.0046792,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000149,4000223,3666184,1321304,3678735,3955408,2115017,1253460,3999999,3999999,3962484,1330616,3575235,3834793,1948422,1361158
13,1676120700.417, 326.78, 1905, 9251, 63, 100, 59, NVIDIA GeForce RTX 3080 Ti,1676120700.3855834,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4021033,3983670,1710881,3370567,4000257,3999999,2322664,1200010,3999999,3999871,1200033,4000000,1679783,4000015,1200071,3236575
14,1676120701.053, 325.81, 1920, 9251, 63, 100, 59, NVIDIA GeForce RTX 3080 Ti,1676120701.0175655,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000189,3932718,1338670,3992596,1829435,3976759,1603161,2404321,4001977,4004344,1484049,3730503,3425661,3991347,2267090,1792547
15,1676120702.47, 324.47, 1920, 9251, 64, 100, 57, NVIDIA GeForce RTX 3080 Ti,1676120702.4259193,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3999995,3999999,1200074,3635943,3998030,1200181,4040957,1200334,4000000,4001450,1200388,2890113,4000003,1816624,3999875,2015228
16,1676120703.489, 327.54, 1905, 9251, 64, 100, 52, NVIDIA GeForce RTX 3080 Ti,1676120703.4497128,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000891,1333326,2325162,4000019,4000617,1201699,4000000,1200088,4000000,4032477,2345014,1200196,3999999,1247116,3995068,3605555
17,1676120704.089, 325.83, 1890, 9251, 64, 100, 49, NVIDIA GeForce RTX 3080 Ti,1676120704.0617492,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4001538,3829315,3400857,1484910,3982185,1617286,3940127,3139481,4001149,1885603,3496233,1238415,3960900,1953100,3905256,3366306
18,1676120705.526, 324.85, 1905, 9251, 64, 100, 56, NVIDIA GeForce RTX 3080 Ti,1676120705.4856668,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000344,1200086,4000001,1249911,1200012,1868391,3999905,4000010,3999999,3752622,4001314,3999175,1200009,4000002,1974773,1654905
19,1676120706.249, 326.32, 1875, 9251, 64, 100, 54, NVIDIA GeForce RTX 3080 Ti,1676120706.2162595,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000347,3943342,4000012,4000000,1355423,1563307,1614830,2207086,4000877,3997776,3711395,4000000,3475261,3021287,1225525,2164009
20,1676120707.187, 326.90, 1920, 9251, 64, 100, 57, NVIDIA GeForce RTX 3080 Ti,1676120707.15035,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4001170,3678355,3627036,4000175,3974510,2100947,2456387,2970561,4000000,1870988,3737634,4000001,3961666,2757106,1871205,2766890
21,1676120708.129, 325.21, 1920, 9251, 65, 100, 50, NVIDIA GeForce RTX 3080 Ti,1676120708.0973089,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000059,1878305,2221131,4001003,3989422,2628852,1710151,3378233,4001024,2029669,2211467,4007131,3929794,3788354,1861291,2190357
22,1676120709.549, 324.37, 1905, 9251, 65, 100, 61, NVIDIA GeForce RTX 3080 Ti,1676120709.505781,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3999880,1200152,4000001,4000000,4000000,1200124,2128175,3988212,3999999,1200298,4002656,4001088,4000129,1200001,2229863,4000005
23,1676120710.581, 325.69, 1905, 9251, 65, 100, 57, NVIDIA GeForce RTX 3080 Ti,1676120710.5417209,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4023094,1677771,4000001,4000000,4000000,1200007,1694411,3999863,4000000,1203002,3999836,3908233,4001767,3999999,1816526,3995329
24,1676120711.5, 324.51, 1905, 9251, 65, 100, 48, NVIDIA GeForce RTX 3080 Ti,1676120711.46734,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3999816,1599488,1200005,4000000,3722763,2563112,4088379,2023251,4000000,1200007,1200001,4001342,2895827,3830557,3611624,2360497
25,1676120712.183, 322.86, 1950, 9251, 65, 100, 49, NVIDIA GeForce RTX 3080 Ti,1676120712.1510065,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000861,1383588,1254408,3990114,3103540,3915953,3446205,2347755,4001052,1403722,1329630,3999727,1974588,3962217,3672131,2940194
26,1676120713.604, 322.81, 1905, 9251, 65, 100, 59, NVIDIA GeForce RTX 3080 Ti,1676120713.5656052,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3999999,3999999,1201451,4000000,4000005,3999556,2458930,1200007,4000000,4000602,1200140,4000304,3999321,4000000,1852949,2105127
27,1676120714.644, 323.24, 1965, 9251, 65, 100, 52, NVIDIA GeForce RTX 3080 Ti,1676120714.6019487,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3999990,1200010,1200147,4000000,4000000,3551301,1997865,3596710,3999999,1200027,1276111,3999981,4000070,4000010,1200025,3998500
28,1676120715.669, 325.24, 1905, 9251, 66, 100, 57, NVIDIA GeForce RTX 3080 Ti,1676120715.6257584,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000154,4000103,1200226,2143770,3999999,4000000,3999946,1200211,4000000,3999999,2931258,4000000,3999985,4065679,1686199,1283772
29,1676120716.704, 324.62, 1920, 9251, 66, 100, 50, NVIDIA GeForce RTX 3080 Ti,1676120716.6618643,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4014962,1200006,1849321,4000016,4000000,4000000,2302185,4000904,3999999,1200549,1199999,4000001,4000049,3996766,1645916,1200210
30,1676120717.749, 324.53, 1860, 9251, 66, 100, 47, NVIDIA GeForce RTX 3080 Ti,1676120717.7096505,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000440,1957687,1200007,4000033,3998984,1886180,4000000,1200242,4000000,1199994,2338950,4000006,3997513,1200051,4045661,2522841
31,1676120718.352, 324.45, 1905, 9251, 66, 100, 45, NVIDIA GeForce RTX 3080 Ti,1676120718.3174028,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3908237,2095037,3338759,3994801,3854255,2790060,3974581,1912125,3745390,1342643,3412770,3964727,3989004,2078687,3766183,3426364
32,1676120719.773, 324.12, 1920, 9251, 66, 100, 56, NVIDIA GeForce RTX 3080 Ti,1676120719.7297792,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,1201574,1200002,1496677,1896451,3999999,4033637,4005234,3999866,1200253,1200781,3999618,1983595,3999937,4000105,3996231,2333348
33,1676120720.548, 323.91, 1890, 9251, 66, 100, 54, NVIDIA GeForce RTX 3080 Ti,1676120720.5053773,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3694894,1200041,1200010,4000005,4000000,4000000,3955673,3496748,1955403,2495834,1578487,1725376,4000005,4000012,3877566,2536562
34,1676120721.79, 325.85, 1890, 9251, 66, 100, 48, NVIDIA GeForce RTX 3080 Ti,1676120721.753587,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,1200121,1928819,1200945,4000059,4000000,3999999,4000000,2952547,1607074,3569901,1514216,4000000,3999812,4000099,4000005,1200163
35,1676120722.441, 324.78, 1905, 9251, 66, 100, 46, NVIDIA GeForce RTX 3080 Ti,1676120722.4028575,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,1261803,2093148,1782109,3294716,4001614,4001666,3921291,2119384,1412925,3063296,3150198,3472540,4002243,4000011,3637018,3814430
36,1676120723.826, 324.12, 1920, 9251, 67, 100, 57, NVIDIA GeForce RTX 3080 Ti,1676120723.785704,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,1756085,2360608,3999973,4000002,3999999,4000000,4000000,1241450,1200087,1200005,3999999,3636557,3731262,4000167,3999973,1200004
37,1676120724.471, 324.33, 1950, 9251, 66, 100, 49, NVIDIA GeForce RTX 3080 Ti,1676120724.436913,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,2964392,1866537,1753392,3608735,3861477,4000585,3965660,1290194,1514290,3690409,3129089,3513809,3997953,4000001,3999061,1377473
38,1676120725.414, 325.38, 1950, 9251, 67, 100, 50, NVIDIA GeForce RTX 3080 Ti,1676120725.3914165,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,1625920,3326455,3005667,2155226,3956223,4000330,3949286,3207542,1260093,3042048,3169821,2507687,3994439,4000006,3921993,3790555
39,1676120726.802, 323.94, 1890, 9251, 67, 100, 57, NVIDIA GeForce RTX 3080 Ti,1676120726.757908,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3061119,4000001,1642727,1901968,3999999,3999999,4000000,1200001,4000107,4000421,1200105,1685331,4000066,4000029,4002756,1568636
40,1676120727.856, 324.45, 1920, 9251, 67, 100, 58, NVIDIA GeForce RTX 3080 Ti,1676120727.8177397,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000015,1199989,1260001,3471612,3999999,3999999,4000002,2490820,3999999,1200223,1529248,1200147,3001883,3999210,1200006,4000001
41,1676120728.897, 323.27, 1905, 9251, 67, 100, 59, NVIDIA GeForce RTX 3080 Ti,1676120728.8538654,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000103,3954923,1200016,2472497,3999999,4000000,1671740,3999999,4000000,4000015,1200134,2209888,3996474,3999863,1200070,3999980
42,1676120729.474, 326.18, 1890, 9251, 67, 100, 59, NVIDIA GeForce RTX 3080 Ti,1676120729.4414804,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3979790,3714987,1515373,1389853,3956251,4000171,1283897,3797205,3966303,3349868,3196290,3429201,3999999,3999988,1235821,1925598
43,1676120730.938, 323.20, 1935, 9251, 67, 100, 46, NVIDIA GeForce RTX 3080 Ti,1676120730.894109,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000006,1200313,1200017,3999970,3999999,4000000,1707121,1200010,3999999,1200031,3999999,4000001,3996158,3999730,2154455,1647454
44,1676120731.973, 324.85, 1890, 9251, 67, 100, 50, NVIDIA GeForce RTX 3080 Ti,1676120731.929804,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3999796,1198155,1200290,3999831,2870399,4000000,3575922,2582740,4000000,1200008,2746486,3999999,3999530,4000161,1199997,3999989
45,1676120733.001, 325.60, 1890, 9251, 67, 100, 59, NVIDIA GeForce RTX 3080 Ti,1676120732.9618783,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4001611,3999994,1200234,3996254,3999999,4000000,1200015,1200043,3999998,3999999,1199883,1200003,4000119,4000140,2532024,3779715
46,1676120733.612, 323.74, 1905, 9251, 67, 100, 60, NVIDIA GeForce RTX 3080 Ti,1676120733.5756133,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3956874,3410199,1361794,2213549,3856424,4000419,1626941,1766599,3972930,3205233,3422862,1885420,3963258,4000023,3727995,3046224
47,1676120735.025, 325.91, 1905, 9251, 67, 100, 47, NVIDIA GeForce RTX 3080 Ti,1676120734.9818788,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000084,1200174,2547258,1200007,2255889,4000000,3659815,3999427,3999999,1199998,1200004,1200138,4003324,4042968,1882815,4000000
48,1676120735.639, 326.16, 1905, 9251, 67, 100, 48, NVIDIA GeForce RTX 3080 Ti,1676120735.6036022,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3979691,1503140,1754484,2726279,3988695,4001460,2865187,3525301,3939386,2222378,3548286,3293735,4003632,3999999,1880239,3454378
49,1676120737.071, 324.20, 1905, 9251, 67, 100, 48, NVIDIA GeForce RTX 3080 Ti,1676120737.029695,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3733145,1829093,1200120,1200262,4000000,4000000,1823809,4005454,3999999,3053846,1200039,1200007,4000056,4000208,1200013,1200010
50,1676120738.103, 325.81, 1905, 9251, 67, 100, 59, NVIDIA GeForce RTX 3080 Ti,1676120738.0618038,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000281,4000075,4000001,3287463,4000005,4000000,2134462,1200037,4000000,1242564,2352474,1200007,4000008,3999205,2243706,4000002
51,1676120739.143, 326.71, 1890, 9251, 68, 100, 55, NVIDIA GeForce RTX 3080 Ti,1676120739.1018786,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000118,1343649,1200169,1200002,4000000,4000000,1879255,4000001,4000000,1200144,1200407,2609620,4000963,4000089,1200172,3999994
52,1676120740.201, 322.71, 1845, 9251, 67, 100, 48, NVIDIA GeForce RTX 3080 Ti,1676120740.1580205,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4001345,3411427,2325044,1200079,4000000,4000000,1199998,4000001,4000000,4000733,2000191,1200016,4000347,3999096,1200166,3999974
53,1676120741.235, 324.14, 1905, 9251, 68, 99, 48, NVIDIA GeForce RTX 3080 Ti,1676120741.2017524,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000248,1200090,1200086,1199981,4000001,4000000,1749851,3975505,4000000,1200185,2338666,1582047,3999285,4000262,2349194,1199995
54,1676120741.864, 323.74, 1920, 9251, 68, 100, 54, NVIDIA GeForce RTX 3080 Ti,1676120741.8223162,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3974252,3171875,2347285,2676753,4000504,4000524,2195064,3584135,3961768,1703038,3378602,2681168,4000003,4000046,2622080,1637749
55,1676120743.245, 326.40, 1920, 9251, 68, 100, 56, NVIDIA GeForce RTX 3080 Ti,1676120743.2058623,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000055,1865740,2037372,3956875,3999998,3999999,1230955,4000003,3999999,3999950,1197579,1200396,3999904,4002636,1644163,1710780
56,1676120743.901, 323.05, 1950, 9251, 68, 100, 47, NVIDIA GeForce RTX 3080 Ti,1676120743.8670988,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4003871,3606725,1884697,1463653,4000730,4000769,2366746,1971081,3982055,3193328,3403131,2735337,4001174,4000016,1629730,1608445
57,1676120745.067, 322.20, 1905, 9251, 68, 100, 44, NVIDIA GeForce RTX 3080 Ti,1676120745.029594,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3988948,3814721,1970874,2160950,4001205,4001208,2189897,3555371,3960715,1200079,1454368,1735415,4016362,3998733,4000002,1664424
58,1676120746.266, 321.38, 1890, 9251, 68, 100, 46, NVIDIA GeForce RTX 3080 Ti,1676120746.2258635,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3997269,1822241,1200023,1200056,3999999,4000000,1994109,4000002,4000000,1200060,1200079,1786438,3999650,4000176,2283490,3859008
59,1676120746.903, 322.54, 1905, 9251, 68, 100, 50, NVIDIA GeForce RTX 3080 Ti,1676120746.8682246,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3975894,3435304,1238088,3246384,4000152,4000156,1836539,3991917,3991598,3230913,1210223,2925662,4001218,3999991,1668601,2874046
60,1676120748.288, 323.46, 1875, 9251, 68, 100, 59, NVIDIA GeForce RTX 3080 Ti,1676120748.2457807,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3957274,3912118,2792642,1847239,3999999,4000000,1721567,1200228,3999998,3999903,4000000,1201220,3999189,4006905,4000000,1200095
61,1676120749.34, 325.03, 1905, 9251, 68, 100, 56, NVIDIA GeForce RTX 3080 Ti,1676120749.2977889,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000080,2533949,1201773,4000000,4000000,4000002,3070478,4000006,1267307,1200009,1642640,4000152,4000005,4000064,1816359,1440677
62,1676120750.373, 323.39, 1935, 9251, 68, 100, 51, NVIDIA GeForce RTX 3080 Ti,1676120750.3299115,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,1200190,1199996,3999848,4000000,3999999,4000000,2775820,3998013,1201205,1200290,3224410,4000360,3999971,4000089,1963986,4000000
63,1676120751.402, 323.74, 1890, 9251, 68, 100, 48, NVIDIA GeForce RTX 3080 Ti,1676120751.357993,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000001,1200006,3910523,3999994,4015156,4000000,1200087,1201450,4000005,1199898,4000010,4000051,3999943,4000264,1993905,1201466
64,1676120752.436, 323.53, 1905, 9251, 68, 100, 59, NVIDIA GeForce RTX 3080 Ti,1676120752.3939497,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4000003,1200078,1200006,4000000,3999999,4000000,1200019,1200085,3999975,3676931,1200017,4000026,4000170,4000206,1200004,1200027
65,1676120753.478, 327.84, 1905, 9251, 68, 100, 60, NVIDIA GeForce RTX 3080 Ti,1676120753.4338992,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,1796914,4001352,1200094,3999998,4000000,4002681,1410813,4011914,1200078,1353568,1200026,3891283,4000012,4000675,1200152,2497422
66,1676120754.496, 324.15, 1905, 9251, 68, 100, 57, NVIDIA GeForce RTX 3080 Ti,1676120754.4577022,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3999930,1200254,3111654,1200719,1199996,4000000,4000000,4000007,3999932,1898044,1200140,3999999,1200016,4002223,3998882,1231755
67,1676120755.109, 324.67, 1905, 9251, 68, 100, 58, NVIDIA GeForce RTX 3080 Ti,1676120755.0797842,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,3565637,1747193,2962905,2790792,3498368,4000593,3966345,2088083,2152903,3035950,2092003,3864669,3406964,4000005,3994805,1262759
68,1676120756.509, 325.00, 1920, 9251, 69, 100, 43, NVIDIA GeForce RTX 3080 Ti,1676120756.465971,44.8,4.0,0.0,51.0,0.1,0.0,0.1,0.0,4008753,1200079,1200080,3999999,1752748,4000000,3930238,4005459,4000001,1200025,1200015,1470929,1742725,4000002,3999647,4000211
