,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676147190.393, 96.61, 1710, 9251, 51, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676147190.3490849,33.7,4.0,0.0,62.1,0.0,0.0,0.1,0.0,3749500,3328021,4030553,4032679,3068639,3421380,3263870,4016812,1464339,1444179,4024126,4026636,1540104,1203484,1359176,4043445
1,1676147191.358, 110.98, 1710, 9251, 51, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676147191.3165476,33.7,4.0,0.0,62.1,0.0,0.0,0.1,0.0,1226199,1970136,4053973,4053836,1920282,1200250,1375495,4000081,1277788,2155356,2916855,4001131,1865274,1333216,1851194,4055073
2,1676147192.729, 111.47, 1710, 9251, 52, 12, 0, NVIDIA GeForce RTX 3080 Ti,1676147192.686026,33.7,4.0,0.0,62.1,0.0,0.0,0.1,0.0,1482760,1269090,4062156,4062093,4070766,1200258,1200000,1702837,1200274,1200578,4008302,4001427,3997192,1200075,1200603,1201058
3,1676147193.785, 114.87, 1710, 9251, 52, 21, 1, NVIDIA GeForce RTX 3080 Ti,1676147193.7418947,33.7,4.0,0.0,62.1,0.0,0.0,0.1,0.0,1200060,1800638,4042808,4031044,4032534,2349404,1200007,2492444,1199961,1871876,4001358,3998445,4001388,1200023,1200091,2163889
4,1676147194.828, 115.01, 1710, 9251, 52, 12, 1, NVIDIA GeForce RTX 3080 Ti,1676147194.7858987,33.6,4.0,0.0,62.1,0.0,0.0,0.1,0.0,1200010,2333593,4012843,4016440,4036918,1200062,1200095,2230137,1617202,1200097,3996896,4003411,4000337,4085927,1200225,2435580
5,1676147195.886, 117.18, 1710, 9251, 53, 13, 1, NVIDIA GeForce RTX 3080 Ti,1676147195.833692,33.6,4.0,0.0,62.1,0.0,0.0,0.1,0.0,1200072,1200001,1200177,4042212,4064874,1200017,1200033,2458155,2111257,1200082,1789517,3999909,4000227,4000077,4000012,3999999
6,1676147196.944, 115.73, 1710, 9251, 53, 20, 1, NVIDIA GeForce RTX 3080 Ti,1676147196.905718,33.6,4.0,0.0,62.1,0.0,0.0,0.1,0.0,4015434,1200630,1997220,4000000,1202632,4000259,1200134,3999569,3749345,4005026,1638326,3999866,1200001,1618082,1200003,4013040
7,1676147197.985, 118.24, 1710, 9251, 53, 32, 2, NVIDIA GeForce RTX 3080 Ti,1676147197.941876,33.6,4.0,0.0,62.1,0.0,0.0,0.1,0.0,1922597,3999966,3998364,4052918,1200160,2338981,1200092,2366194,1201760,4042216,4037950,4016688,1200175,1277917,1200120,3618767
8,1676147199.054, 171.73, 1980, 9251, 56, 75, 24, NVIDIA GeForce RTX 3080 Ti,1676147198.9739208,33.6,4.0,0.0,62.1,0.0,0.0,0.1,0.0,1200054,4029608,4041872,4051889,1200103,1200377,1200100,2906222,3222745,1200146,4036524,4004464,1200087,1201253,1200626,2324941
9,1676147200.094, 309.72, 1935, 9251, 61, 100, 46, NVIDIA GeForce RTX 3080 Ti,1676147200.049865,33.6,4.0,0.0,62.1,0.0,0.0,0.1,0.0,1200154,3999728,4032506,3999999,1199982,4042978,1200082,1410408,1930769,4000000,3999998,4000351,1199997,4010264,1200171,1833074
10,1676147201.132, 326.24, 1950, 9251, 62, 100, 52, NVIDIA GeForce RTX 3080 Ti,1676147201.0898643,33.6,4.0,0.0,62.1,0.0,0.0,0.1,0.0,3478903,3998804,4008812,4000584,1193085,3998930,2611087,2584552,1201308,3341833,4000747,4002557,1813993,3999999,1200031,1837288
11,1676147202.177, 327.78, 1965, 9251, 62, 100, 45, NVIDIA GeForce RTX 3080 Ti,1676147202.1338875,33.6,4.0,0.0,62.1,0.0,0.0,0.1,0.0,2129373,3666663,1300162,4001197,4075599,3999998,1200068,1200123,4000193,4015318,1803598,3999998,4000000,4000767,2570856,1200159
12,1676147203.207, 328.26, 1875, 9251, 63, 100, 39, NVIDIA GeForce RTX 3080 Ti,1676147203.1659303,33.6,4.0,0.0,62.1,0.0,0.0,0.1,0.0,1248590,3999695,2076210,4000000,4015804,3999969,2381606,1673856,1200134,3999999,1201703,4000003,4015655,4000000,2230618,1200014
13,1676147204.241, 323.42, 1920, 9251, 63, 100, 43, NVIDIA GeForce RTX 3080 Ti,1676147204.2017188,33.6,4.0,0.0,62.1,0.0,0.0,0.1,0.0,1200053,4182617,4009673,4005766,1200024,3995595,1850270,2484067,1200000,3999991,3999895,3996760,1526457,4014384,1200292,1975839
