,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676173728.343, 110.96, 1710, 9251, 51, 6, 0, NVIDIA GeForce RTX 3080 Ti,1676173728.3046765,29.4,4.0,0.0,66.5,0.0,0.0,0.2,0.0,2674110,2003026,4030186,1627333,1302785,1468903,4036742,4008655,1241438,1632327,4010535,1868197,1345128,1752001,3863665,4044738
1,1676173729.73, 111.23, 1710, 9251, 52, 13, 0, NVIDIA GeForce RTX 3080 Ti,1676173729.6859417,29.4,4.0,0.0,66.5,0.0,0.0,0.2,0.0,4068124,1200265,4068688,1945305,1200907,4066427,1200127,1200063,4069776,1201092,4001132,2135820,2236290,4085611,1201010,2207508
2,1676173730.77, 111.81, 1710, 9251, 52, 11, 0, NVIDIA GeForce RTX 3080 Ti,1676173730.7259417,29.4,4.0,0.0,66.5,0.0,0.0,0.2,0.0,4037226,1200216,4068568,2122684,1982343,4046440,1200066,1200089,4062173,1201202,4085044,1943968,2234152,4067839,1200143,1821427
3,1676173731.809, 112.98, 1710, 9251, 52, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676173731.7659237,29.4,4.0,0.0,66.5,0.0,0.0,0.2,0.0,4092846,3721345,4029200,1200049,1200467,4033973,1200163,2027001,3999794,3284793,4003396,4022255,1200015,4000025,1200240,1200086
4,1676173732.858, 113.01, 1710, 9251, 52, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676173732.8139315,29.4,4.0,0.0,66.5,0.0,0.0,0.2,0.0,1200109,3514111,4013137,4088046,1200005,4042307,1905878,1200051,1200055,3380791,4000553,4019523,1200181,4003544,1200711,1200332
5,1676173733.901, 115.23, 1710, 9251, 53, 11, 0, NVIDIA GeForce RTX 3080 Ti,1676173733.8580039,29.4,4.0,0.0,66.5,0.0,0.0,0.2,0.0,4000000,4000001,4000011,1925938,4000001,4027171,1200005,4094136,1809422,3028246,2272536,1556879,4000272,4023360,1200619,4000000
6,1676173734.925, 114.31, 1710, 9251, 53, 22, 1, NVIDIA GeForce RTX 3080 Ti,1676173734.8819072,29.4,4.0,0.0,66.5,0.0,0.0,0.2,0.0,1200051,2886648,4024996,3082244,2769994,4006952,3531286,1200006,1200056,1528915,4002146,2391886,3999891,4053928,4025866,1200263
7,1676173735.985, 134.98, 1980, 9251, 57, 44, 7, NVIDIA GeForce RTX 3080 Ti,1676173735.9419284,29.4,4.0,0.0,66.5,0.0,0.0,0.2,0.0,1200160,1200086,4022146,2158730,4001229,4045304,3585564,2318429,1201314,1200738,4001805,1200020,4029259,4011902,3918639,1200016
8,1676173737.013, 290.46, 1935, 9251, 61, 100, 54, NVIDIA GeForce RTX 3080 Ti,1676173736.9697635,29.4,4.0,0.0,66.5,0.0,0.0,0.2,0.0,1200031,2328669,3357812,1200157,4000000,4000000,2844765,4000074,4000092,1200015,4151747,1200115,1868711,3999366,3103364,4018778
9,1676173738.066, 322.54, 1875, 9251, 61, 100, 47, NVIDIA GeForce RTX 3080 Ti,1676173738.0219755,29.4,4.0,0.0,66.5,0.0,0.0,0.2,0.0,4000028,1753604,4000824,1200016,1200100,4008020,3473791,3999868,4004336,1200009,4000017,1200006,1322548,4001290,4000001,4000000
