,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676231550.597, 95.23, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676231550.5522199,25.2,4.0,0.0,70.6,0.0,0.0,0.2,0.0,1406211,4008766,4008774,1948839,1433566,4001942,1896592,1383215,1495476,4004114,4004777,1935064,1345475,4009219,1550432,1236362
1,1676231551.97, 110.43, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676231551.929785,25.2,4.0,0.0,70.6,0.0,0.0,0.2,0.0,1629975,3999999,4000000,1218401,4000000,4003672,2959799,1200099,1365839,4000000,4000739,1613048,4002852,4000000,1201166,1200166
2,1676231552.893, 110.36, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676231552.8519247,25.2,4.0,0.0,70.6,0.0,0.0,0.2,0.0,1212303,4018124,4019701,1200007,1200007,4008152,1789561,2944861,1200121,4004912,3999342,2926142,1489473,4008873,1363412,2762591
3,1676231553.656, 110.27, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676231553.6079957,25.2,4.0,0.0,70.6,0.0,0.0,0.2,0.0,2580354,4008325,4008019,3065675,3169103,4000033,3456526,3936959,3648739,4000000,4000000,3803044,3631264,4006416,3999999,3999999
4,1676231554.579, 112.56, 1710, 9251, 53, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676231554.5481877,25.2,4.0,0.0,70.6,0.0,0.0,0.2,0.0,3860656,3953679,4018964,3956109,3605890,4002614,3763738,3897768,3795250,4006676,3999999,3996719,3544761,4015714,2892363,3790917
5,1676231555.83, 110.79, 1710, 9251, 53, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676231555.7897332,25.2,4.0,0.0,70.6,0.0,0.0,0.2,0.0,1276743,4028654,4028972,3965241,1204764,4030095,1496023,1561684,1954375,4001178,1200045,4026037,4025608,4029076,1200346,1200289
6,1676231557.01, 110.66, 1710, 9251, 53, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676231556.9697254,25.2,4.0,0.0,70.6,0.0,0.0,0.2,0.0,1200069,4030673,1200144,4045942,3957275,4000485,1200069,1200076,1200049,4002780,1200245,4047445,4037417,4033162,1214543,1777086
7,1676231558.044, 116.03, 1710, 9251, 53, 14, 3, NVIDIA GeForce RTX 3080 Ti,1676231558.0097182,25.2,4.0,0.0,70.6,0.0,0.0,0.2,0.0,2148184,4047359,1200060,4014758,3999667,4006224,1199935,1200022,1917790,3996039,1200270,4013482,4020375,4024390,1513959,1200158
8,1676231559.034, 120.73, 1710, 9251, 53, 15, 3, NVIDIA GeForce RTX 3080 Ti,1676231559.0000412,25.2,4.0,0.0,70.6,0.0,0.0,0.2,0.0,3322487,4000000,3999837,3999886,4000150,3999999,2286195,1562437,3999218,3999911,4000001,4000000,3999989,4000000,4000006,1852187
9,1676231559.648, 120.96, 1710, 9251, 53, 25, 3, NVIDIA GeForce RTX 3080 Ti,1676231559.615343,25.2,4.0,0.0,70.6,0.0,0.0,0.2,0.0,3389061,3957984,2896188,3999999,4000000,4000002,3529461,3784089,3308851,4000000,3073598,4000000,3857905,4000000,3846022,3972060
