,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676177659.716, 111.34, 1710, 9251, 52, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177659.675756,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,3265278,3904427,4000005,4000016,4047654,1970050,1575263,1416171,1320700,1238430,4046750,4046645,4045890,2052460,1616460,1394639
1,1676177661.052, 110.97, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676177661.0137727,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1427991,1208569,4097045,3995274,3998142,1200481,1200028,1200476,1199813,1200876,4069549,4075266,4067773,1824414,1200071,1200127
2,1676177662.077, 110.91, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676177662.037701,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1200287,1200139,4046869,3999222,4051081,1200217,1200011,1200802,1200053,1200106,4068401,4070137,4055540,2433207,1200805,1200105
3,1676177663.125, 112.74, 1710, 9251, 53, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177663.081852,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,3434918,1306198,4006869,3074287,1907446,1200055,4002380,4043122,1200017,1200329,4021932,1200123,2174200,3358432,4002441,4002133
4,1676177663.892, 114.86, 1710, 9251, 53, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177663.8521647,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,2599928,2267997,4023092,1200028,2230304,3760682,3807623,4017280,3389463,1203517,4011469,1215647,1986553,2418464,2536057,4004409
5,1676177664.85, 112.83, 1710, 9251, 53, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177664.8105395,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,4021558,1278447,4015757,1211953,1567864,3294623,1538667,4015383,3979304,1473684,4014827,1473784,1270496,3507993,1506523,3999973
6,1676177665.791, 113.02, 1710, 9251, 53, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676177665.7486684,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,3934163,1389368,4015133,1259626,1719190,3344205,2339300,4014784,3983390,2250349,4016496,1379048,1485694,2130667,2501523,4000012
7,1676177666.758, 112.68, 1710, 9251, 53, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676177666.724636,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,4021524,1939413,4023577,3339185,1200124,1210545,2006598,4023818,3762321,1710905,4017006,1823367,1200014,1200724,2179228,3997638
8,1676177668.17, 113.56, 1710, 9251, 53, 17, 1, NVIDIA GeForce RTX 3080 Ti,1676177668.1261728,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,4000011,2058727,4001317,2332327,1200117,1200113,1354084,4010662,4000002,2154344,4002520,3595738,3999999,1200012,1200222,3998536
9,1676177669.213, 114.47, 1710, 9251, 53, 16, 1, NVIDIA GeForce RTX 3080 Ti,1676177669.1699355,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,2737929,1742009,4002568,4010826,4001552,1200015,3082168,4011723,1729464,1200015,3997772,4077126,3999999,2398964,4003500,3999985
10,1676177670.272, 156.39, 1995, 9251, 55, 67, 14, NVIDIA GeForce RTX 3080 Ti,1676177670.2298472,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1362614,1200006,4000000,1200180,3998514,2607186,4002124,4006278,1536958,4002557,4000656,1200013,1200183,3636588,4045531,4072978
11,1676177671.087, 158.49, 1995, 9251, 54, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676177671.0485277,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,2481530,1200015,4041842,1201472,3133371,1200146,3999922,4026424,1541704,3480046,3999994,1200012,2597071,1865466,3955435,4000013
12,1676177671.893, 139.91, 1710, 9251, 54, 6, 0, NVIDIA GeForce RTX 3080 Ti,1676177671.856974,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1517976,1357660,4017012,1200076,3358453,1395580,3934364,4015998,1881690,1449363,4000001,1200013,3427233,1542584,3859319,4000026
13,1676177673.308, 162.59, 1995, 9251, 54, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177673.2658763,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,3461862,4023946,1200001,1200263,1200073,4032419,2363126,4036578,3999491,4000737,1200109,1200294,1682662,4012890,1201038,3998905
14,1676177674.358, 140.45, 1995, 9251, 54, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676177674.3139071,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,3806864,4022457,1200011,1200015,1200108,4041824,2165932,4022235,3455309,4000151,1586437,2203213,1200053,4015693,1201752,4007433
15,1676177675.393, 117.64, 1710, 9251, 53, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676177675.3499398,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,2161779,4014162,1200064,3302294,1200008,4017875,1200084,4038272,1201963,4001266,1200013,3345710,1800822,4083284,1200433,3999394
16,1676177676.418, 112.18, 1710, 9251, 53, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177676.3739634,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1207677,4016780,1200447,2483122,3639854,4006011,1957053,4024475,2039759,4028706,1200471,2161839,1200449,3994739,1200165,4001984
17,1676177677.457, 148.07, 1995, 9251, 54, 31, 17, NVIDIA GeForce RTX 3080 Ti,1676177677.413901,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1207023,4000003,1200019,2120888,3729614,4000000,1200084,4023974,1200419,3999936,1201241,1712853,2849201,4001726,1200586,4073560
18,1676177678.521, 140.21, 1995, 9251, 54, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676177678.4779012,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1601136,1783486,1989189,4002168,4010944,4027794,1200092,4019543,1199978,1784898,2073763,1206733,4016803,4000627,2455006,3995963
19,1676177679.574, 122.54, 1710, 9251, 53, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177679.5298493,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1431791,1200006,1200090,1841827,4000133,4033094,3162714,4047442,1200176,1200029,1200001,1199296,4032714,4002490,3036740,3999339
20,1676177680.616, 112.04, 1710, 9251, 53, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177680.5738554,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,4009872,1201094,1201521,1200019,4011493,4031334,2349986,4011912,3234887,1200161,1200085,1200178,1200013,3999527,2483459,4003036
21,1676177681.657, 143.21, 1995, 9251, 55, 96, 27, NVIDIA GeForce RTX 3080 Ti,1676177681.6138966,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,4022273,1199995,2311004,1200058,2923125,3999999,4000000,4000000,4000852,1200064,4000013,1947614,3520765,3996313,1358115,3999104
22,1676177682.562, 159.43, 1995, 9251, 54, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676177682.5264678,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,3562500,4041970,1200133,1200507,1200227,4034351,3989384,4018854,1958870,4001145,1200013,1200156,1310599,4017508,3145250,4001909
23,1676177683.272, 139.68, 1995, 9251, 54, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177683.2379441,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1546776,3819412,1283419,1200083,1214993,4013506,2887812,4013594,3120910,3458314,1200026,1200026,1227079,4014249,2521727,3999917
24,1676177684.714, 112.04, 1710, 9251, 53, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177684.6698184,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1359506,4029855,4000577,1200010,1444995,4026532,1200058,4004759,1200051,1816498,4037225,1200040,4063238,4006718,1200120,3998714
25,1676177685.757, 112.09, 1710, 9251, 52, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676177685.7138278,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1200056,1200078,3049466,1200014,4019543,4020537,1199162,4042480,1794469,1200184,3864925,1200097,4003203,3998890,1200097,3996402
26,1676177686.801, 152.53, 1995, 9251, 54, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177686.757838,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1200081,1200035,4014670,2514015,2897467,4037543,3563586,4017930,1200016,1200179,1647122,1201036,4040401,3998866,3455091,3999925
27,1676177687.734, 140.40, 1995, 9251, 54, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676177687.7043366,28.9,3.9,0.0,66.9,0.0,0.0,0.2,0.0,1200053,4000000,1634932,1200569,4008571,4002489,1200010,4000000,3892294,4000588,1909958,1200092,4001452,4003548,2038531,4001623
