,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676219687.36, 82.57, 1710, 9251, 51, 12, 0, NVIDIA GeForce RTX 3080 Ti,1676219687.3153944,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,1211485,4047792,4006542,1546818,2003277,1349091,1348952,4033025,1260593,3999981,4020348,1238562,1847364,1207477,1324208,4024049
1,1676219688.701, 111.23, 1710, 9251, 52, 2, 0, NVIDIA GeForce RTX 3080 Ti,1676219688.6579072,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,1200079,4052901,4072023,1201707,1662807,1200973,1200009,4069424,1295720,4082595,4002874,1260694,1200031,1200098,1200192,4059625
2,1676219689.753, 110.90, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676219689.709859,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,4040849,4052702,4046280,1200094,1200052,2134630,1920615,4075415,4000192,4004288,3999991,1199971,1875817,1200103,1200014,4060570
3,1676219690.801, 110.98, 1710, 9251, 53, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676219690.7578764,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,4036748,4071216,2237006,1200127,1200126,1200182,1200119,4072185,4084119,3997620,1199890,1200192,1200344,1200119,1200101,4062565
4,1676219691.886, 113.19, 1710, 9251, 52, 2, 0, NVIDIA GeForce RTX 3080 Ti,1676219691.841926,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,1200175,4058938,1910524,4067533,1200170,1200176,1200076,4062280,2067032,3998019,2216937,4003062,2171848,1200032,1200093,4034218
5,1676219692.936, 113.30, 1710, 9251, 52, 8, 1, NVIDIA GeForce RTX 3080 Ti,1676219692.8938487,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,4016276,4029264,1811658,4033111,1899124,1744683,1200073,4002154,4001643,4000484,1647727,3999026,1200189,1785080,2274106,4038446
6,1676219693.984, 114.88, 1710, 9251, 53, 4, 1, NVIDIA GeForce RTX 3080 Ti,1676219693.9418542,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,3999999,4031365,1200265,4027196,1200045,1691665,1200105,3994243,3998684,4004642,1201756,4001904,1200101,1200273,1198642,4043217
7,1676219695.041, 120.13, 1710, 9251, 54, 7, 3, NVIDIA GeForce RTX 3080 Ti,1676219694.9978883,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,1200211,4059908,1201648,4034701,2050979,1200097,1200043,4002260,1200509,4000826,1200315,4000779,1559743,1200110,1200162,4034762
8,1676219696.113, 128.65, 1890, 9251, 53, 2, 1, NVIDIA GeForce RTX 3080 Ti,1676219696.0699344,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,1200097,4054018,1200071,4054492,1200160,1200159,1200230,4000438,1200115,3999184,1200652,4033593,1200201,1199916,1202966,4064843
9,1676219697.174, 119.66, 1710, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676219697.125969,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,1200184,4025492,1201463,4048979,1201228,1824372,1200136,3997150,1200268,3997349,1200130,3999430,1200158,1200238,1200102,4045210
10,1676219698.214, 112.57, 1710, 9251, 53, 5, 2, NVIDIA GeForce RTX 3080 Ti,1676219698.1699529,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,1200053,4055536,1200140,4051110,1200710,1200241,1880350,4004263,1201070,4001589,1201144,3993287,1200162,1200098,1200114,4051053
11,1676219699.265, 140.41, 1995, 9251, 54, 2, 1, NVIDIA GeForce RTX 3080 Ti,1676219699.221885,25.9,4.0,0.0,69.9,0.0,0.0,0.2,0.0,1200170,4066219,1200054,4061785,1200913,2299393,1208300,4071328,1202395,3996103,1201065,4001429,1200159,1200102,1200100,4070890
