,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676233279.072, 71.86, 1710, 9251, 51, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676233279.0273728,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,3887244,3696485,4038409,4039235,2939776,3823282,4038582,3056084,2140676,2969747,4000414,4000557,2714247,2790371,4000194,3049854
1,1676233280.465, 110.74, 1710, 9251, 52, 1, 0, NVIDIA GeForce RTX 3080 Ti,1676233280.4219253,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1200839,1200141,4056847,4058457,1200000,1200133,4063195,1200249,1200166,2213152,4000185,1200225,2135977,1200009,4000716,4065011
2,1676233281.521, 110.14, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676233281.4778538,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1200198,2042087,4037607,1200087,1200094,1199349,4064406,4000867,1200182,1201347,4005515,1200054,1200219,1200844,4003198,4067946
3,1676233282.176, 110.21, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676233282.1324434,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,4000000,4000000,3999999,4000000,3999999,4000000,3999999,4000000,3998246,3991027,3999999,3999866,3999610,3997619,4016618,4018507
4,1676233283.567, 110.58, 1710, 9251, 52, 20, 0, NVIDIA GeForce RTX 3080 Ti,1676233283.5218294,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1204664,1200108,4056872,1200218,1200802,1200504,4039755,3988032,1200347,1200125,4004612,1200092,1200104,1200267,4045438,4033258
5,1676233284.617, 111.41, 1710, 9251, 52, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676233284.5738962,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1200085,1961572,4027850,4029656,1969371,1200173,4088255,4036704,1200519,2400083,4000243,3996328,1656851,1200816,4032494,3996767
6,1676233285.666, 116.95, 1710, 9251, 53, 16, 1, NVIDIA GeForce RTX 3080 Ti,1676233285.6219194,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1200047,1200093,4039028,4023311,1200062,1200874,4000169,4042695,1200108,1201032,3998807,3999954,1201213,2376787,4000000,4000733
7,1676233286.704, 151.26, 1995, 9251, 56, 12, 3, NVIDIA GeForce RTX 3080 Ti,1676233286.6618783,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1200076,1200057,4044138,1200032,1200013,1200000,1200108,4062810,1200038,4094336,4008135,1200121,1199977,1200032,2243712,3999023
8,1676233287.789, 172.47, 1980, 9251, 55, 12, 3, NVIDIA GeForce RTX 3080 Ti,1676233287.7459295,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1576713,4053588,4047884,1200092,2397009,1200007,1200123,4047254,2222075,3998854,3996616,1200312,1200291,1200021,1200160,4001138
9,1676233288.838, 146.67, 1710, 9251, 54, 14, 3, NVIDIA GeForce RTX 3080 Ti,1676233288.7938943,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,2328375,4020971,4035531,1200100,1200431,1200001,1200019,4052093,1200011,3999366,3998461,2279568,1200077,1593953,1200146,3997989
10,1676233289.886, 124.99, 1710, 9251, 55, 14, 3, NVIDIA GeForce RTX 3080 Ti,1676233289.841971,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,2327487,4041151,4032167,1677285,1200018,1322056,1200039,4045282,1837415,4005446,4001919,1732943,1200146,1574104,1725430,4002107
11,1676233290.928, 159.63, 1980, 9251, 55, 12, 3, NVIDIA GeForce RTX 3080 Ti,1676233290.885892,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,2789708,4029507,4040075,1200103,2173005,1201768,1204771,4066094,1741851,4002664,4074239,1200018,1200951,1200381,2064655,4003317
12,1676233291.997, 149.84, 1710, 9251, 54, 14, 3, NVIDIA GeForce RTX 3080 Ti,1676233291.9539466,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1976077,4056872,4044017,1200782,1889429,1200100,1243407,4060660,1200167,3995606,3998569,1200278,1863696,1200015,3414707,4000116
13,1676233293.043, 132.78, 1725, 9251, 54, 40, 10, NVIDIA GeForce RTX 3080 Ti,1676233292.997816,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,2280268,4021046,4044756,1947546,1888871,1200413,1264627,4043052,1792839,4000460,3999171,2271862,2148994,1200101,1690893,3999044
14,1676233294.082, 137.50, 1845, 9251, 54, 13, 3, NVIDIA GeForce RTX 3080 Ti,1676233294.0379338,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,3715929,4050334,4047282,1200170,1200362,1200523,1344905,4055340,1200131,4000452,3996385,1920619,1200550,1200100,1481456,3999859
15,1676233295.129, 130.22, 1710, 9251, 53, 14, 3, NVIDIA GeForce RTX 3080 Ti,1676233295.0859063,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1200068,4038509,4033839,2188542,1926389,1200242,2662628,4070949,1331502,3998924,4002200,1665229,1199864,1200159,1268603,3996121
16,1676233296.19, 132.51, 1980, 9251, 54, 69, 24, NVIDIA GeForce RTX 3080 Ti,1676233296.1458843,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1218943,4044354,4041391,1958948,1200030,1200083,1208125,4050752,2362338,3998004,4001501,1583362,4024794,1200057,1330687,4000379
17,1676233297.233, 155.44, 1980, 9251, 54, 13, 3, NVIDIA GeForce RTX 3080 Ti,1676233297.1898193,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1200166,4060259,4051225,2363825,1200172,1200265,1210301,4066147,2176999,3999922,4002622,2418545,1200279,1201119,1683796,3999875
18,1676233298.281, 146.47, 1710, 9251, 53, 15, 3, NVIDIA GeForce RTX 3080 Ti,1676233298.2379227,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1246616,4057195,4068571,2042220,1201713,1200268,1200131,4062856,1200243,3996883,4002815,1200257,1650662,1600612,2099485,3999368
19,1676233299.345, 132.37, 1980, 9251, 54, 52, 18, NVIDIA GeForce RTX 3080 Ti,1676233299.3020082,25.1,4.0,0.0,70.7,0.0,0.0,0.2,0.0,1417359,4048553,4050222,1607971,1200143,1200948,1200167,4053741,1403452,4000155,4001008,1749314,3998219,2567138,1200155,4000957
