,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676179399.872, 109.88, 1710, 9251, 51, 10, 0, NVIDIA GeForce RTX 3080 Ti,1676179399.8277187,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1200093,3418065,1211690,4040921,4000390,1906618,1204212,1897247,1229407,4028795,1233105,4048128,4040013,1559111,1940726,1728407
1,1676179400.827, 110.88, 1710, 9251, 52, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676179400.7908063,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1392216,4002195,1212981,3911762,4005313,1238805,1755625,2012597,1304605,4049128,3025689,2192038,4049492,2048469,1449683,1643156
2,1676179402.25, 110.52, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676179402.205842,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1467075,1200160,4042157,1200228,3996979,1200168,1200007,4000773,1678745,1200537,4056580,1200128,4061000,1200440,1201513,4054995
3,1676179403.293, 111.38, 1710, 9251, 52, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676179403.2536576,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1464024,2222160,3999795,1969485,4000000,4065101,1200056,3966017,1200095,1200417,4006186,1200141,4032991,1200083,2852738,4039562
4,1676179404.346, 111.91, 1710, 9251, 52, 18, 1, NVIDIA GeForce RTX 3080 Ti,1676179404.3019774,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1715345,3327409,3999809,1201201,4000046,1200011,1850566,3996303,1200151,3595841,4000000,1200009,4000000,1200245,2216374,4007140
5,1676179405.402, 114.95, 1710, 9251, 53, 25, 1, NVIDIA GeForce RTX 3080 Ti,1676179405.3617427,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,4012992,2404113,3999939,3831963,4000262,2031318,4000004,4003045,4001859,1200036,2739518,3981157,4002854,1200167,1200094,4000535
6,1676179406.45, 117.74, 1710, 9251, 53, 39, 7, NVIDIA GeForce RTX 3080 Ti,1676179406.4096136,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,4003826,1946915,4011160,1200012,4058710,1276373,3237595,3999659,4038729,1200004,3999994,1200196,4000755,4000091,4097212,4000000
7,1676179407.486, 159.46, 1995, 9251, 55, 56, 21, NVIDIA GeForce RTX 3080 Ti,1676179407.4419248,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1608751,4071627,1446041,1200090,4004506,1200006,1200011,3999564,1200279,3815067,3999771,1200058,4000000,1744232,1200107,4021245
8,1676179408.534, 141.39, 1995, 9251, 54, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676179408.4898322,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,3156483,1200011,1200110,4012740,3999849,1200013,1956122,4079924,1200014,3251157,1200154,3999782,4021911,3703122,1200000,4007631
9,1676179409.586, 131.09, 1710, 9251, 53, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676179409.541906,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,2153024,1199988,1201635,4026668,4000176,1836556,3391649,4032126,1200123,1200042,1923197,3999880,4022331,2091846,4032375,4028007
10,1676179410.641, 126.17, 1995, 9251, 54, 54, 18, NVIDIA GeForce RTX 3080 Ti,1676179410.5978148,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,2134829,1200322,1200120,4020813,4002412,1200015,3117379,4083415,1851896,1200083,1200053,4000190,4000000,1200270,4038684,4022796
11,1676179411.689, 141.02, 1995, 9251, 54, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676179411.645926,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,2550923,1199972,1201016,4005527,4000776,1200083,2513140,4093049,2696536,1200004,2129368,4002695,4024498,1200250,1200338,4028798
12,1676179412.735, 130.84, 1710, 9251, 53, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676179412.6899292,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,3034960,1200113,1740211,4026674,4090277,1793403,1200093,4001422,3940714,1200019,1200092,4002314,4014417,1855618,1200602,4023169
13,1676179413.783, 129.01, 1995, 9251, 54, 15, 5, NVIDIA GeForce RTX 3080 Ti,1676179413.74189,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,3306582,1200146,1200127,4004057,3999991,1865550,1200051,4000180,3959163,1200005,1789094,3999990,4009468,1200044,1199999,4032128
14,1676179414.845, 141.55, 1995, 9251, 54, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676179414.8018389,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,4030860,2157026,2028790,1200139,4000016,1200014,4037416,4000697,3382942,1611752,1200159,1200013,4030268,3617148,1200290,4023538
15,1676179415.889, 129.00, 1710, 9251, 53, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676179415.8459294,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1200019,3999963,1986190,1201334,4001949,3884792,1200006,4001652,2252702,4028587,1200065,1200012,4013453,2505462,1200171,4042914
16,1676179416.923, 126.20, 1995, 9251, 54, 63, 21, NVIDIA GeForce RTX 3080 Ti,1676179416.8856301,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,3229166,1200032,1200066,4027905,3997988,1468537,2848996,3999982,1256581,2522480,3345885,4036151,4020289,1200057,1200008,4016853
17,1676179417.572, 144.72, 1995, 9251, 54, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676179417.5278316,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1896013,1402516,3139591,3962450,3999924,2372939,2831059,4003173,2200754,1410406,3436021,3999079,4011180,1806632,1202123,4009029
18,1676179418.965, 131.53, 1710, 9251, 53, 10, 0, NVIDIA GeForce RTX 3080 Ti,1676179418.921929,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,4000005,1200246,3895700,1200001,4019665,1934825,1200033,4003847,3422087,1200140,4002772,1200163,4001150,2140235,1200009,4021895
19,1676179420.035, 126.23, 1995, 9251, 54, 48, 16, NVIDIA GeForce RTX 3080 Ti,1676179419.9938905,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,4017054,1200128,4031991,2003311,4000055,1913008,1200069,4002015,3670616,1685066,4002211,1784038,4025432,1200178,1200541,4009752
20,1676179421.076, 140.35, 1995, 9251, 54, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676179421.0338542,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,3106875,2282706,4036812,2995645,3999500,3134488,2581551,4000875,1200106,1200009,4000903,1200139,4032776,3992682,1200140,4035651
21,1676179422.125, 130.64, 1710, 9251, 53, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676179422.0818841,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,2090391,1200362,1812021,1200005,4004556,3164442,1200103,4002066,1199997,1200051,4089642,1569923,4017274,1683490,3056926,4024714
22,1676179423.168, 128.94, 1995, 9251, 54, 21, 8, NVIDIA GeForce RTX 3080 Ti,1676179423.1258814,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1200028,1200080,4044701,2350012,3999234,1200002,3956259,4002102,1926120,1200003,4000061,3943720,4009069,1200213,2987086,4014131
23,1676179424.238, 141.34, 1995, 9251, 53, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676179424.1939769,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1200103,3817205,3519906,1201355,4005065,1200005,2186671,4001474,1201701,4039408,1961477,1200273,4032554,3967589,1200221,4027893
24,1676179425.291, 128.76, 1710, 9251, 52, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676179425.2459698,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,2175851,4003938,1758351,1200008,4000025,2469735,1200024,4012204,2577660,4031397,1771007,1200548,4033629,3852377,1200243,4053845
25,1676179426.344, 128.76, 1995, 9251, 54, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676179426.3019881,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1200025,1200009,4031616,1201022,3996002,2689655,1200024,4262319,1200007,3852262,3993337,4042599,4019152,2941030,1200140,1200297
26,1676179427.391, 141.61, 1995, 9251, 54, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676179427.3496783,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1200169,1200076,4013846,4006424,3998054,1200073,3923567,2212438,1200000,1200027,4002367,4004331,4017473,1864318,3123152,1200180
27,1676179428.224, 133.66, 1710, 9251, 53, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676179428.181754,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1200261,1200935,4038695,4035534,4002065,1200118,2751426,1457943,1200013,1723563,3874981,4000628,4012595,2518506,3374670,1683514
28,1676179429.107, 112.99, 1710, 9251, 52, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676179429.0642767,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1200412,1565804,4016846,4016153,4000006,3176100,1400606,1938376,1220352,1620543,3941272,4001014,4014743,3298171,1940114,1981062
29,1676179430.426, 140.92, 1995, 9251, 53, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676179430.3819516,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1201950,2063960,4036974,4038439,3999596,3462326,1200142,1720660,1200000,1200277,4091039,4044034,4047695,3982749,1200099,1782255
30,1676179431.469, 133.39, 1710, 9251, 52, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676179431.4258654,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,2643428,1200422,4047863,4048123,3997086,3683926,1200164,1200255,1912743,1200179,4004267,4003590,4037234,3569730,1945652,1201265
31,1676179432.504, 125.65, 1995, 9251, 53, 62, 21, NVIDIA GeForce RTX 3080 Ti,1676179432.461859,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1426589,1200218,4025087,4015931,3999456,1200003,1200111,1200340,3037994,4044496,4000033,4001626,4012776,1200254,2452799,1200157
32,1676179433.542, 140.32, 1995, 9251, 53, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676179433.4980433,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,1200042,2169448,1200900,4056869,4003061,1200068,3773996,4000245,4023830,1198527,1200017,4005130,4018646,1200063,2277511,2394887
33,1676179434.59, 130.77, 1710, 9251, 52, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676179434.5459177,28.7,3.9,0.0,67.2,0.0,0.0,0.2,0.0,4007908,1200011,1200007,4042402,4023515,1755665,1954693,3507787,4007582,1200076,1199995,4000299,4038941,1895882,1199990,3452857
