,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676192752.984, 89.19, 1710, 9251, 51, 10, 0, NVIDIA GeForce RTX 3080 Ti,1676192752.9384897,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,4008307,3968706,3972625,3459934,3464402,4017591,4019181,3681832,4000010,3950969,3641240,3847510,3608560,4000210,3999999,3500919
1,1676192754.317, 111.21, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676192754.2739592,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,4070373,1200296,1201329,1200209,1200362,4053764,4068999,4000321,1228918,1200010,1900086,1200392,4001288,4071885,4000342,1200055
2,1676192755.365, 110.84, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676192755.3220313,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,1200366,2028519,1200320,1200073,4070940,3999717,4056268,1200140,1200115,1814533,1200633,1200022,3996687,4068495,3998071,1200040
3,1676192756.411, 116.36, 1710, 9251, 53, 18, 4, NVIDIA GeForce RTX 3080 Ti,1676192756.365956,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,1200082,1687982,2332917,1200108,4066854,4001054,4054876,3643507,1201305,1752232,1200209,2541482,4047441,4050395,4003131,3218366
4,1676192757.451, 126.54, 1710, 9251, 53, 26, 5, NVIDIA GeForce RTX 3080 Ti,1676192757.4059057,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,1200115,1200196,1199955,4005291,1674059,3998147,4029229,3703933,1200027,1201032,3999932,4008680,1200003,4021910,2162442,3999989
5,1676192758.493, 127.86, 1710, 9251, 53, 37, 5, NVIDIA GeForce RTX 3080 Ti,1676192758.449929,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,1200070,1738677,4002421,4000214,2067190,3999893,1200105,4000000,1200024,1960851,3996398,4000000,2950721,4000001,2150749,3996772
6,1676192759.549, 161.97, 1995, 9251, 56, 58, 19, NVIDIA GeForce RTX 3080 Ti,1676192759.5058603,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,1743154,1200115,4011595,4000012,2533278,4001988,2473501,3999999,1200158,1726261,1333313,4000002,4048988,4013081,2699963,3999936
7,1676192760.582, 186.21, 1980, 9251, 55, 17, 4, NVIDIA GeForce RTX 3080 Ti,1676192760.541867,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,1200007,1217443,2033865,3997112,1200012,3994717,2576292,4000000,3007347,1712196,1200038,4032809,1200005,4009744,1200052,3999682
8,1676192761.617, 162.05, 1980, 9251, 55, 16, 4, NVIDIA GeForce RTX 3080 Ti,1676192761.5776584,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,2693083,1200305,1200074,3997039,1200603,4001571,1200112,4042991,2820403,1200056,1200415,4008597,1200013,4043060,1200096,3997743
9,1676192762.318, 145.98, 1710, 9251, 54, 12, 3, NVIDIA GeForce RTX 3080 Ti,1676192762.2824056,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,4050729,1200132,1925263,2219258,1200064,4019345,1451322,4029650,2826233,1999351,1910332,3990781,1528418,4033307,3198777,4021910
10,1676192763.67, 146.65, 1980, 9251, 55, 16, 4, NVIDIA GeForce RTX 3080 Ti,1676192763.6259427,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,2244901,1200110,1200202,1970071,1200218,3999976,3999984,4005059,2377139,1200003,1200184,1877002,2291649,4009765,4025203,4001448
11,1676192764.72, 162.91, 1980, 9251, 55, 17, 5, NVIDIA GeForce RTX 3080 Ti,1676192764.6778574,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,2210714,1200269,2548444,1200005,1200061,4072151,4082610,4030487,1200256,1201224,2981794,1200211,1200000,4040721,4028771,3999812
12,1676192765.766, 143.20, 1710, 9251, 54, 25, 5, NVIDIA GeForce RTX 3080 Ti,1676192765.721953,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,1200038,1200281,2616595,1199932,2295000,4029632,4000032,4006608,1200015,1201520,1209464,3998238,1340035,3999999,2164276,4050217
13,1676192766.8, 151.71, 1980, 9251, 55, 19, 4, NVIDIA GeForce RTX 3080 Ti,1676192766.7578185,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,1200011,2276087,1200092,4050589,1752646,4019410,1200025,4031300,1200061,1877924,2036374,4027117,2355069,4038462,1264865,3999698
14,1676192767.84, 162.70, 1980, 9251, 55, 17, 5, NVIDIA GeForce RTX 3080 Ti,1676192767.7977183,27.6,3.9,0.0,68.3,0.0,0.0,0.2,0.0,1200041,1669695,1200317,2644910,4036257,4005002,1200008,4023564,1200032,1199989,1200362,2736114,3999839,4030157,1199999,4000242
