,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676206655.018, 70.80, 1710, 9251, 51, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676206654.980148,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200031,4043688,1611666,1308171,2346385,1200176,4030305,3999481,1408620,4025270,1985468,1210026,1601918,1904239,4041666,4029088
1,1676206656.043, 110.24, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676206656.0139472,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1585753,4056665,1216241,1215651,2193228,1867859,4051916,4018402,1200161,3999999,4000000,4000000,4000000,3999998,3999999,4000000
2,1676206657.013, 110.39, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676206656.9768283,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,3402010,3621973,3854492,4008355,3145913,3252984,3758700,4043118,3695068,3632255,3748883,4000125,3588656,2955341,3790500,4063656
3,1676206658.386, 110.39, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676206658.3418095,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200062,1200903,4052940,4014997,1363380,1200076,1890961,4059989,1200011,1200102,4000378,3998079,1200315,1990630,1200121,3998748
4,1676206659.43, 110.36, 1710, 9251, 52, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676206659.3897283,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200068,1200059,4063684,4052826,1200223,1200269,1748486,4058760,1200093,2302725,3998751,4002403,1911630,1200280,1200006,3997128
5,1676206660.456, 148.17, 1995, 9251, 56, 49, 23, NVIDIA GeForce RTX 3080 Ti,1676206660.413837,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,2917062,1200101,4047726,4034212,1889991,1745849,3999999,2175404,2170287,4016234,4037608,4007862,2339440,1200285,3999947,1201916
6,1676206661.496, 229.80, 1995, 9251, 58, 49, 24, NVIDIA GeForce RTX 3080 Ti,1676206661.449913,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,3999958,4000000,4000000,4000000,1944679,1200084,4000000,1200010,4000006,4000099,3995747,4000428,1200000,1200084,4001390,1200005
7,1676206662.541, 247.66, 1980, 9251, 59, 46, 23, NVIDIA GeForce RTX 3080 Ti,1676206662.4978185,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,4000000,4000001,4000000,4000000,1200090,3999962,1662104,2052347,1199984,4000707,4005581,4007797,1200113,1638988,1200051,2363997
8,1676206663.601, 242.33, 1980, 9251, 59, 31, 17, NVIDIA GeForce RTX 3080 Ti,1676206663.5578284,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200193,4011074,4024673,4015508,1200074,4033025,1200059,1200018,1688943,3996357,4001916,3999265,1991086,4000000,2198024,1200302
9,1676206664.646, 235.24, 1980, 9251, 58, 46, 25, NVIDIA GeForce RTX 3080 Ti,1676206664.601817,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,3240563,4002367,4016563,4010094,1199864,1201742,1200073,1200265,4021029,4000460,4003563,3998306,1200007,1927697,1704911,1200108
10,1676206665.68, 230.24, 1980, 9251, 60, 38, 21, NVIDIA GeForce RTX 3080 Ti,1676206665.6378713,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,3653032,4030278,4026670,4012312,1201289,2197454,1200066,1200184,4029365,4066357,3999989,4022822,1764946,1200006,1587841,3999765
11,1676206666.733, 255.25, 1980, 9251, 59, 51, 28, NVIDIA GeForce RTX 3080 Ti,1676206666.689816,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,2028121,4013924,4023037,4013587,1200002,1200073,1895512,4013498,1931211,3996747,4005474,4000061,1901829,1200057,1199885,3999890
12,1676206667.774, 234.46, 1980, 9251, 59, 46, 26, NVIDIA GeForce RTX 3080 Ti,1676206667.7298663,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,3451867,4007062,4013917,4014961,2025683,1200011,1200136,3293107,1199973,3997193,4000626,3996988,1944028,1200046,1200169,3998471
13,1676206668.818, 236.55, 1950, 9251, 61, 47, 26, NVIDIA GeForce RTX 3080 Ti,1676206668.773931,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200102,4008685,4022737,4010356,1200232,1200174,2065986,4038758,1200012,3999818,4001451,3999699,2418095,1826660,1599161,4000074
14,1676206669.88, 232.14, 1980, 9251, 59, 24, 14, NVIDIA GeForce RTX 3080 Ti,1676206669.837919,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,3433104,4031428,4018276,4000000,2094539,1200127,1199922,4007575,1200241,3331726,4003863,4001459,1200095,1200131,1200011,4000261
15,1676206670.938, 235.10, 1980, 9251, 59, 45, 25, NVIDIA GeForce RTX 3080 Ti,1676206670.8940403,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1498846,1200117,4018271,4027657,4000005,1785178,1200052,4030156,1200020,1200064,3999846,4001288,3999982,1200050,3865822,1516649
16,1676206671.877, 211.56, 1980, 9251, 60, 41, 23, NVIDIA GeForce RTX 3080 Ti,1676206671.8443673,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200015,1200368,4036538,4020523,1922954,3939395,2022800,1301262,3998174,1200118,4001826,3996070,4005740,1474746,3454220,1296342
17,1676206672.618, 244.99, 1980, 9251, 59, 46, 26, NVIDIA GeForce RTX 3080 Ti,1676206672.5831149,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,2394247,1203592,4005886,4005619,2892781,3154992,3111419,3416439,1611188,1224486,3999607,4005939,1937616,3585094,3522282,2410412
18,1676206673.986, 237.81, 1980, 9251, 60, 44, 25, NVIDIA GeForce RTX 3080 Ti,1676206673.9420464,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200139,1200292,4000000,4003517,1200161,4001934,1753229,4012786,1200012,1890569,4001209,4003127,1200069,3999895,1201210,4049340
19,1676206675.036, 246.06, 1950, 9251, 62, 45, 25, NVIDIA GeForce RTX 3080 Ti,1676206674.9938288,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,3648089,3999891,4009221,4008218,1877840,1200003,1200126,1200225,3748697,3966698,3998404,4002870,2204195,1200008,3617412,3999975
20,1676206676.069, 242.13, 1980, 9251, 58, 42, 23, NVIDIA GeForce RTX 3080 Ti,1676206676.025848,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200025,4000092,4001434,4004228,1200002,4000492,1811829,1200133,1199967,4002079,4000295,3999038,1200233,3224612,1200162,1199993
21,1676206677.102, 233.05, 1980, 9251, 60, 43, 24, NVIDIA GeForce RTX 3080 Ti,1676206677.0578191,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200250,3998708,4000000,4025457,1200011,3871057,1200038,1949300,1200241,4003181,3996672,3998272,1200677,4020033,1199980,1200191
22,1676206678.158, 246.00, 1965, 9251, 61, 78, 38, NVIDIA GeForce RTX 3080 Ti,1676206678.1139765,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,3257647,4012224,4016409,4011329,1200120,1200011,1200005,1200058,4000005,4004656,4000506,4000000,4010791,1200092,1199983,4000235
23,1676206679.201, 238.72, 1980, 9251, 60, 46, 26, NVIDIA GeForce RTX 3080 Ti,1676206679.1579018,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200142,2223939,4003457,4009520,4000166,4000737,1621948,1715786,1200084,1199995,4000091,3999742,3685876,3615343,1687212,1805035
24,1676206680.257, 234.86, 1980, 9251, 60, 43, 24, NVIDIA GeForce RTX 3080 Ti,1676206680.2138896,26.7,4.0,0.0,69.1,0.0,0.0,0.2,0.0,1200017,1200010,4019052,4017379,4000099,1201582,1200003,1902886,2899364,1200121,4035754,3995325,2910514,1200656,1199999,3998949
