,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676215902.835, 110.90, 1710, 9251, 52, 10, 0, NVIDIA GeForce RTX 3080 Ti,1676215902.7918847,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1644246,4033687,1584598,1200096,4030793,1201297,1735503,4000009,1981929,4000005,1284079,1200054,3999987,1319786,1396924,4032281
1,1676215904.194, 111.21, 1710, 9251, 52, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676215904.1499362,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,3798320,4065557,1200168,1200166,4068685,1201487,1200116,3999574,2275588,4001799,1200023,4001829,4000216,1200173,1200224,4021324
2,1676215905.255, 111.14, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676215905.2138376,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1200025,4040062,2179449,4067062,4063958,1200038,1200087,1200192,1200000,4002304,2271210,4057139,4046056,1200078,1200107,1200260
3,1676215906.334, 114.74, 1710, 9251, 53, 2, 1, NVIDIA GeForce RTX 3080 Ti,1676215906.3015957,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1200063,4066006,2121692,4067415,4065669,2517557,1200065,4058189,1201683,4001432,1199958,1735563,4000000,3999993,4000001,3999999
4,1676215907.398, 111.65, 1710, 9251, 53, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676215907.353882,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1200115,1200110,2034571,4066360,4066558,4064422,1200004,2307115,1200042,1200179,1200097,3957588,4007450,4080053,1846688,1200115
5,1676215908.432, 112.36, 1710, 9251, 53, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676215908.3898423,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1200045,1829488,1199545,4042397,4061693,4057271,1693318,1201682,1200190,1796735,1200757,3998669,4027571,4070456,1199927,1200208
6,1676215909.498, 228.01, 1965, 9251, 60, 91, 59, NVIDIA GeForce RTX 3080 Ti,1676215909.4576898,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1228998,1970720,1200015,4055961,4032308,4022022,4057661,2356594,1200017,1200033,2415172,3926960,3997737,4038365,4000000,3936839
7,1676215910.578, 334.51, 1935, 9251, 62, 91, 59, NVIDIA GeForce RTX 3080 Ti,1676215910.5337796,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1697301,1200054,2329341,4002192,4042767,1200278,1200000,3996089,1200016,1200038,2472634,4000730,3998807,1731735,1200116,4034758
8,1676215911.626, 334.18, 1965, 9251, 62, 94, 60, NVIDIA GeForce RTX 3080 Ti,1676215911.5822053,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,4001932,1201538,1955294,4036731,4032605,1676619,3899267,3005561,4020563,1200074,1200258,4002897,3997337,1200085,3783879,4028558
9,1676215912.665, 335.72, 1935, 9251, 63, 92, 60, NVIDIA GeForce RTX 3080 Ti,1676215912.6219668,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,2074651,2302167,1200101,4000000,4016543,1200301,1200086,4000388,2296675,2001417,1875147,4000970,4000061,1644489,1639573,3570300
10,1676215913.705, 335.24, 1920, 9251, 63, 94, 60, NVIDIA GeForce RTX 3080 Ti,1676215913.6657825,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,2655109,1200003,1782964,4044434,4044108,1200117,1200028,3999055,1893950,1200216,1200004,4003670,4026322,1200071,2339498,3999999
11,1676215914.751, 333.95, 1950, 9251, 63, 91, 59, NVIDIA GeForce RTX 3080 Ti,1676215914.7059793,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,4016547,3752305,1200982,4029398,4000000,1200182,1200069,2052201,4030445,2333472,1200068,4003146,3996372,1200043,1200100,2194925
12,1676215915.814, 332.80, 1935, 9251, 64, 93, 60, NVIDIA GeForce RTX 3080 Ti,1676215915.7699773,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1202764,2010251,1200000,4009448,4027224,1200000,3758567,4001561,1450443,2413277,1200004,3998910,4006330,1514935,2664720,4003846
13,1676215916.861, 336.41, 1920, 9251, 64, 90, 59, NVIDIA GeForce RTX 3080 Ti,1676215916.821763,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,4013020,1200557,1794848,4044729,4041703,1200314,1200153,4000694,4000001,1200034,1200363,3996915,4001517,1200096,1746107,4033706
14,1676215917.909, 331.99, 1920, 9251, 64, 90, 59, NVIDIA GeForce RTX 3080 Ti,1676215917.8659627,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,2441125,3999993,1200275,4031082,3999999,1200975,1200044,2596842,4036634,4007831,1982950,4002903,4001455,1200005,1200417,1826980
15,1676215918.969, 332.03, 1920, 9251, 65, 92, 60, NVIDIA GeForce RTX 3080 Ti,1676215918.9258366,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1701768,1201028,2194392,4000000,4000000,1231029,1200069,4000491,1200000,2199981,1199990,4000073,4002329,1200212,1790151,3999999
16,1676215920.029, 334.21, 1935, 9251, 64, 93, 60, NVIDIA GeForce RTX 3080 Ti,1676215919.9898171,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,3999926,1200270,1200027,4038784,4036537,2830888,1200022,1200017,4043621,1200178,1743722,3995924,3999868,2874713,1200096,1612618
17,1676215921.057, 336.80, 1935, 9251, 65, 91, 60, NVIDIA GeForce RTX 3080 Ti,1676215921.0217514,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1199994,1200087,2395078,4023999,4041171,2695868,2627267,4001242,1460910,1199839,2129854,4023217,3996294,1721381,1200050,3999999
18,1676215922.104, 336.25, 1920, 9251, 65, 88, 58, NVIDIA GeForce RTX 3080 Ti,1676215922.0619411,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,4056735,1212269,2225116,4014695,4076041,1201244,1200008,3999640,4064970,2376533,2249031,4022900,3823542,1200116,2203570,4008672
19,1676215923.144, 337.01, 1920, 9251, 65, 92, 59, NVIDIA GeForce RTX 3080 Ti,1676215923.1018775,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,4037992,1200540,1200207,4021356,4044232,2691247,1615796,4005135,4019291,1200069,1201405,4000024,4000000,2141323,2120172,1814329
20,1676215924.205, 334.98, 1920, 9251, 65, 93, 60, NVIDIA GeForce RTX 3080 Ti,1676215924.1618822,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1199969,1200133,1200325,3999999,4008537,1345775,1358527,4012194,1200006,1200017,1201727,3998530,3996081,1443480,2000030,4052990
21,1676215925.251, 337.76, 1950, 9251, 65, 91, 61, NVIDIA GeForce RTX 3080 Ti,1676215925.201954,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,3999947,1200065,1200214,4035658,4029510,1200001,2318831,4000114,4005615,1200198,1200712,4000296,4000788,1200078,2032446,3535683
22,1676215926.28, 336.32, 1935, 9251, 66, 91, 62, NVIDIA GeForce RTX 3080 Ti,1676215926.2341092,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,2802313,1200127,2080681,4037907,4000000,4000000,1741065,2817240,4022609,1200129,1655905,4001433,3998588,3974885,1201203,1622668
23,1676215927.321, 332.04, 1905, 9251, 66, 91, 60, NVIDIA GeForce RTX 3080 Ti,1676215927.2818074,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1778291,1200225,1868132,4046470,4000000,1201582,1210170,4003070,1200000,1200103,1201243,4005396,4003734,1200099,1200523,4000000
24,1676215928.368, 333.40, 1920, 9251, 66, 91, 58, NVIDIA GeForce RTX 3080 Ti,1676215928.3218577,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,4057100,1200177,1200100,4010453,4008185,1200188,1801289,3995863,4042389,1200005,2017159,4000088,4010557,2714255,1200004,3999710
25,1676215929.429, 335.65, 1950, 9251, 66, 91, 59, NVIDIA GeForce RTX 3080 Ti,1676215929.3859792,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1979514,1565314,1814482,4011058,4000000,3999496,1200061,3995461,1747987,1200119,2205547,3996386,4005764,3870923,2559211,4042562
26,1676215930.461, 333.79, 1905, 9251, 67, 91, 60, NVIDIA GeForce RTX 3080 Ti,1676215930.4178808,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,2291721,4015349,1200003,4040675,4013330,1200296,2352210,3103838,1564504,1202671,1200286,3997920,4003155,1200245,2030791,2569422
27,1676215931.497, 337.28, 1950, 9251, 66, 94, 60, NVIDIA GeForce RTX 3080 Ti,1676215931.4538925,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,4000046,4031680,1200003,4059455,4036249,1909937,1200133,1376762,3999999,3999959,1702725,3998579,4000104,2356685,1200540,1474706
28,1676215932.533, 334.11, 1950, 9251, 66, 91, 60, NVIDIA GeForce RTX 3080 Ti,1676215932.4899254,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1606162,4044975,1951132,4053478,4045677,1183559,1200056,1200778,2352851,2995950,2174141,4001737,4000002,1732351,1396236,1200019
29,1676215933.597, 335.27, 1905, 9251, 67, 91, 62, NVIDIA GeForce RTX 3080 Ti,1676215933.5538228,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,4035537,3831250,1888509,4029790,4070331,1201574,1200133,3999997,3527447,2832671,1200237,4002094,4002554,1200109,1200125,1200192
30,1676215934.639, 335.77, 1920, 9251, 66, 92, 59, NVIDIA GeForce RTX 3080 Ti,1676215934.5977793,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,2152784,4025695,2195793,4000000,3999999,1687157,1199954,1200142,1200120,3996504,3609406,3998493,4000172,1923183,1199984,1200211
31,1676215935.687, 333.72, 1950, 9251, 66, 92, 59, NVIDIA GeForce RTX 3080 Ti,1676215935.6459243,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1200099,2117807,1200092,4000000,3999999,1200055,3999930,2171571,1200184,3588738,1200926,3999607,3999863,1200063,4048479,1520224
32,1676215936.719, 334.73, 1920, 9251, 67, 90, 60, NVIDIA GeForce RTX 3080 Ti,1676215936.6778977,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,2708515,4000002,1199982,4000000,4046013,2046328,4000643,1207515,2507737,2223928,1200089,4000480,4006296,1200159,4027578,2452055
33,1676215937.756, 335.48, 1950, 9251, 67, 91, 59, NVIDIA GeForce RTX 3080 Ti,1676215937.7138073,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1200003,4002042,4000047,4039227,4035199,1200097,1245228,1200226,1200027,4000001,3887922,4025004,4001644,1697053,2173679,1200048
34,1676215938.795, 334.51, 1950, 9251, 67, 91, 59, NVIDIA GeForce RTX 3080 Ti,1676215938.7537189,26.2,4.0,0.0,69.6,0.0,0.0,0.2,0.0,1200159,4035370,1322625,4046136,4000000,2158566,3974252,1200158,1652603,3998378,2493441,4004314,4002395,1200107,3999987,1200036
