,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676229299.152, 39.31, 1710, 9251, 50, 1, 2, NVIDIA GeForce RTX 3080 Ti,1676229299.1083572,25.3,4.0,0.0,70.5,0.0,0.0,0.2,0.0,1833095,4041324,1617245,1609746,1200095,3999990,1227602,4025995,2009865,4026127,1374275,1244978,1200032,4041835,1230833,4040699
1,1676229300.452, 110.94, 1710, 9251, 52, 5, 0, NVIDIA GeForce RTX 3080 Ti,1676229300.4099822,25.3,4.0,0.0,70.5,0.0,0.0,0.2,0.0,2234248,4052189,1210002,1200151,1200051,3999116,1200050,3998083,1201489,3998699,1200189,1853145,1200060,4057666,1200025,4062170
2,1676229301.525, 110.97, 1710, 9251, 52, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676229301.4857454,25.3,4.0,0.0,70.5,0.0,0.0,0.2,0.0,1200111,4072129,1707114,1200093,1200711,4097983,1200085,4066226,1200266,3999059,1199147,1200107,1201299,4047702,1200319,4056224
3,1676229302.213, 110.91, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676229302.176147,25.3,4.0,0.0,70.5,0.0,0.0,0.2,0.0,4000001,3999999,3999999,4000000,4000000,4000000,3995103,3999999,3998759,3999999,3996640,3951730,3675165,4007761,3461684,4009475
4,1676229303.591, 112.77, 1710, 9251, 53, 21, 1, NVIDIA GeForce RTX 3080 Ti,1676229303.5616524,25.3,4.0,0.0,70.5,0.0,0.0,0.2,0.0,4009308,4048942,1200024,1685066,2542376,3998341,1200026,1200365,3998786,4003007,1200045,1200219,1200082,4060890,1201128,1807946
5,1676229304.635, 112.02, 1710, 9251, 53, 10, 0, NVIDIA GeForce RTX 3080 Ti,1676229304.5938785,25.3,4.0,0.0,70.5,0.0,0.0,0.2,0.0,4069214,4024784,1200121,1200140,1200105,4062351,1200140,1200372,4000741,3996505,2217108,1200080,1200732,4061371,1201079,1200654
6,1676229305.696, 231.60, 1965, 9251, 60, 93, 57, NVIDIA GeForce RTX 3080 Ti,1676229305.6539152,25.3,4.0,0.0,70.5,0.0,0.0,0.2,0.0,2895464,4070689,4066882,1200079,1785400,4090507,1200067,3996870,2346945,3998908,1200540,1978890,1201579,4042987,1201079,2482149
7,1676229306.729, 333.69, 1965, 9251, 61, 95, 58, NVIDIA GeForce RTX 3080 Ti,1676229306.6896942,25.3,4.0,0.0,70.5,0.0,0.0,0.2,0.0,1421705,4061179,1200361,2124071,1200088,4000883,1200084,3999897,1211282,3965394,1200005,1957850,1200598,4020563,1200320,4030435
8,1676229307.771, 334.92, 1950, 9251, 63, 98, 56, NVIDIA GeForce RTX 3080 Ti,1676229307.7258592,25.3,4.0,0.0,70.5,0.0,0.0,0.2,0.0,1289612,4069632,2239532,1200321,1855156,4065790,1200017,1581133,4001352,4064403,1200568,1254556,1200104,4021497,1201303,1684984
9,1676229308.8, 333.31, 1965, 9251, 62, 98, 56, NVIDIA GeForce RTX 3080 Ti,1676229308.7617128,25.3,4.0,0.0,70.5,0.0,0.0,0.2,0.0,4031039,4016689,1567902,1781287,1200236,3996079,1933259,3998472,3991612,4000089,1516651,1216773,1199927,4058070,1210512,4015512
