,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676202332.28, 39.37, 210, 405, 49, 8, 2, NVIDIA GeForce RTX 3080 Ti,1676202332.2429702,27.0,4.0,0.0,68.8,0.0,0.0,0.2,0.0,1294578,4043443,2102311,1372627,4044156,1217786,1264216,4002015,1245849,4007390,2192086,1239730,4036582,1239898,1200071,4045804
1,1676202333.495, 110.93, 1710, 9251, 52, 8, 0, NVIDIA GeForce RTX 3080 Ti,1676202333.4656126,27.0,4.0,0.0,68.8,0.0,0.0,0.2,0.0,1244045,4045524,1200161,1200228,4061683,1199988,1200000,4000000,2176983,4000001,4000000,4000000,3999999,4000000,3999999,4000000
2,1676202334.311, 111.48, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676202334.2702477,27.0,4.0,0.0,68.8,0.0,0.0,0.2,0.0,3541368,4034810,3260631,3840894,4033993,4000861,3791461,3072351,3826118,3999999,3284524,3921191,4000348,4039530,3575812,3578035
3,1676202335.48, 111.11, 1710, 9251, 52, 2, 0, NVIDIA GeForce RTX 3080 Ti,1676202335.4378803,27.0,4.0,0.0,68.8,0.0,0.0,0.2,0.0,1268380,4055951,2495084,1200084,4055358,4040628,1672031,1208167,1481328,4000136,4004366,1816180,3994011,1200546,4064036,1200215
4,1676202336.72, 111.21, 1710, 9251, 52, 10, 0, NVIDIA GeForce RTX 3080 Ti,1676202336.6777968,27.0,4.0,0.0,68.8,0.0,0.0,0.2,0.0,1422489,4000005,4000000,3999999,4000001,1204424,1200215,4000000,1199932,1200037,3998701,3995876,4044562,1576255,1201092,4003580
5,1676202337.765, 148.76, 1995, 9251, 57, 50, 25, NVIDIA GeForce RTX 3080 Ti,1676202337.7257435,27.0,4.0,0.0,68.8,0.0,0.0,0.2,0.0,1200054,1200325,1200134,4041431,4002348,1200098,1200002,4000991,1200016,2109381,4028747,4001375,2027888,3999839,1200831,4006945
6,1676202338.385, 212.48, 1995, 9251, 57, 47, 23, NVIDIA GeForce RTX 3080 Ti,1676202338.3419797,27.0,4.0,0.0,68.8,0.0,0.0,0.2,0.0,2764831,1262701,3841395,4009022,2037872,3557806,1299519,4005262,1365482,1201758,4006047,3999995,2000267,2001171,2959578,4002252
7,1676202339.788, 324.06, 1950, 9251, 62, 98, 61, NVIDIA GeForce RTX 3080 Ti,1676202339.7457795,27.0,4.0,0.0,68.8,0.0,0.0,0.2,0.0,3010711,1200036,3999177,2637708,2097692,1200337,4018207,4021934,4002562,1200080,3259272,4001030,3964868,1575058,1200042,3806988
8,1676202340.804, 345.13, 1935, 9251, 63, 99, 60, NVIDIA GeForce RTX 3080 Ti,1676202340.7656476,27.0,4.0,0.0,68.8,0.0,0.0,0.2,0.0,2737415,1941355,3226501,3999999,4000002,1200008,1404318,4017393,1523904,1199162,4000022,1199996,4039603,1200143,1201302,3999899
9,1676202341.395, 344.06, 1950, 9251, 63, 96, 62, NVIDIA GeForce RTX 3080 Ti,1676202341.3633623,27.0,4.0,0.0,68.8,0.0,0.0,0.2,0.0,2211665,2086059,3536266,3604822,3998701,1353646,3097995,4003360,3747687,3049818,2906412,2453295,3884289,2315505,2336233,4000372
