,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676214151.171, 74.00, 1710, 9251, 51, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676214151.1264637,26.4,4.0,0.0,69.4,0.0,0.0,0.2,0.0,3875297,4027028,4028383,2874930,2893979,2639307,3132497,4000231,3182256,4000152,4000000,3562950,3904787,3686505,2981532,4034368
1,1676214152.542, 110.41, 1710, 9251, 52, 7, 0, NVIDIA GeForce RTX 3080 Ti,1676214152.4979644,26.4,4.0,0.0,69.4,0.0,0.0,0.2,0.0,2074986,4069518,4067138,1200190,1200225,1200009,1916369,3998578,1962251,4002255,3999999,1200000,1200318,4058320,1200437,1200104
2,1676214153.59, 110.56, 1710, 9251, 52, 9, 0, NVIDIA GeForce RTX 3080 Ti,1676214153.5458782,26.4,4.0,0.0,69.4,0.0,0.0,0.2,0.0,1199933,4048593,4000499,1200006,1904773,4044647,1200147,4072699,1200003,4003425,4045251,1200979,1200223,4025226,1200331,4060472
3,1676214154.638, 111.16, 1710, 9251, 52, 12, 0, NVIDIA GeForce RTX 3080 Ti,1676214154.5938635,26.4,4.0,0.0,69.4,0.0,0.0,0.2,0.0,1200046,4055405,2078752,1201043,1200067,4069286,1200107,3999820,1200206,3998284,1576922,1200068,1201209,4000611,1200185,4057376
4,1676214155.689, 113.75, 1710, 9251, 52, 2, 1, NVIDIA GeForce RTX 3080 Ti,1676214155.6459115,26.4,4.0,0.0,69.4,0.0,0.0,0.2,0.0,1200020,4062896,4005568,1200445,1200219,4070778,1200086,1200744,1200005,4001742,4059330,1394311,1201740,4001243,1199810,1201076
5,1676214156.728, 113.29, 1710, 9251, 53, 0, 0, NVIDIA GeForce RTX 3080 Ti,1676214156.6859014,26.4,4.0,0.0,69.4,0.0,0.0,0.2,0.0,1200067,4058026,4000129,1200414,1201095,4060815,1200075,3085710,2368429,4006262,4059471,1200119,1200026,4078852,1200936,2819365
6,1676214157.817, 112.05, 1710, 9251, 53, 2, 0, NVIDIA GeForce RTX 3080 Ti,1676214157.77384,26.4,4.0,0.0,69.4,0.0,0.0,0.2,0.0,1450563,4083251,4036096,1200488,1200939,4056239,1200020,3379750,1200014,4045841,4045281,1724753,1768543,4000062,1201078,2919242
7,1676214158.862, 112.37, 1710, 9251, 53, 7, 1, NVIDIA GeForce RTX 3080 Ti,1676214158.8179233,26.4,4.0,0.0,69.4,0.0,0.0,0.2,0.0,1704067,1200030,4001589,2415557,1200104,4055910,1749111,4049946,1969577,1200935,4055444,1200148,1200300,4056308,1200158,3998801
8,1676214159.899, 157.35, 1980, 9251, 56, 47, 20, NVIDIA GeForce RTX 3080 Ti,1676214159.8538835,26.4,4.0,0.0,69.4,0.0,0.0,0.2,0.0,1200192,1200142,3995286,1200365,1201697,4047576,1875840,4063232,1398256,1200000,4041003,1200656,1200220,4088668,1977524,1200047
9,1676214160.95, 311.18, 1905, 9251, 61, 100, 56, NVIDIA GeForce RTX 3080 Ti,1676214160.9058273,26.4,4.0,0.0,69.4,0.0,0.0,0.2,0.0,1965110,4000068,4000735,1201401,1200893,4028174,1200117,4014996,1424271,4022115,4044249,1200084,1200037,4000241,1201120,3997421
