,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676186869.268, 66.95, 1710, 9251, 51, 3, 0, NVIDIA GeForce RTX 3080 Ti,1676186869.2314365,28.1,4.0,0.0,67.7,0.0,0.0,0.2,0.0,3902215,3918777,4001829,4002670,3962006,3750608,3722114,4000004,3909049,3923474,3999999,4019094,3744484,3906247,3564187,4020784
1,1676186870.609, 110.61, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676186870.5658681,28.1,4.0,0.0,67.7,0.0,0.0,0.2,0.0,1200060,1200148,4049697,4001088,2120848,1189209,1201987,4112280,1200091,1200515,4002117,4068943,1226485,1200136,1200228,4035795
2,1676186871.653, 110.60, 1710, 9251, 52, 10, 0, NVIDIA GeForce RTX 3080 Ti,1676186871.609917,28.1,4.0,0.0,67.7,0.0,0.0,0.2,0.0,1200105,1200327,4051233,4004700,1206484,1200134,1200106,4003742,1200062,1201277,4002083,4058431,1200480,1201189,1913638,4067722
3,1676186872.702, 115.53, 1710, 9251, 53, 27, 5, NVIDIA GeForce RTX 3080 Ti,1676186872.6579986,28.1,4.0,0.0,67.7,0.0,0.0,0.2,0.0,1200064,1200167,4057172,4058759,1200226,1961179,1635673,4001370,2381815,1200056,3856759,4049855,1200090,1199997,1691351,4012298
4,1676186873.729, 147.71, 1950, 9251, 54, 17, 4, NVIDIA GeForce RTX 3080 Ti,1676186873.6858993,28.1,4.0,0.0,67.7,0.0,0.0,0.2,0.0,1200104,1200026,4034750,4000000,2338439,1199999,1200162,3998952,2390289,1200026,4000064,4034807,2061416,2559302,1200258,4026463
5,1676186874.815, 146.23, 1710, 9251, 53, 13, 3, NVIDIA GeForce RTX 3080 Ti,1676186874.7697027,28.1,4.0,0.0,67.7,0.0,0.0,0.2,0.0,1200077,1801121,4030246,3999296,1201026,2350787,1200093,3997929,1200252,1199883,3998168,4021539,1682347,3999998,3999999,3999999
6,1676186875.841, 123.39, 1710, 9251, 53, 24, 4, NVIDIA GeForce RTX 3080 Ti,1676186875.7979288,28.1,4.0,0.0,67.7,0.0,0.0,0.2,0.0,1200044,1200424,4033728,2191204,4002430,4015435,3999997,1200019,1200188,2188732,4000907,2605781,4002292,1200186,1200108,3999997
7,1676186876.889, 127.44, 1710, 9251, 53, 35, 5, NVIDIA GeForce RTX 3080 Ti,1676186876.846001,28.1,4.0,0.0,67.7,0.0,0.0,0.2,0.0,4043920,3331449,4024395,1200109,1200194,1200227,1933139,4039377,4035694,3149442,3999975,1200180,1200001,1200050,1852305,4003258
8,1676186877.927, 192.29, 1980, 9251, 58, 85, 31, NVIDIA GeForce RTX 3080 Ti,1676186877.881804,28.1,4.0,0.0,67.7,0.0,0.0,0.2,0.0,4030761,2517743,4028668,1200197,1200006,1200342,1846585,2724561,4035200,2606469,4097757,4000061,1936016,1200074,1202565,1200189
9,1676186878.979, 326.40, 1935, 9251, 61, 100, 47, NVIDIA GeForce RTX 3080 Ti,1676186878.9378774,28.1,4.0,0.0,67.7,0.0,0.0,0.2,0.0,1200048,4028661,4017263,1200128,4008378,1774723,4000002,4000000,1199992,1882441,4001603,1199981,3999261,1200235,4002979,3846982
