,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq
0,1676200232.324, 39.11, 210, 405, 49, 0, 1, NVIDIA GeForce RTX 3080 Ti,1676200232.2858193,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4040839,1200076,1200030,1200357,4042408,2125056,2049078,4026266,4002282,1200077,1200097,1219088,3999981,2153749,1363190,4046128
1,1676200233.524, 39.21, 1710, 9501, 50, 1, 2, NVIDIA GeForce RTX 3080 Ti,1676200233.4978342,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4058058,1200123,1200063,1209031,4071403,2083782,1883982,4000000,4002121,1200112,3861601,4000001,3999995,3999999,3999999,4000000
2,1676200234.394, 96.95, 1710, 9251, 51, 11, 0, NVIDIA GeForce RTX 3080 Ti,1676200234.3585255,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4023238,3713957,3864563,3466793,4021942,3969386,3858136,4024345,4000070,3929818,2919348,3444965,4000014,2716379,3793769,4000638
3,1676200235.348, 111.45, 1710, 9251, 52, 30, 1, NVIDIA GeForce RTX 3080 Ti,1676200235.3118927,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4051460,1200086,1203921,2028688,4053317,1206954,1385471,4041903,4035406,1200102,1210311,2325089,3999923,1446894,1734997,3675565
4,1676200236.532, 111.26, 1710, 9251, 52, 4, 0, NVIDIA GeForce RTX 3080 Ti,1676200236.4899113,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4051052,1357336,3427954,1966704,3901651,1491562,1814313,3755913,4001713,1199828,1200114,1200142,4000267,1200724,1200913,4057908
5,1676200237.762, 149.90, 1995, 9251, 56, 49, 28, NVIDIA GeForce RTX 3080 Ti,1676200237.7179346,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4056753,1200033,1200371,1200285,4070077,1807583,1200095,3996149,3999668,3597061,3964161,1199950,2384117,1200012,1200047,4011664
6,1676200238.794, 218.93, 1995, 9251, 57, 41, 21, NVIDIA GeForce RTX 3080 Ti,1676200238.7497685,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4025350,2796077,1200333,1201038,1200157,3999999,1200004,3999571,4000007,1244491,4000119,1443443,1200023,3999998,3718055,3999999
7,1676200239.839, 237.74, 1995, 9251, 57, 49, 24, NVIDIA GeForce RTX 3080 Ti,1676200239.7938592,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4000004,3999977,1948232,4006464,1200012,1845478,1200072,3997368,4029597,4003835,1200004,3967588,1200127,2291004,1752205,4066856
8,1676200240.71, 240.18, 1920, 9251, 60, 52, 25, NVIDIA GeForce RTX 3080 Ti,1676200240.6807685,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4007429,4000030,1200046,3999999,1200009,1201291,1622250,4002945,4003641,4000003,1200007,4004420,1448428,1340430,1746796,4003554
9,1676200241.458, 282.91, 1920, 9251, 61, 95, 51, NVIDIA GeForce RTX 3080 Ti,1676200241.4226553,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,3854625,3827985,1200055,3993670,1901838,3424472,1764199,4003410,1807412,3849663,1874531,1657588,1673599,3903312,3637678,4012098
10,1676200242.873, 335.73, 1935, 9251, 63, 100, 47, NVIDIA GeForce RTX 3080 Ti,1676200242.8298874,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,1627572,4000006,1200000,4002008,1215330,1200032,4000120,3995085,2239032,3999933,3004407,4070372,1292336,1200113,4014819,4007463
11,1676200243.918, 335.18, 1920, 9251, 63, 100, 60, NVIDIA GeForce RTX 3080 Ti,1676200243.8700752,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,3997895,4000018,1200019,4010959,2196839,1663307,1200030,3997393,3137374,4008523,1200009,3999931,4000452,1200025,3999999,4021168
12,1676200244.954, 336.79, 1950, 9251, 64, 100, 48, NVIDIA GeForce RTX 3080 Ti,1676200244.9137502,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,3605793,4006008,3759326,4006826,1977458,4000347,1200123,4000408,1199992,4020411,3685044,3589797,1200101,3999999,1200261,4000000
13,1676200245.977, 336.55, 1920, 9251, 64, 100, 57, NVIDIA GeForce RTX 3080 Ti,1676200245.94169,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,1202417,4035757,3615275,4014471,1200000,2114808,1200007,4001806,1200002,1888918,2634009,4000021,3998019,3999999,1200014,4000000
14,1676200247.015, 336.12, 1935, 9251, 64, 100, 45, NVIDIA GeForce RTX 3080 Ti,1676200246.9700048,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,1546759,1764541,4024950,4016654,4001112,4000012,1975657,3999404,1200000,1200042,1200006,4004105,4034676,1206219,3573801,4006201
15,1676200247.737, 336.95, 1935, 9251, 64, 100, 57, NVIDIA GeForce RTX 3080 Ti,1676200247.7007318,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,1303216,2127406,1200054,4004139,3940990,1870899,3609470,4001292,3651356,1466153,1898164,3930992,3861767,1356707,3972353,4002026
16,1676200248.694, 337.06, 1920, 9251, 64, 100, 56, NVIDIA GeForce RTX 3080 Ti,1676200248.6582067,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,2973756,1353777,3586713,3971953,2822984,1487240,2835453,4000228,3672662,1200910,3064119,3941158,3910297,1642398,1451551,4003520
17,1676200249.63, 334.97, 1950, 9251, 64, 100, 51, NVIDIA GeForce RTX 3080 Ti,1676200249.5876253,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,2846625,1805434,3654108,3950410,1993105,2548464,1303637,4001121,3647659,2406730,3620429,3893925,3395431,3596843,1229084,4005157
18,1676200251.049, 337.08, 1890, 9251, 65, 100, 61, NVIDIA GeForce RTX 3080 Ti,1676200251.0058699,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4000011,1200037,3999837,4009656,1201180,4046656,1770745,3996029,3687895,1200031,1545005,4047038,3597174,4000223,2127174,4062984
19,1676200252.093, 332.87, 1965, 9251, 65, 100, 47, NVIDIA GeForce RTX 3080 Ti,1676200252.0499637,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,1904110,1200012,2032938,4000000,3857188,1200080,4002198,4000026,1200006,1427268,1200513,4040773,3965194,1200108,4000308,4000000
20,1676200252.89, 337.52, 1935, 9251, 65, 100, 45, NVIDIA GeForce RTX 3080 Ti,1676200252.85502,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,4000010,1200208,4010286,3999999,3857947,2093978,1200050,4000090,3704258,1328630,1668776,3940085,3244686,1861620,3431583,4006345
21,1676200253.72, 334.57, 1935, 9251, 65, 100, 52, NVIDIA GeForce RTX 3080 Ti,1676200253.6855736,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,2835775,1371489,3952499,3965420,3132080,3626975,2293002,4000141,3848031,1743789,2553283,3963816,1746242,3940205,1878001,4006728
22,1676200255.013, 336.50, 1920, 9251, 66, 100, 47, NVIDIA GeForce RTX 3080 Ti,1676200254.9698813,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,1285566,2458234,2523613,3962416,4000000,1725246,4001018,4166330,1200009,1655441,2072182,4055589,3139150,4009399,2140306,4000000
23,1676200256.109, 335.88, 1935, 9251, 65, 100, 61, NVIDIA GeForce RTX 3080 Ti,1676200256.065902,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,1209478,3961221,3998897,4007883,1200155,3952498,1463223,4003459,1199968,1200254,4006685,3999988,1309645,4006122,1200000,4031175
24,1676200257.15, 338.37, 1935, 9251, 66, 100, 53, NVIDIA GeForce RTX 3080 Ti,1676200257.1058745,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,1200051,3568826,1200112,3968798,3999585,3029567,2143680,3999790,1200086,3999609,1200054,4050623,3877804,4001248,1200049,4002116
25,1676200258.193, 333.95, 1935, 9251, 66, 100, 55, NVIDIA GeForce RTX 3080 Ti,1676200258.1536634,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,1200026,3111972,1665007,4004424,3999808,1202101,4018730,3998898,1200018,1200090,3388357,4000333,4014117,1200496,4030697,4029158
26,1676200259.229, 334.64, 1920, 9251, 66, 100, 46, NVIDIA GeForce RTX 3080 Ti,1676200259.1858916,27.1,4.0,0.0,68.7,0.0,0.0,0.2,0.0,3483275,1200092,3911096,4000000,3519052,3999948,1200099,4003378,2432819,1529787,4039388,4096304,4000000,1200290,4003588,4002459
