,time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq
0,1676482131.358, 28.33, 961, 3802, 59, 1, 0, NVIDIA GeForce GTX 1060 6GB,1676482131.3284152,50.0,3.1,0.0,46.9,0.0,0.0,0.0,0.0,3333650,3333529,3333514,3333555,3333515,3333514
1,1676482132.416, 32.87, 1607, 3802, 59, 1, 0, NVIDIA GeForce GTX 1060 6GB,1676482132.3878636,43.3,10.3,0.0,46.4,0.0,0.0,0.0,0.0,3333592,3333693,3333515,3333596,3333515,3333515
2,1676482133.489, 32.87, 1607, 3802, 59, 2, 1, NVIDIA GeForce GTX 1060 6GB,1676482133.4610267,51.5,4.0,0.0,44.6,0.0,0.0,0.0,0.0,3466893,3466881,3466855,3466856,3466855,3466933
3,1676482134.428, 32.87, 1607, 3802, 59, 0, 0, NVIDIA GeForce GTX 1060 6GB,1676482134.3890154,43.4,10.1,0.0,46.5,0.0,0.0,0.0,0.0,3466951,3466898,3466855,3466855,3466855,3466858
4,1676482135.533, 32.67, 1607, 3802, 59, 0, 0, NVIDIA GeForce GTX 1060 6GB,1676482135.5089397,50.0,3.0,0.0,47.0,0.0,0.0,0.0,0.0,3466880,3466973,3466855,3466862,3466855,3466912
5,1676482136.373, 32.77, 1607, 3802, 59, 0, 0, NVIDIA GeForce GTX 1060 6GB,1676482136.3436394,47.5,4.0,0.0,48.5,0.0,0.0,0.0,0.0,3466896,3466896,3466855,3466855,3466855,3466857
6,1676482137.575, 33.05, 1607, 3802, 59, 3, 1, NVIDIA GeForce GTX 1060 6GB,1676482137.533262,55.0,4.0,0.0,41.0,0.0,0.0,0.0,0.0,3466878,3466891,3466855,3466850,3466855,3466914
7,1676482138.419, 32.87, 1607, 3802, 59, 2, 1, NVIDIA GeForce GTX 1060 6GB,1676482138.3953953,51.0,4.2,0.0,44.8,0.0,0.0,0.0,0.0,3466888,3466908,3466855,3466855,3466855,3466918
8,1676482139.378, 61.42, 1607, 3802, 60, 36, 22, NVIDIA GeForce GTX 1060 6GB,1676482139.3455899,66.0,8.0,0.0,26.0,0.0,0.0,0.0,0.0,3466875,3466864,3466855,3466855,3466855,3466856
9,1676482140.529, 39.72, 1923, 3802, 61, 1, 0, NVIDIA GeForce GTX 1060 6GB,1676482140.4892697,44.4,10.1,0.0,45.5,0.0,0.0,0.0,0.0,3466858,3467092,3466855,3466953,3466855,3466855
