work_start,model_name,image_size,device,file_name,latency
1676050516.6374211,yolov5s,224,cuda,000000000001.jpg,6229.256153106689
1676050516.6374211,yolov5s,224,cuda,000000000016.jpg,2592.482805252075
1676050516.6374211,yolov5s,224,cuda,000000000019.jpg,128.10134887695312
1676050526.7212012,alexnet,224,cuda,000000000001.jpg,777.2114276885986
1676050526.7212012,alexnet,224,cuda,000000000016.jpg,175.02975463867188
1676050526.7212012,alexnet,224,cuda,000000000019.jpg,115.99230766296387
1676050719.5720828,yolov5s,224,cuda,000000000001.jpg,4861.278772354126
1676050719.5720828,yolov5s,224,cuda,000000000016.jpg,2591.5277004241943
1676050719.5720828,yolov5s,224,cuda,000000000019.jpg,136.02662086486816
1676050728.2932372,alexnet,224,cuda,000000000001.jpg,776.8676280975342
1676050728.2932372,alexnet,224,cuda,000000000016.jpg,173.1119155883789
1676050728.2932372,alexnet,224,cuda,000000000019.jpg,119.94242668151855
