work_start,model_name,image_size,device,file_name,latency
1676050522.9088123,yolov5s,"(224, 224)",cuda,000000000001.jpg,25.590784072875977
1676050525.5013075,yolov5s,"(224, 224)",cuda,000000000016.jpg,18.0996150970459
1676050525.6294055,yolov5s,"(224, 224)",cuda,000000000019.jpg,18.96988868713379
1676050527.5422974,alexnet,"(224, 224)",cuda,000000000001.jpg,4.773695945739746
1676050527.7172647,alexnet,"(224, 224)",cuda,000000000016.jpg,3.693023920059204
1676050527.8333237,alexnet,"(224, 224)",cuda,000000000019.jpg,3.9275519847869873
1676050724.4738147,yolov5s,224,cuda,000000000001.jpg,24.880128860473633
1676050727.0653613,yolov5s,224,cuda,000000000016.jpg,17.506912231445312
1676050727.2013707,yolov5s,224,cuda,000000000019.jpg,23.405376434326172
1676050729.116268,alexnet,224,cuda,000000000001.jpg,4.710495948791504
1676050729.2893794,alexnet,224,cuda,000000000016.jpg,3.6187520027160645
1676050729.4093187,alexnet,224,cuda,000000000019.jpg,3.660736083984375
