work_start,infer_model_name,train_model_name,image_size,device,file_name,latency
1677016827.8296554,resnet50,alexnet_512,224,cuda,000000000001.jpg,13.245535850524902
1677016827.928319,resnet50,alexnet_512,224,cuda,000000000016.jpg,8.61673641204834
1677016828.0363688,resnet50,alexnet_512,224,cuda,000000000019.jpg,8.63759994506836
1677016828.108321,resnet50,alexnet_512,224,cuda,000000000057.jpg,8.404800415039062
1677016828.2163696,resnet50,alexnet_512,224,cuda,000000000063.jpg,8.65452766418457
1677016828.2843318,resnet50,alexnet_512,224,cuda,000000000069.jpg,8.438336372375488
1677016828.3882985,resnet50,alexnet_512,224,cuda,000000000080.jpg,8.396736145019531
1677016828.4523077,resnet50,alexnet_512,224,cuda,000000000090.jpg,8.598048210144043
1677016828.560322,resnet50,alexnet_512,224,cuda,000000000106.jpg,8.568127632141113
1677016828.628346,resnet50,alexnet_512,224,cuda,000000000108.jpg,11.663392066955566
1677016828.7442873,resnet50,alexnet_512,224,cuda,000000000128.jpg,8.533503532409668
1677016828.812293,resnet50,alexnet_512,224,cuda,000000000155.jpg,8.40447998046875
1677016828.9202852,resnet50,alexnet_512,224,cuda,000000000161.jpg,8.341728210449219
1677016828.9843025,resnet50,alexnet_512,224,cuda,000000000171.jpg,8.26899242401123
1677016829.084296,resnet50,alexnet_512,224,cuda,000000000178.jpg,8.350496292114258
1677016829.1482944,resnet50,alexnet_512,224,cuda,000000000180.jpg,8.497695922851562
1677016829.2563338,resnet50,alexnet_512,224,cuda,000000000183.jpg,8.567168235778809
1677016829.3203154,resnet50,alexnet_512,224,cuda,000000000188.jpg,8.483807563781738
1677016829.4243004,resnet50,alexnet_512,224,cuda,000000000191.jpg,8.55196762084961
1677016829.4883382,resnet50,alexnet_512,224,cuda,000000000202.jpg,8.715871810913086
1677016829.5963335,resnet50,alexnet_512,224,cuda,000000000205.jpg,8.505951881408691
1677016829.6643302,resnet50,alexnet_512,224,cuda,000000000212.jpg,8.672032356262207
1677016829.7723,resnet50,alexnet_512,224,cuda,000000000229.jpg,8.748512268066406
1677016829.8442922,resnet50,alexnet_512,224,cuda,000000000251.jpg,8.537504196166992
1677016829.9523268,resnet50,alexnet_512,224,cuda,000000000275.jpg,8.641568183898926
1677016830.024284,resnet50,alexnet_512,224,cuda,000000000276.jpg,8.452672004699707
1677016830.1282973,resnet50,alexnet_512,224,cuda,000000000311.jpg,8.357855796813965
1677016830.196268,resnet50,alexnet_512,224,cuda,000000000318.jpg,8.525343894958496
1677016830.3043153,resnet50,alexnet_512,224,cuda,000000000345.jpg,8.531455993652344
1677016830.3723137,resnet50,alexnet_512,224,cuda,000000000408.jpg,8.455936431884766
1677016830.4803138,resnet50,alexnet_512,224,cuda,000000000416.jpg,8.67199993133545
1677016830.552333,resnet50,alexnet_512,224,cuda,000000000427.jpg,8.543744087219238
1677016830.65631,resnet50,alexnet_512,224,cuda,000000000448.jpg,8.592384338378906
1677016830.72035,resnet50,alexnet_512,224,cuda,000000000453.jpg,8.713760375976562
1677016830.8282466,resnet50,alexnet_512,224,cuda,000000000456.jpg,8.419584274291992
1677016830.8963134,resnet50,alexnet_512,224,cuda,000000000463.jpg,8.417344093322754
1677016831.004259,resnet50,alexnet_512,224,cuda,000000000492.jpg,8.432160377502441
1677016831.072315,resnet50,alexnet_512,224,cuda,000000000509.jpg,8.385215759277344
1677016831.1762974,resnet50,alexnet_512,224,cuda,000000000527.jpg,8.44649600982666
1677016831.2403426,resnet50,alexnet_512,224,cuda,000000000535.jpg,8.70627212524414
1677016831.356288,resnet50,alexnet_512,224,cuda,000000000549.jpg,8.58198356628418
1677016831.4282868,resnet50,alexnet_512,224,cuda,000000000552.jpg,8.559328079223633
1677016831.5323005,resnet50,alexnet_512,224,cuda,000000000554.jpg,8.544768333435059
1677016831.592272,resnet50,alexnet_512,224,cuda,000000000570.jpg,8.617568016052246
1677016831.7083185,resnet50,alexnet_512,224,cuda,000000000619.jpg,8.658143997192383
1677016831.7683241,resnet50,alexnet_512,224,cuda,000000000647.jpg,8.426495552062988
1677016831.876312,resnet50,alexnet_512,224,cuda,000000000660.jpg,8.329376220703125
1677016831.9442847,resnet50,alexnet_512,224,cuda,000000000662.jpg,8.408191680908203
1677016832.0523014,resnet50,alexnet_512,224,cuda,000000000664.jpg,8.452799797058105
1677016832.1162934,resnet50,alexnet_512,224,cuda,000000000665.jpg,8.32483196258545
1677016832.2202773,resnet50,alexnet_512,224,cuda,000000000674.jpg,8.511903762817383
1677016832.2842832,resnet50,alexnet_512,224,cuda,000000000676.jpg,8.480704307556152
1677016832.3923018,resnet50,alexnet_512,224,cuda,000000000686.jpg,8.416959762573242
1677016832.4563334,resnet50,alexnet_512,224,cuda,000000000694.jpg,8.838879585266113
1677016832.5643284,resnet50,alexnet_512,224,cuda,000000000718.jpg,8.471776008605957
1677016832.6323438,resnet50,alexnet_512,224,cuda,000000000725.jpg,8.450240135192871
1677016832.7363224,resnet50,alexnet_512,224,cuda,000000000748.jpg,8.545536041259766
1677016832.804332,resnet50,alexnet_512,224,cuda,000000000759.jpg,8.691904067993164
1677016832.912247,resnet50,alexnet_512,224,cuda,000000000771.jpg,8.603903770446777
1677016832.9763105,resnet50,alexnet_512,224,cuda,000000000774.jpg,8.690784454345703
1677016833.0843241,resnet50,alexnet_512,224,cuda,000000000809.jpg,8.511872291564941
1677016833.1482916,resnet50,alexnet_512,224,cuda,000000000851.jpg,8.317184448242188
1677016833.2483191,resnet50,alexnet_512,224,cuda,000000000870.jpg,8.555071830749512
1677016833.320303,resnet50,alexnet_512,224,cuda,000000000880.jpg,8.396896362304688
1677016833.428299,resnet50,alexnet_512,224,cuda,000000000888.jpg,8.631391525268555
1677016833.4923077,resnet50,alexnet_512,224,cuda,000000000890.jpg,8.601887702941895
1677016833.6003017,resnet50,alexnet_512,224,cuda,000000000904.jpg,8.56601619720459
1677016833.6683395,resnet50,alexnet_512,224,cuda,000000000933.jpg,8.713151931762695
1677016833.7763367,resnet50,alexnet_512,224,cuda,000000000953.jpg,8.516256332397461
1677016833.8443346,resnet50,alexnet_512,224,cuda,000000000968.jpg,8.442336082458496
1677016833.9483054,resnet50,alexnet_512,224,cuda,000000000970.jpg,8.484064102172852
1677016834.0163088,resnet50,alexnet_512,224,cuda,000000000979.jpg,8.396160125732422
1677016834.1242971,resnet50,alexnet_512,224,cuda,000000001024.jpg,8.31481647491455
1677016834.1842883,resnet50,alexnet_512,224,cuda,000000001076.jpg,8.390815734863281
1677016834.2922542,resnet50,alexnet_512,224,cuda,000000001097.jpg,8.50057601928711
1677016834.3602936,resnet50,alexnet_512,224,cuda,000000001118.jpg,8.398624420166016
1677016834.4682636,resnet50,alexnet_512,224,cuda,000000001124.jpg,8.568703651428223
1677016834.5322964,resnet50,alexnet_512,224,cuda,000000001127.jpg,8.67676830291748
1677016834.6363187,resnet50,alexnet_512,224,cuda,000000001152.jpg,8.665056228637695
1677016834.7003238,resnet50,alexnet_512,224,cuda,000000001172.jpg,8.796671867370605
1677016834.8082976,resnet50,alexnet_512,224,cuda,000000001175.jpg,8.4169282913208
1677016834.8723185,resnet50,alexnet_512,224,cuda,000000001192.jpg,8.479904174804688
1677016834.9802892,resnet50,alexnet_512,224,cuda,000000001194.jpg,8.427007675170898
1677016835.0483196,resnet50,alexnet_512,224,cuda,000000001195.jpg,8.36297607421875
1677016835.156241,resnet50,alexnet_512,224,cuda,000000001198.jpg,8.392512321472168
1677016835.224291,resnet50,alexnet_512,224,cuda,000000001242.jpg,8.55078411102295
1677016835.3283358,resnet50,alexnet_512,224,cuda,000000001251.jpg,8.518815994262695
1677016835.3962991,resnet50,alexnet_512,224,cuda,000000001252.jpg,8.397536277770996
1677016835.5083244,resnet50,alexnet_512,224,cuda,000000001257.jpg,8.555808067321777
1677016835.5763297,resnet50,alexnet_512,224,cuda,000000001266.jpg,8.561504364013672
1677016835.6883035,resnet50,alexnet_512,224,cuda,000000001286.jpg,8.457311630249023
1677016835.7563293,resnet50,alexnet_512,224,cuda,000000001289.jpg,8.665727615356445
1677016835.8642814,resnet50,alexnet_512,224,cuda,000000001309.jpg,8.590304374694824
1677016835.9323158,resnet50,alexnet_512,224,cuda,000000001357.jpg,8.415264129638672
1677016836.0323071,resnet50,alexnet_512,224,cuda,000000001362.jpg,8.586527824401855
1677016836.0963051,resnet50,alexnet_512,224,cuda,000000001363.jpg,8.56396770477295
1677016836.2003198,resnet50,alexnet_512,224,cuda,000000001367.jpg,8.45206356048584
1677016836.2643354,resnet50,alexnet_512,224,cuda,000000001371.jpg,8.638431549072266
