work_start,infer_model_name,train_model_name,image_size,device,file_name,latency
1677027460.4695742,efficientnet_v2_l,alexnet_512,224,cuda,000000000001.jpg,56.002079010009766
1677027460.7083356,efficientnet_v2_l,alexnet_512,224,cuda,000000000016.jpg,52.742462158203125
1677027460.8803003,efficientnet_v2_l,alexnet_512,224,cuda,000000000019.jpg,53.241214752197266
1677027461.0163443,efficientnet_v2_l,alexnet_512,224,cuda,000000000057.jpg,51.914527893066406
1677027461.1882818,efficientnet_v2_l,alexnet_512,224,cuda,000000000063.jpg,52.50099182128906
1677027461.320306,efficientnet_v2_l,alexnet_512,224,cuda,000000000069.jpg,52.3554573059082
1677027461.4883106,efficientnet_v2_l,alexnet_512,224,cuda,000000000080.jpg,52.676673889160156
1677027461.6163385,efficientnet_v2_l,alexnet_512,224,cuda,000000000090.jpg,53.115745544433594
1677027461.792342,efficientnet_v2_l,alexnet_512,224,cuda,000000000106.jpg,52.46364974975586
1677027461.9243062,efficientnet_v2_l,alexnet_512,224,cuda,000000000108.jpg,51.87184143066406
1677027462.0962934,efficientnet_v2_l,alexnet_512,224,cuda,000000000128.jpg,52.69638442993164
1677027462.2283292,efficientnet_v2_l,alexnet_512,224,cuda,000000000155.jpg,52.179073333740234
1677027462.3963075,efficientnet_v2_l,alexnet_512,224,cuda,000000000161.jpg,52.72342300415039
1677027462.5243337,efficientnet_v2_l,alexnet_512,224,cuda,000000000171.jpg,52.78092956542969
1677027462.6923075,efficientnet_v2_l,alexnet_512,224,cuda,000000000178.jpg,52.870689392089844
1677027462.8243306,efficientnet_v2_l,alexnet_512,224,cuda,000000000180.jpg,52.249534606933594
1677027462.9962506,efficientnet_v2_l,alexnet_512,224,cuda,000000000183.jpg,52.23177719116211
1677027463.1243076,efficientnet_v2_l,alexnet_512,224,cuda,000000000188.jpg,52.50320053100586
1677027463.2963338,efficientnet_v2_l,alexnet_512,224,cuda,000000000191.jpg,51.75660705566406
1677027463.4243093,efficientnet_v2_l,alexnet_512,224,cuda,000000000202.jpg,52.39567947387695
1677027463.5963418,efficientnet_v2_l,alexnet_512,224,cuda,000000000205.jpg,52.4727668762207
1677027463.7283285,efficientnet_v2_l,alexnet_512,224,cuda,000000000212.jpg,52.66067123413086
1677027463.9003012,efficientnet_v2_l,alexnet_512,224,cuda,000000000229.jpg,52.86198425292969
1677027464.0323343,efficientnet_v2_l,alexnet_512,224,cuda,000000000251.jpg,53.23737716674805
1677027464.2003403,efficientnet_v2_l,alexnet_512,224,cuda,000000000275.jpg,40.978271484375
1677027464.3163154,efficientnet_v2_l,alexnet_512,224,cuda,000000000276.jpg,57.91379165649414
1677027464.4923136,efficientnet_v2_l,alexnet_512,224,cuda,000000000311.jpg,52.98912048339844
1677027464.6283216,efficientnet_v2_l,alexnet_512,224,cuda,000000000318.jpg,52.674110412597656
1677027464.8043206,efficientnet_v2_l,alexnet_512,224,cuda,000000000345.jpg,52.5307502746582
1677027464.9362934,efficientnet_v2_l,alexnet_512,224,cuda,000000000408.jpg,51.69113540649414
1677027465.1043036,efficientnet_v2_l,alexnet_512,224,cuda,000000000416.jpg,52.09667205810547
1677027465.2323222,efficientnet_v2_l,alexnet_512,224,cuda,000000000427.jpg,52.144798278808594
1677027465.3963115,efficientnet_v2_l,alexnet_512,224,cuda,000000000448.jpg,52.799713134765625
1677027465.528314,efficientnet_v2_l,alexnet_512,224,cuda,000000000453.jpg,52.24540710449219
1677027465.7002869,efficientnet_v2_l,alexnet_512,224,cuda,000000000456.jpg,40.20732879638672
1677027465.8123085,efficientnet_v2_l,alexnet_512,224,cuda,000000000463.jpg,52.76713562011719
1677027465.98834,efficientnet_v2_l,alexnet_512,224,cuda,000000000492.jpg,52.5041618347168
1677027466.1163242,efficientnet_v2_l,alexnet_512,224,cuda,000000000509.jpg,51.975006103515625
1677027466.2842824,efficientnet_v2_l,alexnet_512,224,cuda,000000000527.jpg,39.61199951171875
1677027466.3923042,efficientnet_v2_l,alexnet_512,224,cuda,000000000535.jpg,52.52649688720703
1677027466.5683346,efficientnet_v2_l,alexnet_512,224,cuda,000000000549.jpg,52.615936279296875
1677027466.700326,efficientnet_v2_l,alexnet_512,224,cuda,000000000552.jpg,53.13929748535156
1677027466.8722892,efficientnet_v2_l,alexnet_512,224,cuda,000000000554.jpg,51.92710494995117
1677027466.996312,efficientnet_v2_l,alexnet_512,224,cuda,000000000570.jpg,51.787742614746094
1677027467.1763017,efficientnet_v2_l,alexnet_512,224,cuda,000000000619.jpg,52.3903694152832
1677027467.3003173,efficientnet_v2_l,alexnet_512,224,cuda,000000000647.jpg,51.94230270385742
1677027467.4683454,efficientnet_v2_l,alexnet_512,224,cuda,000000000660.jpg,52.517311096191406
1677027467.5963304,efficientnet_v2_l,alexnet_512,224,cuda,000000000662.jpg,52.700286865234375
1677027467.768356,efficientnet_v2_l,alexnet_512,224,cuda,000000000664.jpg,52.9081916809082
1677027467.9003015,efficientnet_v2_l,alexnet_512,224,cuda,000000000665.jpg,51.55180740356445
1677027468.0642827,efficientnet_v2_l,alexnet_512,224,cuda,000000000674.jpg,51.86969757080078
1677027468.1843011,efficientnet_v2_l,alexnet_512,224,cuda,000000000676.jpg,52.349342346191406
1677027468.3523052,efficientnet_v2_l,alexnet_512,224,cuda,000000000686.jpg,52.15427017211914
1677027468.4763207,efficientnet_v2_l,alexnet_512,224,cuda,000000000694.jpg,52.530113220214844
1677027468.648302,efficientnet_v2_l,alexnet_512,224,cuda,000000000718.jpg,52.69276809692383
1677027468.7763317,efficientnet_v2_l,alexnet_512,224,cuda,000000000725.jpg,52.12812805175781
1677027468.9443245,efficientnet_v2_l,alexnet_512,224,cuda,000000000748.jpg,52.16041564941406
1677027469.0723336,efficientnet_v2_l,alexnet_512,224,cuda,000000000759.jpg,52.371360778808594
1677027469.2403276,efficientnet_v2_l,alexnet_512,224,cuda,000000000771.jpg,52.15769577026367
1677027469.3682888,efficientnet_v2_l,alexnet_512,224,cuda,000000000774.jpg,52.29094314575195
1677027469.5323403,efficientnet_v2_l,alexnet_512,224,cuda,000000000809.jpg,52.451873779296875
1677027469.6603494,efficientnet_v2_l,alexnet_512,224,cuda,000000000851.jpg,52.6313591003418
1677027469.8282976,efficientnet_v2_l,alexnet_512,224,cuda,000000000870.jpg,52.22480010986328
1677027469.9643092,efficientnet_v2_l,alexnet_512,224,cuda,000000000880.jpg,52.44406509399414
1677027470.1362824,efficientnet_v2_l,alexnet_512,224,cuda,000000000888.jpg,52.67379379272461
1677027470.2643383,efficientnet_v2_l,alexnet_512,224,cuda,000000000890.jpg,39.74879837036133
1677027470.4163172,efficientnet_v2_l,alexnet_512,224,cuda,000000000904.jpg,52.63011169433594
1677027470.544333,efficientnet_v2_l,alexnet_512,224,cuda,000000000933.jpg,52.641727447509766
1677027470.716324,efficientnet_v2_l,alexnet_512,224,cuda,000000000953.jpg,40.8856315612793
1677027470.8283384,efficientnet_v2_l,alexnet_512,224,cuda,000000000968.jpg,51.9035530090332
