,time_frame,train_configure,infer_configure,status,result
1,1676093570.6127038,"{'arch': 'vgg16', 'workers': 1, 'epochs': 5, 'batch_size': 64, 'image_size': 224, 'device': 'cuda'}",{'arch': 'none'},Sucess,{'duration_sec': 1128.4519956111908}
2,1676095579.9393659,"{'arch': 'resnet152', 'workers': 1, 'epochs': 5, 'batch_size': 32, 'image_size': 224, 'device': 'cuda'}",{'arch': 'none'},Sucess,{'duration_sec': 1408.8436784744263}
3,1676097293.2631292,"{'arch': 'alexnet', 'workers': 1, 'epochs': 5, 'batch_size': 1024, 'image_size': 224, 'device': 'cuda'}",{'arch': 'none'},Sucess,{'duration_sec': 1112.5463345050812}
4,1676104629.478569,"{'arch': 'deeplabv3_resnet50', 'workers': 1, 'epochs': 5, 'batch_size': 8, 'image_size': 224, 'device': 'cuda'}",{'arch': 'none'},Sucess,{'duration_sec': 6734.703419923782}
5,1676106827.6300743,"{'arch': 'vgg16', 'workers': 1, 'epochs': 5, 'batch_size': 64, 'image_size': 224, 'device': 'cuda'}","{'arch': 'yolov5s', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1597.610383272171}
6,1676109169.8625615,"{'arch': 'resnet152', 'workers': 1, 'epochs': 5, 'batch_size': 32, 'image_size': 224, 'device': 'cuda'}","{'arch': 'yolov5s', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1741.7305216789246}
7,1676111279.1745844,"{'arch': 'alexnet', 'workers': 1, 'epochs': 5, 'batch_size': 1024, 'image_size': 224, 'device': 'cuda'}","{'arch': 'yolov5s', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1508.227662563324}
8,1676120084.754242,"{'arch': 'deeplabv3_resnet50', 'workers': 1, 'epochs': 5, 'batch_size': 8, 'image_size': 224, 'device': 'cuda'}","{'arch': 'yolov5s', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 8204.59333729744}
9,1676121875.95616,"{'arch': 'vgg16', 'workers': 1, 'epochs': 5, 'batch_size': 64, 'image_size': 224, 'device': 'cuda'}","{'arch': 'alexnet', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1190.5854387283325}
10,1676124048.566371,"{'arch': 'resnet152', 'workers': 1, 'epochs': 5, 'batch_size': 32, 'image_size': 224, 'device': 'cuda'}","{'arch': 'alexnet', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1571.7853717803955}
11,1676125793.8768334,"{'arch': 'alexnet', 'workers': 1, 'epochs': 5, 'batch_size': 1024, 'image_size': 224, 'device': 'cuda'}","{'arch': 'alexnet', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1144.6984136104584}
