time_stamp,gpu_power,gpu_freq,gpu_mem_freq,gpu_temp,gpu_util%,gpu_mem_util%,gpu_name,timestamp,us,sy,ni,id,wa,hi,si,st,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu8_freq,cpu9_freq,cpu10_freq,cpu11_freq,cpu12_freq,cpu13_freq,cpu14_freq,cpu15_freq,trn_arch,trn_workers,trn_epochs,trn_batch_size,trn_image_size,trn_device,inf_arch,inf_workers,inf_batch_size,inf_image_size,inf_device,latency
1674092699.883,111.07,1710,9251,51,17,0, NVIDIA GeForce RTX 3080 Ti,1674092699.84671,17.8,3.4,0,77.2,1.4,0,0.2,0,1200024,1206410,1357818,4028831,1770534,4008917,4005156,1258344,1200020,1250885,1360026,2947452,1595254,4015334,4020571,1560726,2,1,3,128,224,1,1,1,1,224,1,14.2317706853847
1674092700.89,111.28,1725,9251,51,40,2, NVIDIA GeForce RTX 3080 Ti,1674092700.85213,17.8,3.4,0,77.2,1.4,0,0.2,0,1200215,1200003,1303487,1544907,1512890,4075758,4019850,1737117,1212160,1206692,2470862,3714828,1274480,3780111,4008595,1290057,2,1,3,128,224,1,1,1,1,224,1,14.2317706853847
1674092701.848,111.59,1725,9251,51,6,0, NVIDIA GeForce RTX 3080 Ti,1674092701.81382,17.8,3.4,0,77.2,1.4,0,0.2,0,2131732,1229728,1757305,2401711,3704307,3550342,4007612,3441678,1455259,1333944,3618807,1862456,2076854,4010818,4010882,1395815,2,1,3,128,224,1,1,1,1,224,1,14.2317706853847
1674092703.168,125.81,1710,9251,52,18,4, NVIDIA GeForce RTX 3080 Ti,1674092703.12971,17.8,3.4,0,77.2,1.4,0,0.2,0,3737656,1235951,1200009,1200191,1201247,3998975,3999848,1201584,3999506,1200539,1200021,1200139,1782877,4043327,4046641,1200062,2,1,3,128,224,1,1,1,1,224,1,14.2317706853847
1674092704.224,125.81,1710,9251,52,16,3, NVIDIA GeForce RTX 3080 Ti,1674092704.18587,17.8,3.4,0,77.2,1.4,0,0.2,0,2286868,4041046,1200002,1200001,1679739,4001770,4017460,1200098,1200142,1200623,4000097,2216652,1599311,4033571,4000000,1200500,2,1,3,128,224,1,1,1,1,224,1,14.2317706853847
1674092704.821,125.76,1710,9251,52,17,3, NVIDIA GeForce RTX 3080 Ti,1674092704.79336,17.8,3.4,0,77.2,1.4,0,0.2,0,1201302,1438442,3897417,1304631,1390559,4002065,4007228,1499669,1200010,1321348,3227142,1726349,1382312,4003444,4003540,1720187,2,1,3,128,224,1,1,1,1,224,1,14.2317706853847
1674092706.022,124.76,1710,9251,52,20,3, NVIDIA GeForce RTX 3080 Ti,1674092705.98564,17.8,3.4,0,77.2,1.4,0,0.2,0,3486298,3502630,3469238,3267371,3519955,4006342,4028239,3305718,3999268,1200489,1201141,1200089,1200052,4013637,1657808,1200026,2,1,3,128,224,1,1,1,1,224,1,14.2317706853847
1674092707.118,126.34,1710,9251,52,35,4, NVIDIA GeForce RTX 3080 Ti,1674092707.08162,17.8,3.4,0,77.2,1.4,0,0.2,0,4015869,2847861,3599852,1321520,1201151,4020218,1200271,1200288,4001519,4007880,4008026,1200049,1200069,4030912,1200064,1200496,2,1,3,128,224,1,1,1,1,224,1,14.2317706853847
1674092708.206,152.97,1995,9251,53,14,3, NVIDIA GeForce RTX 3080 Ti,1674092708.16963,17.8,3.4,0,77.2,1.4,0,0.2,0,4046445,3130724,3999029,1525895,1698562,4052346,1200056,1649634,4006876,1200184,4062283,1200552,1200256,4055538,1200083,1200664,2,1,3,128,224,1,1,1,1,224,1,14.2317706853847
1674092708.866,166.24,1995,9251,53,14,3, NVIDIA GeForce RTX 3080 Ti,1674092708.83473,17.8,3.4,0,77.2,1.4,0,0.2,0,4032987,1378587,4033089,1253242,1558614,4039965,1200039,1660390,4010778,1388008,4032671,1213573,1263258,4030889,1200141,1569264,2,1,3,128,224,1,1,1,1,224,1,14.2317706853847
